RUNID	ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
24481	1	16036	16033	16230	3	197	5	92
24481	2	16034	16033	16228	1	195	3	92
24481	3	16040	16038	16234	2	196	4	92
24481	4	16039	16036	16233	3	197	5	92
24481	5	16034	16033	16228	1	195	3	92
24481	6	16036	16033	16231	3	198	4	92
24481	7	16033	16033	16228	0	195	3	92
24481	8	16036	16034	16231	2	197	4	92
24481	9	16042	16039	16237	3	198	4	92
24481	10	16036	16034	16233	2	199	3	92
24481	11	16035	16033	16231	2	198	4	92
24481	12	16036	16033	16230	3	197	5	92
24481	13	16034	16033	16228	1	195	3	92
24481	14	16035	16033	16233	2	200	4	92
24481	15	16042	16040	16236	2	196	4	92
24481	16	16036	16033	16231	3	198	4	92
24481	17	16036	16034	16230	2	196	4	92
24481	18	16035	16033	16231	2	198	4	92
24481	19	16034	16032	16230	2	198	4	92
24481	20	16036	16033	16231	3	198	4	92
24481	21	16042	16040	16236	2	196	4	92
24481	22	16036	16035	16230	1	195	3	92
24481	23	16035	16033	16230	2	197	5	92
24481	24	16033	16033	16230	0	197	3	92
24481	25	16033	16033	16228	0	195	3	92
24481	26	16036	16033	16231	3	198	4	92
24481	27	16040	16037	16237	3	200	4	92
24481	28	16037	16034	16232	3	198	4	92
24481	29	16036	16033	16230	3	197	5	92
24481	30	16034	16033	16228	1	195	3	92
24481	31	16036	16032	16231	4	199	5	92
24481	32	16035	16033	16231	2	198	4	92
24481	33	16039	16039	16234	0	195	3	92
24481	34	16038	16035	16233	3	198	4	92
24481	35	16036	16032	16229	4	197	5	92
24481	36	16033	16032	16229	1	197	3	92
24481	37	16036	16034	16232	2	198	4	92
24481	38	16035	16032	16231	3	199	5	92
24481	39	16040	16038	16234	2	196	4	92
24481	40	16037	16036	16232	1	196	4	92
24481	41	16036	16034	16230	2	196	4	92
24481	42	16034	16033	16228	1	195	3	92
24481	43	16036	16034	16230	2	196	4	92
24481	44	16036	16033	16229	3	196	4	92
24481	45	16039	16038	16233	1	195	3	92
24481	46	16039	16036	16233	3	197	5	92
24481	47	16034	16033	16228	1	195	3	92
24481	48	16034	16033	16228	1	195	3	92
24481	49	16035	16034	16230	1	196	4	92
24481	50	16034	16033	16228	1	195	3	92
24481	51	16040	16038	16234	2	196	4	92
24481	52	16040	16037	16235	3	198	4	92
24481	53	16034	16032	16228	2	196	4	92
24481	54	16035	16033	16230	2	197	5	92
24481	55	16035	16034	16230	1	196	4	92
24481	56	16034	16032	16227	2	195	3	92
24481	57	16042	16039	16237	3	198	4	92
24481	58	16039	16037	16233	2	196	4	92
24481	59	16034	16032	16229	2	197	3	92
24481	60	16036	16032	16231	4	199	5	92
24481	61	16035	16033	16230	2	197	4	92
24481	62	16034	16032	16229	2	197	3	92
24481	63	16042	16040	16236	2	196	4	92
24481	64	16037	16035	16234	2	199	5	92
24481	65	16033	16032	16227	1	195	3	92
24481	66	16036	16034	16230	2	196	4	92
24481	67	16035	16033	16231	2	198	5	92
24481	68	16034	16033	16228	1	195	3	92
24481	69	16042	16038	16235	4	197	5	92
24481	70	16036	16034	16239	2	205	5	93
24481	71	16034	16032	16227	2	195	3	92
24481	72	16036	16033	16231	3	198	4	92
24481	73	16033	16033	16228	0	195	3	92
24481	74	16036	16033	16231	3	198	4	92
24481	75	16042	16039	16236	3	197	5	92
24481	76	16034	16033	16230	1	197	3	92
24481	77	16036	16034	16230	2	196	4	92
24481	78	16035	16034	16230	1	196	4	92
24481	79	16034	16033	16230	1	197	3	92
24481	80	16035	16034	16231	1	197	4	92
24481	81	16042	16040	16236	2	196	4	92
24481	82	16035	16033	16230	2	197	3	92
24481	83	16036	16034	16230	2	196	4	92
24481	84	16035	16034	16230	1	196	4	92
24481	85	16034	16032	16230	2	198	4	92
24481	86	16036	16033	16230	3	197	5	92
24481	87	16042	16040	16236	2	196	4	92
24481	88	16034	16033	16232	1	199	3	92
24481	89	16036	16034	16232	2	198	4	92
24481	90	16035	16032	16231	3	199	4	92
24481	91	16034	16032	16228	2	196	4	92
24481	92	16036	16033	16230	3	197	5	92
24481	93	16040	16038	16233	2	195	3	92
24481	94	16034	16033	16230	1	197	3	92
24481	95	16036	16034	16230	2	196	4	92
24481	96	16034	16033	16228	1	195	3	92
24481	97	16036	16034	16230	2	196	4	92
24481	98	16037	16035	16231	2	196	4	92
24481	99	16040	16038	16234	2	196	4	92
24481	100	16038	16035	16232	3	197	5	92
24481	101	16035	16034	16230	1	196	4	92
24481	102	16034	16032	16229	2	197	3	92
24481	103	16035	16034	16230	1	196	4	92
24481	104	16036	16033	16231	3	198	4	92
24481	105	16039	16038	16235	1	197	3	92
24481	106	16038	16036	16234	2	198	4	92
24481	107	16036	16033	16230	3	197	5	92
24481	108	16033	16033	16230	0	197	3	92
24481	109	16036	16033	16231	3	198	4	92
24481	110	16036	16034	16230	2	196	4	92
24481	111	16038	16036	16234	2	198	4	92
24481	112	16039	16036	16234	3	198	4	92
24481	113	16035	16034	16230	1	196	4	92
24481	114	16033	16033	16230	0	197	3	92
24481	115	16036	16033	16230	3	197	5	92
24481	116	16034	16032	16229	2	197	3	92
24481	117	16039	16038	16235	1	197	3	92
24481	118	16039	16037	16233	2	196	4	92
24481	119	16034	16032	16228	2	196	4	92
24481	120	16036	16034	16230	2	196	4	92
24481	121	16036	16034	16230	2	196	4	92
24481	122	16034	16032	16228	2	196	4	92
24481	123	16039	16038	16234	1	196	4	92
24481	124	16041	16039	16235	2	196	4	92
24481	125	16033	16032	16231	1	199	3	92
24481	126	16036	16032	16229	4	197	5	92
24481	127	16035	16033	16231	2	198	4	92
24481	128	16033	16032	16229	1	197	3	92
24481	129	16038	16036	16233	2	197	4	92
24481	130	16041	16038	16237	3	199	5	92
24481	131	16034	16033	16228	1	195	3	92
24481	132	16036	16033	16231	3	198	4	92
24481	133	16036	16034	16230	2	196	4	92
24481	134	16033	16033	16228	0	195	3	92
24481	135	16036	16034	16230	2	196	4	92
24481	136	16042	16039	16235	3	196	4	92
24481	137	16033	16032	16229	1	197	3	92
24481	138	16036	16033	16231	3	198	4	92
24481	139	16036	16033	16231	3	198	4	92
24481	140	16034	16033	16228	1	195	3	92
24481	141	16036	16034	16230	2	196	4	92
24481	142	16042	16038	16239	4	201	5	92
24481	143	16034	16033	16228	1	195	3	92
24481	144	16036	16034	16230	2	196	4	92
24481	145	16036	16034	16230	2	196	4	92
24481	146	16034	16033	16230	1	197	3	92
24481	147	16035	16033	16230	2	197	5	92
24481	148	16042	16040	16238	2	198	4	92
24481	149	16034	16032	16228	2	196	4	92
24481	150	16036	16034	16230	2	196	4	92
24481	151	16035	16033	16230	2	197	4	92
24481	152	16034	16032	16228	2	196	4	92
24481	153	16036	16034	16230	2	196	4	92
24481	154	16042	16040	16236	2	196	4	92
24481	155	16035	16033	16230	2	197	3	92
24481	156	16036	16034	16230	2	196	4	92
24481	157	16034	16032	16228	2	196	4	92
24481	158	16033	16032	16228	1	196	4	92
24481	159	16035	16033	16232	2	199	4	92
24481	160	16039	16039	16234	0	195	3	92
24481	161	16037	16035	16232	2	197	3	92
24481	162	16036	16034	16230	2	196	4	92
24481	163	16034	16033	16228	1	195	3	92
24481	164	16034	16032	16230	2	198	4	92
24481	165	16036	16032	16231	4	199	5	92
24481	166	16035	16033	16230	2	197	3	92
24481	167	16040	16039	16234	1	195	3	92
24481	168	16035	16033	16231	2	198	4	92
24481	169	16033	16033	16228	0	195	3	92
24481	170	16035	16034	16230	1	196	4	92
24481	171	16036	16034	16230	2	196	4	92
24481	172	16034	16032	16228	2	196	4	92
24481	173	16042	16040	16236	2	196	4	92
24481	174	16036	16033	16231	3	198	4	92
24481	175	16034	16032	16240	2	208	5	93
24481	176	16035	16034	16230	1	196	4	92
24481	177	16036	16034	16230	2	196	4	92
24481	178	16034	16033	16228	1	195	3	92
24481	179	16042	16039	16236	3	197	5	92
24481	180	16035	16032	16230	3	198	5	92
24481	181	16034	16031	16230	3	199	4	92
24481	182	16036	16034	16230	2	196	4	92
24481	183	16036	16033	16231	3	198	4	92
24481	184	16034	16033	16228	1	195	3	92
24481	185	16042	16039	16239	3	200	4	92
24481	186	16036	16033	16231	3	198	4	92
24481	187	16034	16031	16227	3	196	4	92
24481	188	16036	16033	16231	3	198	4	92
24481	189	16035	16034	16230	1	196	4	92
24481	190	16034	16032	16227	2	195	3	92
24481	191	16042	16040	16238	2	198	4	92
24481	192	16035	16033	16232	2	199	5	92
24481	193	16034	16032	16229	2	197	3	92
24481	194	16035	16033	16232	2	199	5	92
24481	195	16035	16032	16229	3	197	5	92
24481	196	16034	16031	16229	3	198	4	92
24481	197	16042	16040	16236	2	196	4	92
24481	198	16034	16033	16231	1	198	4	92
24481	199	16034	16033	16228	1	195	3	92
24481	200	16036	16034	16232	2	198	4	92
24481	201	16034	16033	16228	1	195	3	92
24481	202	16035	16033	16231	2	198	4	92
24481	203	16042	16039	16236	3	197	5	92
24481	204	16034	16033	16228	1	195	3	92
24481	205	16036	16034	16230	2	196	4	92
24481	206	16036	16033	16229	3	196	4	92
24481	207	16034	16033	16228	1	195	3	92
24481	208	16036	16034	16230	2	196	4	92
24481	209	16042	16039	16237	3	198	4	92
24481	210	16033	16031	16229	2	198	4	92
24481	211	16036	16033	16230	3	197	5	92
24481	212	16035	16033	16231	2	198	4	92
24481	213	16034	16033	16228	1	195	3	92
24481	214	16036	16034	16230	2	196	4	92
24481	215	16042	16040	16236	2	196	4	92
24481	216	16035	16034	16229	1	195	3	92
24481	217	16035	16033	16232	2	199	5	92
24481	218	16036	16033	16230	3	197	5	92
24481	219	16034	16033	16230	1	197	3	92
24481	220	16035	16034	16232	1	198	4	92
24481	221	16041	16039	16235	2	196	4	92
24481	222	16036	16035	16230	1	195	3	92
24481	223	16035	16034	16230	1	196	4	92
24481	224	16036	16033	16231	3	198	4	92
24481	225	16034	16031	16229	3	198	4	92
24481	226	16036	16033	16231	3	198	4	92
24481	227	16039	16037	16235	2	198	4	92
24481	228	16038	16037	16234	1	197	3	92
24481	229	16036	16033	16230	3	197	5	92
24481	230	16034	16032	16230	2	198	4	92
24481	231	16034	16032	16229	2	197	3	92
24481	232	16036	16033	16230	3	197	5	92
24481	233	16036	16034	16231	2	197	3	92
24481	234	16040	16038	16236	2	198	4	92
24481	235	16035	16034	16230	1	196	4	92
24481	236	16034	16031	16229	3	198	4	92
24481	237	16034	16032	16230	2	198	4	92
24481	238	16035	16034	16230	1	196	4	92
24481	239	16034	16033	16228	1	195	3	92
24481	240	16042	16039	16238	3	199	5	92
24481	241	16035	16032	16229	3	197	5	92
24481	242	16033	16032	16230	1	198	3	92
24481	243	16036	16032	16231	4	199	5	92
24481	244	16036	16033	16230	3	197	5	92
24481	245	16033	16033	16228	0	195	3	92
24481	246	16042	16040	16236	2	196	4	92
24481	247	16038	16035	16233	3	198	5	92
24481	248	16034	16033	16230	1	197	3	92
24481	249	16036	16034	16230	2	196	4	92
24481	250	16035	16034	16230	1	196	4	92
24481	251	16034	16033	16230	1	197	3	92
24481	252	16040	16038	16235	2	197	4	92
24481	253	16040	16037	16235	3	198	4	92
24481	254	16034	16033	16228	1	195	3	92
24481	255	16036	16033	16230	3	197	5	92
24481	256	16035	16033	16230	2	197	5	92
24481	257	16033	16033	16228	0	195	3	92
24481	258	16038	16035	16233	3	198	4	92
24481	259	16042	16039	16235	3	196	4	92
24481	260	16034	16032	16227	2	195	3	92
24481	261	16036	16034	16230	2	196	4	92
24481	262	16036	16032	16231	4	199	5	92
24481	263	16034	16031	16229	3	198	4	92
24481	264	16036	16034	16230	2	196	4	92
24481	265	16042	16039	16237	3	198	4	92
24481	266	16033	16033	16230	0	197	3	92
24481	267	16036	16034	16232	2	198	4	92
24481	268	16035	16034	16232	1	198	4	92
24481	269	16033	16031	16229	2	198	4	92
24481	270	16036	16034	16230	2	196	4	92
24481	271	16042	16040	16236	2	196	4	92
24481	272	16034	16031	16229	3	198	4	92
24481	273	16036	16034	16230	2	196	4	92
24481	274	16033	16033	16230	0	197	3	92
24481	275	16034	16033	16228	1	195	3	92
24481	276	16036	16033	16230	3	197	5	92
24481	277	16039	16039	16234	0	195	3	92
24481	278	16037	16035	16232	2	197	3	92
24481	279	16036	16033	16231	3	198	4	92
24481	280	16034	16033	16229	1	196	4	92
24481	281	16034	16033	16230	1	197	3	92
24481	282	16036	16033	16230	3	197	5	92
24481	283	16035	16034	16231	1	197	3	92
24481	284	16042	16039	16236	3	197	5	92
24481	285	16036	16033	16231	3	198	4	92
24481	286	16034	16033	16228	1	195	3	92
24481	287	16036	16033	16232	3	199	5	92
24481	288	16036	16032	16231	4	199	5	92
24481	289	16034	16032	16227	2	195	3	92
24481	290	16042	16040	16236	2	196	4	92
24481	291	16035	16034	16230	1	196	4	92
24481	292	16033	16032	16231	1	199	3	92
24481	293	16035	16032	16233	3	201	5	92
24481	294	16035	16033	16231	2	198	4	92
24481	295	16033	16033	16230	0	197	3	92
24481	296	16042	16040	16237	2	197	4	92
24481	297	16036	16034	16230	2	196	4	92
24481	298	16034	16032	16228	2	196	4	92
24481	299	16036	16033	16230	3	197	5	92
24481	300	16035	16032	16229	3	197	5	92
24481	301	16033	16031	16227	2	196	4	92
24481	302	16042	16040	16236	2	196	4	92
24481	303	16035	16033	16229	2	196	4	92
24481	304	16033	16032	16229	1	197	3	92
24481	305	16035	16033	16231	2	198	4	92
24481	306	16035	16033	16230	2	197	5	92
24481	307	16040	16038	16235	2	197	3	92
24481	308	16038	16036	16232	2	196	4	92
24481	309	16036	16033	16230	3	197	5	92
24481	310	16033	16033	16228	0	195	3	92
24481	311	16036	16034	16230	2	196	4	92
24481	312	16033	16031	16232	2	201	5	92
24481	313	16040	16037	16233	3	196	4	92
24481	314	16036	16033	16231	3	198	4	92
24481	315	16034	16032	16227	2	195	3	92
24481	316	16033	16032	16228	1	196	4	92
24481	317	16036	16033	16231	3	198	4	92
24481	318	16039	16038	16235	1	197	3	92
24481	319	16037	16035	16231	2	196	4	92
24481	320	16035	16033	16231	2	198	4	92
24481	321	16034	16031	16229	3	198	4	92
24481	322	16035	16034	16230	1	196	4	92
24481	323	16035	16033	16231	2	198	4	92
24481	324	16040	16039	16234	1	195	3	92
24481	325	16035	16033	16232	2	199	4	92
24481	326	16035	16033	16231	2	198	4	92
24481	327	16034	16032	16228	2	196	4	92
24481	328	16036	16033	16230	3	197	5	92
24481	329	16038	16036	16232	2	196	4	92
24481	330	16040	16038	16235	2	197	3	92
24481	331	16036	16033	16231	3	198	4	92
24481	332	16036	16032	16231	4	199	5	92
24481	333	16033	16032	16229	1	197	3	92
24481	334	16036	16034	16230	2	196	4	92
24481	335	16042	16039	16237	3	198	4	92
