RUNID	ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
24061	1	13189	13030	13389	159	359	3	95
24061	2	13331	13031	13531	300	500	4	95
24061	3	13183	13030	13386	153	356	3	95
24061	4	13181	13032	13382	149	350	3	95
24061	5	13345	13034	13546	311	512	4	95
24061	6	13191	13029	13395	162	366	3	95
24061	7	13180	13029	13381	151	352	3	95
24061	8	13340	13032	13543	308	511	4	95
24061	9	13181	13028	13385	153	357	3	95
24061	10	13188	13034	13390	154	356	3	95
24061	11	13335	13032	13538	303	506	4	95
24061	12	13188	13029	13388	159	359	3	95
24061	13	13178	13029	13387	149	358	3	95
24061	14	13186	13029	13387	157	358	3	95
24061	15	13184	13033	13386	151	353	3	95
24061	16	13336	13031	13538	305	507	4	95
24061	17	13191	13029	13393	162	364	3	95
24061	18	13191	13028	13392	163	364	3	95
24061	19	13343	13030	13545	313	515	4	95
24061	20	13180	13030	13382	150	352	3	95
24061	21	13188	13034	13390	154	356	3	95
24061	22	13335	13030	13537	305	507	4	95
24061	23	13183	13029	13386	154	357	3	95
24061	24	13179	13028	13379	151	351	3	95
24061	25	13337	13030	13538	307	508	4	95
24061	26	13185	13033	13388	152	355	3	95
24061	27	13180	13029	13379	151	350	3	95
24061	28	13175	13031	13376	144	345	3	95
24061	29	13181	13029	13384	152	355	3	95
24061	30	13341	13030	13544	311	514	4	95
24061	31	13184	13034	13384	150	350	3	95
24061	32	13192	13033	13395	159	362	3	95
24061	33	13335	13031	13537	304	506	4	95
24061	34	13182	13029	13383	153	354	3	95
24061	35	13177	13029	13380	148	351	3	95
24061	36	13339	13031	13541	308	510	4	95
24061	37	13184	13035	13386	149	351	3	95
24061	38	13179	13029	13381	150	352	3	95
24061	39	13341	13030	13542	311	512	4	95
24061	40	13182	13028	13385	154	357	3	95
24061	41	13340	13029	13542	311	513	4	95
24061	42	13187	13035	13388	152	353	3	95
24061	43	13188	13029	13390	159	361	3	95
24061	44	13332	13030	13535	302	505	4	95
24061	45	13184	13028	13386	156	358	3	95
24061	46	13178	13027	13381	151	354	3	95
24061	47	13341	13034	13543	307	509	4	95
24061	48	13181	13031	13381	150	350	3	95
24061	49	13180	13028	13384	152	356	3	95
24061	50	13330	13034	13531	296	497	4	95
24061	51	13181	13028	13381	153	353	3	95
24061	52	13192	13034	13392	158	358	3	95
24061	53	13346	13033	13547	313	514	5	95
24061	54	13183	13029	13387	154	358	3	95
24061	55	13332	13030	13534	302	504	4	95
24061	56	13187	13029	13391	158	362	3	95
24061	57	13184	13034	13386	150	352	3	95
24061	58	13338	13032	13541	306	509	4	95
24061	59	13179	13029	13381	150	352	3	95
24061	60	13179	13029	13381	150	352	3	95
24061	61	13329	13030	13530	299	500	4	95
24061	62	13186	13033	13386	153	353	3	95
24061	63	13191	13031	13392	160	361	3	95
24061	64	13344	13029	13545	315	516	4	95
24061	65	13184	13029	13385	155	356	3	95
24061	66	13178	13028	13378	150	350	3	95
