# Note: units are msec; all means are relative to 1002.1*INC.
# Normal-fit columns are MEAN,SD,DISCREPN.
# Binormal-fit columns are MEAN1,MEAN2,SD1,SD2,SCALE1,SCALE2,STRONG.DISCREPB.
#INC     MEAN      MEAN1     MEAN2       SD         SD1      SD2       SCALE1   SCALE2 STRONG DISCREPN  DISCREPB
1        0.67044   -2.42246   0.669433   0.693714  0.888104 0.454025   0.097470 0.902530  R   0.079526  0.003994
2        0.388333  -3.84218   0.875759   0.995420  1.164992 0.460265   0.108952 0.891048  R   0.112543  0.011530
3       -1.63041   -6.10578  -0.833403   2.025646  1.033019 0.643743   0.153040 0.846960  R   0.190993  0.009578
4        0.307983  -4.19464   1.44735    2.363957  0.821826 0.807192   0.194638 0.805362  R   0.168328  0.016662
6        1.33811   -2.38547   2.97912    2.674386  0.909278 0.963579   0.311590 0.688410  R   0.157053  0.019848
8        1.38581   -1.81418   3.63615    2.817193  0.810466 0.831819   0.411309 0.588691  R   0.189431  0.026503
9        0.908186  -2.05148   3.78943    2.942913  0.641788 0.555158   0.483017 0.516983  R   0.201319  0.017310
10       0.90991   -2.02833   3.89512    3.003987  0.674800 0.670095   0.493822 0.506178  R   0.202244  0.023162
11       0.801     -2.16147   4.06854    3.168792  0.668803 0.897410   0.525437 0.474563  L   0.185538  0.021030
11.125   0.7985    -1.80289   3.99559    3.010251  0.809522 0.849349   0.553459 0.446541  L   0.178928  0.01998
11.25    0.785     -1.83556   3.94517    3.044202  0.799881 0.805495   0.557365 0.442635  L   0.169554  0.019205
11.375   0.7635    -2.12106   4.08734    3.202414  0.827619 0.958685   0.534468 0.465532  L   0.138715  0.01537
11.5     0.86001   -1.54069   4.31438    2.991956  0.756264 0.820895   0.590600 0.409400  L   0.186307  0.016324
11.625   0.783299  -1.70015   4.07967    3.015874  0.765403 0.803035   0.574864 0.425136  L   0.180117  0.01897
11.75    0.742     -1.92099   4.20434    3.127762  0.738368 0.833340   0.557913 0.442087  L   0.170008  0.016062
11.875   0.7715    -1.47548   4.22719    2.960927  0.835814 0.923721   0.592961 0.407039  L   0.165144  0.02388
12       1.263     -0.874282  4.70422    2.929371  0.859741 0.962596   0.604789 0.395211  L   0.156903  0.019800
13       0.676     -1.24755   4.33985    2.772203  0.772470 0.987924   0.653194 0.346806  L   0.154806  0.020888
14       0.551     -1.43827   4.65494    3.002935  0.890083 0.970023   0.662852 0.337148  L   0.150432  0.010747
15       0.458     -0.951574  4.69323    2.613248  0.866610 0.974179   0.751528 0.248472  L   0.168383  0.012599
16       0.904     -0.025859  5.27185    2.173179  0.800771 1.058450   0.828934 0.171066  L   0.153086  0.009329
17       0.291     -0.580016  4.79516    2.182128  0.881394 1.175538   0.837215 0.162785  L   0.130022  0.006884
18       0.173974  -0.276894  4.39425    1.703857  0.821835 1.194518   0.897048 0.102952  L   0.116023  0.014986
19       0.121021  -0.127723  3.30652    1.182097  0.547961 0.912544   0.925034 0.074966  L   0.096599  0.012238
20      -0.054981  -0.071852  2.7206     0.610965  0.597304 0.890154   0.984357 0.015643  L   0.009830  0.003827
20.125   0.065729  -0.043544  0.418285   0.807356  0.767664 0.878627   0.743110 0.256890  L   0.018586  0.01945
20.25   -0.113209  -0.112378  3.93252    0.962947  0.735468 1.008786   0.980509 0.019491  L   0.037100  0.008663
20.375   0.164574   0.161293  4.02113    0.661269  0.656216 1.015867   0.997300 0.002700  L   0.009650  0.00815
20.5    -0.01092   -0.011279  2.94632    0.718282  0.718045 0.950949   0.999311 0.000689  L   0.006507  0.006498
20.625   0.003833   0.002598  1.75562    0.752377  0.753354 0.716425   1.000338 -0.000338 L   0.013889  0.01372
20.75   -0.006815  -0.150232  0.137658   1.086978  0.939461 0.903520   0.536346 0.463654  L   0.027139  0.021822
20.875   0.009883  -0.369144  0.361686   0.945227  1.102093 0.551146   0.402805 0.597195  R   0.037969  0.01622
21       0.101612   0.042360  0.253676   1.044405  0.988628 0.856041   0.602929 0.397071  L   0.031374  0.027312
21.125   0.076375  -0.201695  0.377211   0.980885  0.960118 0.385258   0.691287 0.308713  L   0.038953  0.02023
21.25   -0.062696   0.241041 -1.69457    0.875749  0.600689 1.294614   0.826819 0.173181  L   0.047549  0.012177
21.375   0.025674  -0.795259  0.45759    1.105683  1.201067 0.531100   0.330778 0.669222  R   0.052425  0.02211
21.5     0.105012  -0.135222  0.496152   1.128286  1.049723 0.741187   0.640830 0.359170  L   0.049963  0.038486
21.625   0.122535  -0.379925  0.510066   1.029541  1.155142 0.421540   0.490020 0.509980  R   0.055637  0.02563
21.75   -0.000362  -1.01633   0.416358   1.019622  0.991221 0.597026   0.280177 0.719823  R   0.062850  0.040408
21.875   0.04312   -3.67493   0.334468   1.221914  1.779834 0.742762   0.120998 0.879002  R   0.067285  0.00374
22       0.322014  -4.10392   0.577536   1.241559  1.375045 0.693896   0.141450 0.858550  R   0.095058  0.012093
23      -0.111089  -4.29775   0.509434   1.632025  1.063670 0.830056   0.166364 0.833636  R   0.097599  0.005452
24       0.788595  -3.40044   2.01834    2.508782  1.180371 0.909234   0.237773 0.762227  R   0.139285  0.004920
25      -0.340188  -4.58458   1.04266    2.593518  1.075049 0.877556   0.246272 0.753728  R   0.139634  0.006602
26      -0.481     -4.41168   1.36563    2.818753  1.033050 0.915315   0.316897 0.683103  R   0.125335  0.010934
27      -0.416893  -4.28831   1.56411    2.906802  1.048671 0.881227   0.331833 0.668167  R   0.152371  0.017341
28      -0.596     -3.98150   1.78643    2.936155  0.947030 0.634161   0.415577 0.584423  R   0.159677  0.015908
29      -0.707802  -4.03276   1.79036    3.018585  0.745745 0.902726   0.431267 0.568733  R   0.130542  0.015565
30      -0.219786  -3.17524   2.55285    3.052029  0.889389 0.914649   0.481000 0.519000  R   0.130333  0.014130
31       0.162     -2.63688   3.32566    3.139939  0.835909 0.904633   0.536937 0.463063  R   0.151860  0.014761
32       1.17337   -0.615509  4.97748    2.780502  0.917509 0.971333   0.682674 0.317326  L   0.120187  0.007385
48       1.68548   -0.514699  3.98573    2.765653  1.554777 1.523984   0.502956 0.497044  L   0.039908  0.005818
50       0.005005  -3.02249   2.95333    3.168130  1.079185 1.162092   0.491953 0.508047  R   0.115894  0.008955
52      -0.413213  -2.83466   2.95722    3.080026  1.064026 1.179475   0.582442 0.417558  L   0.092507  0.010026
54      -0.622     -2.55107   3.26118    2.985905  1.024356 1.263737   0.668642 0.331358  L   0.101945  0.007360
56      -1.04845   -2.27694   2.83017    2.541656  1.092037 1.752484   0.756121 0.243879  L   0.088364  0.006942
58      -0.819     -1.74125   1.94946    2.240906  0.916495 2.420109   0.740222 0.259778  L   0.065400  0.011904
60      -0.81982   -1.06508   0.368992   1.253279  0.817724 1.575827   0.837925 0.162075  L   0.037069  0.005172
62      -0.519146  -2.00408   0.089068   1.356521  1.555888 1.029478   0.329373 0.670627  R   0.028985  0.019276
64       1.19517   -2.49969   3.04546    2.911449  1.149964 1.244508   0.331809 0.668191  R   0.096090  0.004653
65       0.075     -3.96089   1.38955    2.721938  1.690483 1.161866   0.252439 0.747561  R   0.073661  0.008287
66      -0.833     -3.78097   1.74701    2.871295  1.499523 1.145844   0.285510 0.714490  R   0.076341  0.005421
67      -0.043656  -3.90364   1.94099    3.001735  1.377414 1.207085   0.340140 0.659860  R   0.105958  0.009839
68      -0.215192  -3.61238   1.96757    3.031304  1.442379 1.339499   0.388166 0.611834  R   0.082271  0.006707
69      -0.213     -3.55473   2.16493    3.109775  1.229033 1.185567   0.418798 0.581202  R   0.068941  0.005256
70      -0.016     -3.1225    2.67111    3.259197  1.362535 1.292195   0.474142 0.525858  R   0.062824  0.006435
71       0.93006   -1.88094   3.96188    3.143045  1.150544 1.144808   0.517703 0.482297  L   0.103923  0.007269
72       3.65471    2.14165   7.46889    2.744546  1.103535 1.448509   0.716018 0.283982  L   0.094268  0.005654
74      -0.122723  -1.84299   3.52159    2.885628  1.377532 1.358415   0.677532 0.322468  L   0.062440  0.005845
76       0.996597  -0.202286  5.21274    2.721625  1.438088 1.283178   0.778568 0.221432  L   0.057481  0.004074
78      -0.227427  -0.827694  4.13315    2.133916  1.314609 1.298928   0.884543 0.115457  L   0.060816  0.006835
80       2.825     -1.8079    3.53162    2.337057  1.193568 1.159560   0.142926 0.857074  R   0.057079  0.006477
82      -0.230579  -2.44315   0.217351   2.037621  2.579836 1.192284   0.230705 0.769295  R   0.042685  0.005256
84      -0.560541  -4.71607   0.564586   2.770480  1.315075 1.620935   0.221924 0.778076  R   0.041686  0.005021
86      -0.761161  -5.01747   0.868176   3.060684  1.374670 1.469975   0.278470 0.721530  R   0.061123  0.005173
88       2.878      0.476363  5.9908     3.085099  1.316084 1.296492   0.565497 0.434503  L   0.066489  0.006592
92      -1.24705   -3.32126   1.89608    3.040605  1.495442 1.740951   0.600337 0.399663  L   0.048791  0.004444
96       3.59708    2.555     4.53552    1.829623  1.162612 1.597862   0.474999 0.525001  R   0.017039  0.017366
100     -0.922923  -2.44571  -0.208063   2.388824  1.819176 1.504377   0.373907 0.626093  R   0.024173  0.018001
104      3.95972    0.675558  6.10679    3.074772  1.495368 1.527173   0.397448 0.602552  R   0.057599  0.004872
108     -0.565     -3.64661   1.32205    3.116141  1.411116 1.988533   0.372047 0.627953  R   0.027452  0.008300
112      4.87908    3.80709   8.62019    2.533296  1.417218 1.713547   0.779798 0.220202  L   0.059364  0.003548
120      4.23123   -0.299182  5.34953    3.008269  1.323315 1.820622   0.208255 0.791745  R   0.043978  0.010649
