RUNID	ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
19300	1	80180	80170	80383	10	213	7	94
19300	2	80181	80173	80381	8	208	5	94
19300	3	80181	80172	80380	9	208	6	94
19300	4	80180	80172	80380	8	208	6	94
19300	5	80180	80171	80381	9	210	6	94
19300	6	80175	80164	80375	11	211	7	94
19300	7	80181	80170	80381	11	211	6	94
19300	8	80181	80173	80380	8	207	5	94
19300	9	80181	80171	80381	10	210	6	94
19300	10	80185	80177	80387	8	210	6	94
19300	11	80181	80171	80382	10	211	6	94
19300	12	80181	80172	80381	9	209	5	94
19300	13	80175	80167	80376	8	209	5	94
19300	14	80180	80172	80383	8	211	7	94
19300	15	80181	80171	80382	10	211	7	94
19300	16	80181	80172	80380	9	208	6	94
19300	17	80181	80172	80382	9	210	6	94
19300	18	80181	80171	80382	10	211	6	94
19300	19	80175	80164	80376	11	212	6	94
19300	20	80181	80173	80383	8	210	6	94
19300	21	80185	80175	80385	10	210	6	94
19300	22	80181	80173	80380	8	207	5	94
19300	23	80181	80172	80382	9	210	6	94
19300	24	80181	80173	80381	8	208	6	94
19300	25	80177	80166	80377	11	211	6	94
19300	26	80181	80171	80382	10	211	7	94
19300	27	80181	80171	80380	10	209	6	94
19300	28	80180	80173	80381	7	208	6	94
19300	29	80181	80173	80383	8	210	5	95
19300	30	80178	80168	80379	10	211	6	94
19300	31	80180	80171	80379	9	208	6	94
19300	32	80181	80171	80382	10	211	7	94
19300	33	80181	80172	80380	9	208	6	94
19300	34	80181	80171	80379	10	208	6	94
19300	35	80180	80170	80381	10	211	7	94
19300	36	80175	80164	80375	11	211	6	94
19300	37	80181	80172	80382	9	210	6	94
19300	38	80181	80173	80382	8	209	5	94
19300	39	80180	80173	80380	7	207	5	94
19300	40	80181	80173	80381	8	208	6	94
19300	41	80178	80170	80378	8	208	6	94
19300	42	80179	80170	80380	9	210	6	94
19300	43	80182	80172	80382	10	210	6	94
19300	44	80181	80172	80381	9	209	6	94
19300	45	80180	80171	80379	9	208	6	94
19300	46	80182	80171	80382	11	211	6	94
19300	47	80179	80171	80378	8	207	5	94
19300	48	80180	80172	80380	8	208	6	94
19300	49	80181	80171	80381	10	210	7	94
19300	50	80181	80174	80382	7	208	6	94
19300	51	80181	80171	80380	10	209	7	94
19300	52	80181	80172	80381	9	209	5	94
19300	53	80176	80165	80375	11	210	7	94
19300	54	80181	80170	80382	11	212	7	94
19300	55	80182	80174	80382	8	208	6	94
19300	56	80180	80171	80382	9	211	6	94
19300	57	80181	80171	80381	10	210	6	94
19300	58	80177	80167	80377	10	210	8	94
19300	59	80180	80171	80379	9	208	6	94
19300	60	80181	80172	80382	9	210	6	94
19300	61	80181	80171	80380	10	209	7	94
19300	62	80181	80171	80382	10	211	7	94
19300	63	80181	80172	80380	9	208	6	94
19300	64	80175	80165	80375	10	210	6	94
19300	65	80181	80173	80382	8	209	5	94
19300	66	80186	80175	80386	11	211	6	94
19300	67	80183	80173	80382	10	209	6	94
19300	68	80181	80171	80380	10	209	6	94
19300	69	80178	80168	80378	10	210	6	94
19300	70	80178	80171	80378	7	207	5	94
19300	71	80180	80172	80382	8	210	6	94
19300	72	80180	80172	80380	8	208	6	94
19300	73	80181	80172	80380	9	208	6	94
19300	74	80178	80170	80375	8	205	5	94
19300	75	80179	80168	80379	11	211	6	94
19300	76	80181	80170	80380	11	210	6	94
19300	77	80185	80176	80385	9	209	6	94
19300	78	80181	80171	80380	10	209	6	94
19300	79	80179	80171	80381	8	210	6	94
19300	80	80177	80169	80376	8	207	5	94
19300	81	80181	80172	80382	9	210	6	94
19300	82	80181	80173	80381	8	208	6	94
19300	83	80181	80172	80382	9	210	6	94
19300	84	80181	80171	80380	10	209	7	94
19300	85	80178	80166	80378	12	212	7	94
19300	86	80181	80171	80383	10	212	8	94
19300	87	80181	80172	80380	9	208	6	94
19300	88	80181	80172	80381	9	209	7	94
19300	89	80181	80171	80380	10	209	6	94
19300	90	80175	80166	80375	9	209	7	94
19300	91	80181	80173	80382	8	209	5	94
19300	92	80185	80174	80383	11	209	6	94
19300	93	80181	80170	80381	11	211	6	94
19300	94	80181	80173	80383	8	210	6	94
19300	95	80175	80165	80375	10	210	6	94
19300	96	80181	80171	80382	10	211	6	94
19300	97	80181	80172	80380	9	208	6	94
19300	98	80181	80172	80381	9	209	5	94
19300	99	80184	80174	80385	10	211	6	94
19300	100	80175	80167	80374	8	207	5	94
19300	101	80181	80172	80380	9	208	6	94
19300	102	80180	80172	80380	8	208	6	94
19300	103	80181	80172	80382	9	210	6	94
19300	104	80181	80172	80380	9	208	6	94
19300	105	80180	80171	80379	9	208	6	94
19300	106	80177	80170	80379	7	209	5	94
19300	107	80181	80172	80383	9	211	7	94
19300	108	80182	80173	80381	9	208	6	94
19300	109	80181	80172	80382	9	210	5	94
19300	110	80184	80173	80382	11	209	6	94
19300	111	80174	80165	80373	9	208	6	94
19300	112	80181	80171	80381	10	210	6	94
19300	113	80181	80171	80380	10	209	7	94
19300	114	80180	80172	80383	8	211	6	94
19300	115	80181	80171	80380	10	209	6	94
19300	116	80177	80170	80378	7	208	5	94
19300	117	80179	80171	80381	8	210	6	94
19300	118	80180	80172	80382	8	210	6	94
19300	119	80184	80174	80384	10	210	6	94
19300	120	80181	80170	80381	11	211	8	94
19300	121	80181	80170	80379	11	209	6	94
19300	122	80177	80166	80377	11	211	6	94
19300	123	80181	80172	80380	9	208	6	94
19300	124	80181	80173	80381	8	208	5	94
19300	125	80181	80170	80382	11	212	6	94
19300	126	80181	80172	80381	9	209	6	94
19300	127	80175	80167	80374	8	207	5	94
19300	128	80181	80172	80380	9	208	6	94
19300	129	80181	80171	80381	10	210	6	94
19300	130	80181	80171	80382	10	211	6	94
19300	131	80181	80172	80381	9	209	5	94
19300	132	80180	80171	80382	9	211	7	94
19300	133	80177	80167	80378	10	211	6	94
19300	134	80181	80171	80380	10	209	6	94
19300	135	80181	80171	80381	10	210	6	94
19300	136	80185	80174	80385	11	211	6	94
19300	137	80181	80171	80382	10	211	7	94
19300	138	80179	80169	80380	10	211	7	94
19300	139	80179	80170	80379	9	209	7	94
19300	140	80181	80172	80382	9	210	6	94
19300	141	80181	80172	80382	9	210	6	94
19300	142	80181	80170	80382	11	212	7	94
19300	143	80181	80171	80381	10	210	6	94
19300	144	80175	80167	80376	8	209	5	94
19300	145	80181	80171	80381	10	210	6	94
19300	146	80181	80171	80381	10	210	6	94
19300	147	80181	80171	80383	10	212	7	94
19300	148	80181	80172	80382	9	210	6	94
19300	149	80181	80173	80380	8	207	5	94
19300	150	80174	80165	80376	9	211	6	94
19300	151	80180	80172	80379	8	207	5	94
19300	152	80181	80173	80383	8	210	6	94
19300	153	80181	80173	80382	8	209	5	94
19300	154	80183	80173	80382	10	209	6	94
19300	155	80181	80173	80382	8	209	5	94
19300	156	80175	80167	80374	8	207	5	94
19300	157	80182	80174	80383	8	209	5	94
19300	158	80181	80171	80382	10	211	6	94
19300	159	80181	80171	80380	10	209	6	94
19300	160	80181	80171	80379	10	208	6	94
19300	161	80179	80170	80378	9	208	6	94
19300	162	80179	80169	80381	10	212	7	94
19300	163	80181	80170	80379	11	209	6	94
19300	164	80181	80172	80381	9	209	7	94
19300	165	80181	80171	80381	10	210	6	94
19300	166	80181	80172	80382	9	210	6	94
19300	167	80175	80165	80376	10	211	6	94
19300	168	80180	80171	80382	9	211	6	94
19300	169	80181	80171	80380	10	209	6	94
19300	170	80182	80172	80382	10	210	6	94
19300	171	80181	80171	80381	10	210	6	94
19300	172	80182	80172	80382	10	210	6	94
19300	173	80177	80169	80378	8	209	5	94
19300	174	80181	80173	80382	8	209	5	94
19300	175	80181	80169	80381	12	212	6	94
19300	176	80181	80171	80382	10	211	6	94
19300	177	80181	80172	80382	9	210	6	94
19300	178	80177	80168	80377	9	209	7	94
19300	179	80180	80170	80381	10	211	7	94
19300	180	80181	80171	80383	10	212	7	94
19300	181	80180	80172	80380	8	208	6	94
19300	182	80181	80173	80381	8	208	6	94
19300	183	80181	80171	80380	10	209	6	94
19300	184	80175	80166	80375	9	209	6	94
19300	185	80181	80171	80382	10	211	6	94
19300	186	80181	80172	80382	9	210	6	94
19300	187	80181	80172	80382	9	210	7	94
19300	188	80181	80172	80380	9	208	6	94
19300	189	80177	80166	80377	11	211	8	94
19300	190	80181	80172	80382	9	210	6	94
19300	191	80181	80173	80382	8	209	5	94
19300	192	80181	80173	80382	8	209	5	94
19300	193	80181	80169	80383	12	214	7	94
19300	194	80176	80167	80377	9	210	6	94
19300	195	80181	80169	80381	12	212	6	94
19300	196	80184	80173	80383	11	210	6	94
19300	197	80181	80171	80380	10	209	7	94
19300	198	80181	80171	80382	10	211	7	94
19300	199	80175	80165	80376	10	211	6	94
19300	200	80181	80170	80379	11	209	7	94
19300	201	80181	80173	80382	8	209	5	94
19300	202	80181	80170	80380	11	210	6	94
19300	203	80181	80172	80382	9	210	6	94
19300	204	80175	80166	80378	9	212	7	94
19300	205	80181	80172	80380	9	208	6	94
19300	206	80181	80173	80380	8	207	6	94
19300	207	80181	80172	80381	9	209	6	94
19300	208	80181	80170	80382	11	212	7	94
19300	209	80176	80168	80377	8	209	5	94
19300	210	80181	80171	80380	10	209	6	94
19300	211	80181	80173	80382	8	209	5	94
19300	212	80182	80171	80382	11	211	6	94
19300	213	80181	80171	80382	10	211	7	94
19300	214	80176	80168	80377	8	209	5	94
19300	215	80180	80171	80380	9	209	6	94
19300	216	80181	80173	80380	8	207	5	94
19300	217	80182	80170	80382	12	212	7	94
19300	218	80181	80173	80381	8	208	6	94
19300	219	80179	80170	80378	9	208	6	94
19300	220	80179	80170	80378	9	208	6	94
19300	221	80180	80173	80380	7	207	5	94
19300	222	80185	80175	80386	10	211	6	94
19300	223	80180	80173	80382	7	209	5	94
19300	224	80176	80166	80376	10	210	6	94
19300	225	80181	80172	80383	9	211	7	94
19300	226	80184	80176	80383	8	207	5	94
19300	227	80180	80172	80382	8	210	6	94
19300	228	80183	80172	80383	11	211	6	94
19300	229	80174	80164	80375	10	211	7	94
19300	230	80181	80172	80380	9	208	6	94
19300	231	80181	80170	80381	11	211	7	94
19300	232	80181	80170	80382	11	212	7	94
19300	233	80180	80170	80381	10	211	6	94
19300	234	80177	80168	80379	9	211	7	94
19300	235	80183	80174	80384	9	210	6	94
19300	236	80182	80173	80383	9	210	6	94
19300	237	80180	80171	80380	9	209	6	94
19300	238	80175	80167	80377	8	210	6	94
19300	239	80181	80173	80382	8	209	6	94
19300	240	80181	80173	80382	8	209	5	94
19300	241	80182	80171	80382	11	211	6	94
19300	242	80181	80172	80380	9	208	6	94
19300	243	80175	80167	80375	8	208	6	94
19300	244	80183	80173	80383	10	210	6	94
