# Note: units are msec; all means are relative to 1002.1*INC.
# Normal-fit columns are MEAN,SD,DISCN.  ("DISC" means discrepancy, i.e. negative goodness of fit)
# Binormal-fit columns are MEAN1,MEAN2,M2-M1,SD1,SD2,SCALE1,SCALE2,STRONG,DISCB.
#INC   DATE      MEAN       MEAN1   MEAN2    M2-M1     SD       SD1     SD2       SCALE1  SCALE2 STRONG DISCN  DISCB
1      02-Mar-17  0.67044  -2.42246  0.66943 3.09189   0.69371  0.88810 0.45402   0.09747 0.90253  R   0.07952 0.00399
2      02-Mar-17  0.38833  -3.84218  0.87575 4.71794   0.99542  1.16499 0.46026   0.10895 0.89104  R   0.11254 0.01153
3      07-Jun-17 -1.63041  -6.10578 -0.83340 5.27238   2.02564  1.03301 0.64374   0.15304 0.84696  R   0.19099 0.00957
4      02-Mar-17  0.30798  -4.19464  1.44735 5.64199   2.36395  0.82182 0.80719   0.19463 0.80536  R   0.16832 0.01666
6      07-Jun-17  1.33811  -2.38547  2.97912 5.36459   2.67438  0.90927 0.96357   0.31159 0.68841  R   0.15705 0.01984
8      02-Mar-17  1.38581  -1.81418  3.63615 5.45033   2.81719  0.81046 0.83181   0.41130 0.58869  R   0.18943 0.02650
9      24-Oct-18  0.90818  -2.05148  3.78943 5.84091   2.94291  0.64178 0.55515   0.48301 0.51698  R   0.20131 0.01731
10     24-Oct-18  0.90991  -2.02833  3.89512 5.92345   3.00398  0.67480 0.67009   0.49382 0.50617  R   0.20224 0.02316
11     24-Oct-18  0.801    -2.16147  4.06854 6.23001   3.16879  0.66880 0.89741   0.52543 0.47456  L   0.18553 0.02103
11.125 21-Feb-19  0.7985   -1.80289  3.99559 5.79848   3.01025  0.80952 0.84934   0.55345 0.44654  L   0.17892 0.01998
11.25  22-Feb-19  0.785    -1.83556  3.94517 5.78073   3.04420  0.79988 0.80549   0.55736 0.44263  L   0.16955 0.01920
11.375 22-Feb-19  0.7635   -2.12106  4.08734 6.2084    3.20241  0.82761 0.95868   0.53446 0.46553  L   0.13871 0.01537
11.5   22-Feb-19  0.86001  -1.54069  4.31438 5.85507   2.99195  0.75626 0.82089   0.59060 0.40940  L   0.18630 0.01632
11.625 22-Feb-19  0.78329  -1.70015  4.07967 5.77982   3.01587  0.76540 0.80303   0.57486 0.42513  L   0.18011 0.01897
11.75  22-Feb-19  0.742    -1.92099  4.20434 6.12533   3.12776  0.73836 0.83334   0.55791 0.44208  L   0.17000 0.01606
11.875 22-Feb-19  0.7715   -1.47548  4.22719 5.70267   2.96092  0.83581 0.92372   0.59296 0.40703  L   0.16514 0.02388
12     07-Jun-17  1.263    -0.87428  4.70422 5.5785    2.92937  0.85974 0.96259   0.60478 0.39521  L   0.15690 0.01980
13     24-Oct-18  0.676    -1.24755  4.33985 5.5874    2.77220  0.77247 0.98792   0.65319 0.34680  L   0.15480 0.02088
