# INC,MIN,(relative) MEAN1 (location) of the modes,MEAN2,SD1 (width1),SD2(width2),SCALE1(0~1)
1,998,1.377846,4.779779,0.863767,0.468888,0.087248
2,1998,2.035939,7.045356,1.161774,0.474847,0.095604
3,3001,0.995609,6.466157,0.953692,0.649608,0.149275
4,4003,1.175635,6.909192,0.852878,0.806451,0.200579
6,6008,2.254683,7.686062,0.789645,0.901095,0.287041
8,8013,1.940553,7.793792,0.725265,0.739177,0.382319
9,9014,2.808800,8.794760,0.594836,0.593066,0.463140
10,10017,1.892596,7.879694,0.643219,0.706623,0.474007
11,11019,1.866214,8.308795,0.589014,0.982864,0.485998
12,12022,2.100026,8.007728,0.715903,0.816927,0.607760
13,13024,2.029959,7.739863,0.743655,0.927595,0.633225
14,14024,3.973502,10.094504,0.868898,0.999485,0.653585
15,15028,2.470618,8.333713,0.841833,0.977102,0.747757
16,16031,2.535803,7.950808,0.777120,1.240802,0.830566
17,17033,2.128532,7.792997,0.906468,1.087392,0.859247
18,18035,2.566303,6.680912,0.810426,1.039569,0.917887
19,19045,1.772082,4.981703,0.497751,1.071793,0.869294
20,20039,2.931103,5.691902,0.585497,1.044566,0.968737
.125, 
21,21038,5.748403,6.435406,1.339487,0.660526,0.385491
22,22039,2.927551,7.848599,1.647874,0.666120,0.188315
23,23041,2.741138,7.809778,1.053065,0.838433,0.155270
24,24044,2.948964,8.443446,1.202992,0.913826,0.236343
... add 
32,32064,2.594837,8.284299,0.921183,0.956866,0.686077
48,48096,4.477957,8.927600,1.578277,1.429501,0.528730
64,64128,3.908212,9.426375,1.137428,1.235864,0.341569
72,72149,4.350620,9.698276,1.065728,1.327955,0.717491
74,74148,5.540321,10.672199,1.278067,1.502844,0.622939
76,76174,5.451820,10.908455,1.439327,1.255031,0.770695
78,78173,4.138322,8.801099,1.384825,1.225789,0.899715
one less than 8
0.25
80,80163,3.345922,8.505164,1.528244,1.114325,0.163938
82,82165,3.369111,7.357815,1.707471,1.216658,0.148169
84,84188,5.879734,10.986120,1.456184,1.518920,0.252450
86,86172,3.658801,9.544369,1.516360,1.411120,0.289573
88,88181,4.267610,9.830036,1.228418,1.238290,0.571755
92,92195,4.962047,10.228241,1.548764,1.507514,0.622927
96,96197,7.928990,8.397173,0.998390,2.173613,0.345852
100,100223,5.330239,7.559761,2.022347,1.545459,0.308551
104,104214,5.224704,10.558325,1.599065,1.564275,0.397432
108,108216,7.303799,12.241719,1.448277,1.880132,0.386431
112,112251,4.067782,9.198060,1.476717,1.447228,0.820589
120,120248,5.590286,9.617363,2.805823,1.297837,0.447718
128,128281,4.751876,10.245849,1.276029,2.183155,0.639850
160,160332,9.310540,16.083401,3.264834,1.667222,0.891336
192,192398,9.334813,14.268277,2.049823,2.400703,0.598379
224,224465,9.349876,12.499019,2.473281,3.929564,0.307022
256,256534,7.941054,11.949199,3.499245,3.440132,0.355293
512,513076,7.170949,12.611124,2.882187,3.402602,0.500201
1024,1026150,10.510351,18.458486,3.350886,3.162051,0.536583
2048,2052244,21.156110,32.762806,4.485850,5.451667,0.479261
4096,4103966,14.619742,32.625850,8.485935,8.597235,0.309739
