"V1" "V2"
"1" 108216 1
"2" 108217 0
"3" 108218 5
"4" 108219 5
"5" 108220 10
"6" 108221 31
"7" 108222 69
"8" 108223 105
"9" 108224 104
"10" 108225 84
"11" 108226 103
"12" 108227 90
"13" 108228 112
"14" 108229 127
"15" 108230 84
"16" 108231 41
"17" 108232 15
"18" 108233 6
"19" 108234 4
"20" 108235 2
"21" 108236 1
"22" 108237 0
"23" 108238 0
"24" 108239 0
"25" 108240 0
"26" 108241 0
"27" 108242 0
"28" 108243 0
"29" 108244 0
"30" 108245 0
"31" 108246 0
"32" 108247 0
"33" 108248 0
"34" 108249 0
"35" 108250 0
"36" 108251 0
"37" 108252 1
