ALGRUNID	ITERNUM	U_TIME	S_TIME	PRTIME	ALL_U_TIME	ALL_S_TIME	ALL_MIN_FLT	ALL_MAJ_FLT	ALL_NIVCSW	ALL_NVCSW	ALL_CPU_COUNT	ALL_CPU_DELAY	ALL_BLKIO_COUNT	ALL_SWAPIN_COUNT	ALL_SWAPIN_DELAY	ALL_FREEPGS_COUNT	ALL_FREEPGS_DELAY	ALL_READ_BYTES	ALL_READ_CHAR	ALL_READ_SYSCALLS	ALL_WRITE_BYTES	ALL_WRITE_CHAR	ALL_WRITE_SYSCALLS
19360	1	112236	2	112238	198	16	1117	0	0	0	0	0	0	0	0	0	0	0	11480	23	16384	0	0
19360	2	112237	3	112240	192	20	1116	0	0	0	0	0	0	0	0	0	0	0	11480	20	20480	0	0
19360	3	112240	5	112245	193	18	1113	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19360	4	112235	6	112241	196	16	1116	0	0	0	0	0	0	0	0	0	0	0	11480	23	16384	0	0
19360	5	112236	2	112238	192	22	1115	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19360	6	112238	0	112238	196	19	1122	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19360	7	112235	4	112239	196	14	1120	0	0	0	0	0	0	0	0	0	0	0	11480	23	16384	0	0
19360	8	112236	3	112239	192	18	1115	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19360	9	112242	3	112245	198	13	1116	0	0	0	0	0	0	0	0	0	0	0	11480	23	16384	0	0
19360	10	112236	3	112239	194	19	1116	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19360	11	112237	1	112238	198	15	1116	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19360	12	112232	5	112237	194	19	1115	0	0	0	0	0	0	0	0	0	0	0	11480	23	16384	0	0
19360	13	112237	1	112238	196	17	1115	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19360	14	112242	3	112245	197	16	1115	0	0	0	0	0	0	0	0	0	0	0	11480	20	20480	0	0
19360	15	112239	1	112240	196	14	1120	0	0	0	0	0	0	0	0	0	0	0	11480	23	20480	0	0
19360	16	112234	4	112238	194	18	1121	0	0	0	0	0	0	0	0	0	0	0	11480	20	20480	0	0
19360	17	112238	3	112241	196	16	1116	0	0	0	0	0	0	0	0	0	0	0	11480	23	32768	0	0
19360	18	112237	3	112240	194	16	1115	0	0	0	0	0	0	0	0	0	0	0	11480	20	32768	0	0
19360	19	112239	3	112242	196	15	1116	0	0	0	0	0	0	0	0	0	0	0	11480	20	20480	0	0
19360	20	112239	2	112241	193	20	1117	0	0	0	0	0	0	0	0	0	0	0	11480	23	20480	0	0
19360	21	112239	3	112242	194	17	1114	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19360	22	112233	5	112238	194	19	1117	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19360	23	112235	3	112238	196	15	1114	0	0	0	0	0	0	0	0	0	0	0	11480	23	20480	0	0
19360	24	112235	3	112238	198	14	1121	0	0	0	0	0	0	0	0	0	0	0	11480	20	20480	0	0
19360	25	112244	3	112247	198	13	1121	0	0	0	0	0	0	0	0	0	0	0	11480	23	16384	0	0
19360	26	112236	3	112239	200	12	1117	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19360	27	112236	3	112239	198	14	1116	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19360	28	112239	4	112243	199	13	1117	0	0	0	0	0	0	0	0	0	0	0	11480	23	53248	7	0
19360	29	112240	0	112240	195	21	2235	0	0	0	0	0	0	0	0	0	0	0	22960	40	16384	0	0
19360	30	112242	2	112244	192	19	1113	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19360	31	112235	1	112236	194	21	1116	0	0	0	0	0	0	0	0	0	0	0	11480	23	16384	0	0
19360	32	112236	3	112239	196	14	1114	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19360	33	112238	4	112242	198	14	1120	0	0	0	0	0	0	0	0	0	0	0	11480	23	36864	0	0
19360	34	112236	3	112239	190	20	1120	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19360	35	112239	2	112241	194	17	1115	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19360	36	112240	4	112244	192	21	1116	0	0	0	0	0	0	0	0	0	0	0	11480	23	16384	0	0
19360	37	112236	2	112238	192	19	1116	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19360	38	112233	5	112238	198	13	1115	0	0	0	0	0	0	0	0	0	0	0	11480	20	20480	0	0
19360	39	112236	1	112237	194	18	1113	0	0	0	0	0	0	0	0	0	0	0	11480	23	20480	0	0
19360	40	112237	2	112239	192	20	1115	0	0	0	0	0	0	0	0	0	0	0	11480	20	20480	0	0
19360	41	112244	1	112245	198	14	1114	0	0	0	0	0	0	0	0	0	0	0	11480	23	32768	0	0
19360	42	112239	0	112239	198	14	1119	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19360	43	112234	4	112238	194	19	1120	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19360	44	112235	3	112238	195	18	1116	0	0	0	0	0	0	0	0	0	0	0	11480	23	20480	0	0
19360	45	112239	0	112239	198	12	1115	0	0	0	0	0	0	0	0	0	0	0	11480	20	20480	0	0
19360	46	112238	2	112240	195	17	1115	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19360	47	112238	7	112245	194	18	1116	0	0	0	0	0	0	0	0	0	0	0	11480	23	16384	0	0
19360	48	112238	2	112240	198	13	1113	0	0	0	0	0	0	0	0	0	0	0	11480	20	20480	0	0
19360	49	112234	4	112238	195	18	1116	0	0	0	0	0	0	0	0	0	0	0	11480	23	32768	0	0
19360	50	112234	7	112241	200	14	1114	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19360	51	112237	3	112240	194	17	1119	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19360	52	112242	3	112245	194	19	1120	0	0	0	0	0	0	0	0	0	0	0	11480	23	20480	0	0
19360	53	112235	3	112238	198	14	1115	0	0	0	0	0	0	0	0	0	0	0	11480	20	20480	0	0
19360	54	112238	1	112239	198	15	1116	0	0	0	0	0	0	0	0	0	0	0	11480	20	20480	0	0
19360	55	112237	5	112242	197	17	1115	0	0	0	0	0	0	0	0	0	0	0	11480	23	16384	0	0
