RUNID	ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
25021	1	11023	11021	11220	2	199	3	93
25021	2	11022	11021	11220	1	199	3	93
25021	3	11029	11027	11226	2	199	3	93
25021	4	11022	11020	11220	2	200	4	93
25021	5	11028	11027	11226	1	199	3	93
25021	6	11024	11022	11222	2	200	4	93
25021	7	11028	11028	11225	0	197	3	93
25021	8	11022	11020	11218	2	198	4	93
25021	9	11029	11026	11228	3	202	4	93
25021	10	11024	11022	11221	2	199	3	93
25021	11	11022	11021	11218	1	197	3	93
25021	12	11028	11027	11226	1	199	3	93
25021	13	11022	11021	11218	1	197	3	93
25021	14	11029	11027	11225	2	198	4	93
25021	15	11022	11021	11218	1	197	3	93
25021	16	11029	11027	11226	2	199	3	93
25021	17	11022	11021	11218	1	197	3	93
25021	18	11028	11028	11225	0	197	3	93
25021	19	11024	11021	11222	3	201	5	93
25021	20	11025	11024	11221	1	197	3	93
25021	21	11028	11027	11224	1	197	3	93
25021	22	11022	11021	11218	1	197	3	93
25021	23	11029	11027	11226	2	199	3	93
25021	24	11022	11021	11220	1	199	3	93
25021	25	11029	11026	11226	3	200	4	93
25021	26	11022	11021	11220	1	199	3	93
25021	27	11029	11026	11224	3	198	4	93
25021	28	11022	11021	11220	1	199	3	93
25021	29	11029	11026	11224	3	198	4	93
25021	30	11024	11022	11220	2	198	4	93
25021	31	11022	11020	11219	2	199	3	93
25021	32	11030	11028	11228	2	200	4	93
25021	33	11022	11021	11218	1	197	3	93
25021	34	11029	11027	11226	2	199	3	93
25021	35	11022	11020	11220	2	200	4	93
25021	36	11029	11027	11228	2	201	3	93
25021	37	11022	11021	11220	1	199	3	93
25021	38	11030	11029	11227	1	198	4	93
25021	39	11023	11021	11219	2	198	4	93
25021	40	11022	11020	11220	2	200	4	93
25021	41	11028	11028	11225	0	197	3	93
25021	42	11023	11021	11218	2	197	3	93
25021	43	11028	11027	11226	1	199	3	93
25021	44	11021	11021	11218	0	197	3	93
25021	45	11029	11027	11224	2	197	3	93
25021	46	11022	11021	11218	1	197	3	93
25021	47	11029	11028	11225	1	197	3	93
25021	48	11022	11021	11220	1	199	3	93
25021	49	11023	11021	11220	2	199	3	93
25021	50	11029	11026	11226	3	200	4	93
25021	51	11024	11023	11221	1	198	4	93
25021	52	11028	11028	11225	0	197	3	93
25021	53	11022	11019	11219	3	200	4	93
25021	54	11029	11027	11225	2	198	4	93
25021	55	11022	11021	11218	1	197	3	93
25021	56	11028	11028	11225	0	197	3	93
25021	57	11024	11022	11220	2	198	4	93
25021	58	11025	11024	11221	1	197	3	93
25021	59	11028	11027	11226	1	199	3	93
25021	60	11022	11020	11219	2	199	4	93
25021	61	11029	11027	11228	2	201	3	93
25021	62	11022	11021	11220	1	199	3	93
25021	63	11029	11027	11226	2	199	3	93
25021	64	11022	11020	11220	2	200	4	93
25021	65	11029	11027	11228	2	201	3	93
25021	66	11023	11021	11220	2	199	3	93
25021	67	11026	11025	11222	1	197	3	93
25021	68	11027	11026	11225	1	199	3	93
25021	69	11022	11021	11218	1	197	3	93
25021	70	11030	11029	11227	1	198	4	93
25021	71	11023	11021	11220	2	199	3	93
25021	72	11029	11028	11243	1	215	5	94
25021	73	11022	11021	11218	1	197	3	93
25021	74	11028	11026	11226	2	200	4	93
25021	75	11022	11021	11220	1	199	3	93
25021	76	11027	11026	11225	1	199	3	93
25021	77	11025	11025	11222	0	197	3	93
25021	78	11022	11021	11220	1	199	3	93
25021	79	11028	11028	11225	0	197	3	93
25021	80	11023	11020	11218	3	198	4	93
25021	81	11029	11028	11225	1	197	3	93
25021	82	11023	11021	11218	2	197	3	93
25021	83	11030	11028	11228	2	200	4	93
25021	84	11022	11019	11221	3	202	4	93
25021	85	11027	11025	11223	2	198	4	93
25021	86	11025	11025	11222	0	197	3	93
25021	87	11022	11021	11220	1	199	3	93
25021	88	11029	11027	11228	2	201	3	93
25021	89	11022	11021	11220	1	199	3	93
25021	90	11029	11026	11226	3	200	4	93
25021	91	11022	11021	11220	1	199	3	93
25021	92	11029	11028	11225	1	197	3	93
25021	93	11022	11021	11220	1	199	3	93
25021	94	11027	11026	11225	1	199	3	93
25021	95	11026	11023	11223	3	200	4	93
