ALGRU	DATANUM	ITERNUM	RUNTIME	PRTIME
25461	16	1	16035	16033
25461	16	2	16036	16033
25461	16	3	16033	16032
25461	16	4	16034	16033
25461	16	5	16035	16034
25461	16	6	16039	16035
25461	16	7	16034	16033
25461	16	8	16034	16033
25461	16	9	16035	16033
25461	16	10	16036	16033
25461	16	11	16036	16033
25461	16	12	16033	16033
25461	16	13	16033	16033
25461	16	14	16040	16038
25461	16	15	16040	16038
25461	16	16	16036	16033
25461	16	17	16033	16032
25461	16	18	16034	16033
25461	16	19	16036	16034
25461	16	20	16042	16039
25461	16	21	16038	16035
25461	16	22	16033	16033
25461	16	23	16034	16032
25461	16	24	16035	16034
25461	16	25	16035	16033
25461	16	26	16035	16034
25461	16	27	16034	16032
25461	16	28	16034	16032
25461	16	29	16035	16034
25461	16	30	16036	16033
