ALGRUNID	DATANUM	ITERNUM	RUNTIME	PRTIME
25461	1	1	1002	1003
25461	1	2	1003	1003
25461	1	3	1003	1002
25461	1	4	1004	1004
25461	1	5	1003	1002
25461	1	6	999	999
25461	1	7	1002	1003
25461	1	8	1003	1003
25461	1	9	1002	1003
25461	1	10	1003	1002
25461	1	11	1003	1003
25461	1	12	1003	1002
25461	1	13	1003	1003
25461	1	14	1003	1003
25461	1	15	1003	1002
25461	1	16	1003	1003
25461	1	17	1003	1002
25461	1	18	1005	1004
25461	1	19	1003	1003
25461	1	20	1002	1001
25461	1	21	1001	1002
25461	1	22	1002	1003
25461	1	23	1003	1002
25461	1	24	1003	1003
25461	1	25	1003	1003
25461	1	26	1003	1003
25461	1	27	1003	1002
25461	1	28	1003	1002
25461	1	29	1003	1002
25461	1	30	1003	1003
