"INC Number"	"Bin Number"	"Counts"
48	48096	5
48	48097	27
48	48098	39
48	48099	83
48	48100	126
48	48101	121
48	48102	101
48	48103	91
48	48104	117
48	48105	130
48	48106	103
48	48107	39
48	48108	14
48	48109	2
48	48110	1
48	48111	0
48	48112	0
48	48113	0
48	48114	0
48	48115	0
48	48116	0
48	48117	0
48	48118	0
48	48119	0
48	48120	0
48	48121	1
64	64129	9
64	64130	37
64	64131	74
64	64132	93
64	64133	70
64	64134	58
64	64135	67
64	64136	117
64	64137	200
64	64138	162
64	64139	81
64	64140	22
64	64141	5
64	64142	3
64	64143	0
64	64144	0
64	64145	0
64	64146	0
64	64147	0
64	64148	1
64	64149	0
64	64150	0
64	64151	1
