RUNID	ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
26141	1	56127	56121	56325	6	204	5	93
26141	2	56123	56114	56320	9	206	5	93
26141	3	56123	56117	56321	6	204	4	93
26141	4	56121	56115	56318	6	203	4	93
26141	5	56124	56117	56322	7	205	5	93
26141	6	56123	56116	56322	7	206	4	93
26141	7	56125	56121	56322	4	201	4	93
26141	8	56125	56118	56323	7	205	5	93
26141	9	56123	56115	56320	8	205	5	93
26141	10	56120	56114	56317	6	203	5	93
26141	11	56123	56114	56319	9	205	5	93
26141	12	56123	56117	56319	6	202	4	93
26141	13	56121	56113	56319	8	206	5	93
26141	14	56129	56123	56325	6	202	4	93
26141	15	56122	56117	56319	5	202	4	93
26141	16	56121	56115	56318	6	203	4	93
26141	17	56123	56116	56318	7	202	4	93
26141	18	56120	56115	56319	5	204	5	93
26141	19	56123	56118	56319	5	201	4	93
26141	20	56127	56120	56323	7	203	5	93
26141	21	56121	56115	56318	6	203	4	93
26141	22	56123	56115	56321	8	206	5	93
26141	23	56122	56117	56319	5	202	4	93
26141	24	56121	56115	56318	6	203	4	93
26141	25	56128	56120	56325	8	205	5	93
26141	26	56125	56118	56321	7	203	5	93
26141	27	56120	56114	56317	6	203	5	93
26141	28	56122	56117	56319	5	202	4	93
26141	29	56122	56117	56319	5	202	4	93
26141	30	56121	56114	56318	7	204	5	93
26141	31	56193	56140	56388	53	248	13	111
26141	32	56124	56117	56320	7	203	5	93
26141	33	56120	56114	56317	6	203	5	93
26141	34	56122	56115	56320	7	205	5	93
26141	35	56123	56117	56319	6	202	4	93
26141	36	56120	56116	56317	4	201	4	93
26141	37	56129	56122	56325	7	203	5	93
26141	38	56124	56115	56321	9	206	5	93
26141	39	56121	56114	56320	7	206	5	93
26141	40	56122	56116	56319	6	203	5	93
26141	41	56121	56115	56321	6	206	4	93
26141	42	56121	56115	56318	6	203	4	93
26141	43	56129	56122	56327	7	205	5	93
26141	44	56120	56116	56317	4	201	4	93
26141	45	56123	56115	56320	8	205	5	93
26141	46	56123	56115	56320	8	205	5	93
26141	47	56120	56114	56318	6	204	5	93
26141	48	56123	56115	56320	8	205	5	93
26141	49	56128	56122	56325	6	203	5	93
26141	50	56120	56114	56316	6	202	5	93
26141	51	56123	56115	56320	8	205	5	93
26141	52	56123	56116	56320	7	204	4	93
26141	53	56120	56114	56318	6	204	5	93
26141	54	56129	56122	56326	7	204	4	93
26141	55	56122	56116	56320	6	204	4	93
26141	56	56120	56114	56318	6	204	5	93
26141	57	56123	56117	56319	6	202	4	93
26141	58	56122	56116	56319	6	203	5	93
26141	59	56127	56121	56324	6	203	4	93
26141	60	56122	56115	56319	7	204	5	93
26141	61	56122	56115	56318	7	203	5	93
26141	62	56121	56115	56317	6	202	5	93
26141	63	56125	56118	56320	7	202	4	93
26141	64	56126	56121	56324	5	203	4	93
26141	65	56120	56115	56318	5	203	4	93
26141	66	56122	56116	56319	6	203	5	93
26141	67	56120	56115	56318	5	203	4	93
26141	68	56128	56120	56323	8	203	5	93
26141	69	56126	56119	56325	7	206	4	93
26141	70	56120	56115	56316	5	201	4	93
26141	71	56122	56116	56319	6	203	5	93
26141	72	56123	56115	56318	8	203	5	93
26141	73	56127	56123	56324	4	201	4	93
26141	74	56122	56117	56319	5	202	4	93
26141	75	56123	56115	56319	8	204	5	93
26141	76	56121	56115	56318	6	203	4	93
26141	77	56122	56115	56320	7	205	5	93
26141	78	56128	56123	56325	5	202	4	93
26141	79	56120	56115	56317	5	202	5	93
26141	80	56126	56119	56324	7	205	5	93
26141	81	56122	56116	56320	6	204	4	93
26141	82	56121	56114	56318	7	204	5	93
26141	83	56129	56122	56325	7	203	5	93
26141	84	56122	56116	56319	6	203	5	93
26141	85	56121	56116	56319	5	203	4	93
26141	86	56122	56116	56319	6	203	5	93
26141	87	56120	56114	56319	6	205	4	93
26141	88	56127	56122	56325	5	203	4	93
26141	89	56123	56115	56321	8	206	4	93
26141	90	56122	56115	56319	7	204	5	93
26141	91	56122	56115	56320	7	205	5	93
26141	92	56123	56117	56321	6	204	4	93
26141	93	56126	56121	56323	5	202	5	93
26141	94	56123	56113	56319	10	206	6	93
26141	95	56241	56120	56437	121	317	6	94
26141	96	56237	56117	56433	120	316	7	94
26141	97	56123	56117	56320	6	203	5	93
26141	98	56128	56123	56325	5	202	4	93
26141	99	56120	56113	56318	7	205	5	93
26141	100	56122	56115	56320	7	205	5	93
26141	101	56123	56116	56319	7	203	5	93
26141	102	56123	56119	56320	4	201	4	93
26141	103	56128	56122	56326	6	204	4	93
26141	104	56122	56117	56319	5	202	4	93
