ALGRUNID	ITERNUM	U_TIME	S_TIME	PRTIME	ALL_U_TIME	ALL_S_TIME	ALL_MIN_FLT	ALL_MAJ_FLT	ALL_NIVCSW	ALL_NVCSW	ALL_CPU_COUNT	ALL_CPU_DELAY	ALL_BLKIO_COUNT	ALL_SWAPIN_COUNT	ALL_SWAPIN_DELAY	ALL_FREEPGS_COUNT	ALL_FREEPGS_DELAY	ALL_READ_BYTES	ALL_READ_CHAR	ALL_READ_SYSCALLS	ALL_WRITE_BYTES	ALL_WRITE_CHAR	ALL_WRITE_SYSCALLS
19060	1	96200	5	96205	194	13	1118	0	0	0	0	0	0	0	0	0	0	0	11480	23	16384	0	0
19060	2	96206	1	96207	192	21	1120	0	0	0	0	0	0	0	0	0	0	0	11480	20	12288	0	0
19060	3	96202	1	96203	194	18	1115	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19060	4	96200	1	96201	194	18	1122	0	0	0	0	0	0	0	0	0	0	0	11480	23	12288	0	0
19060	5	96204	0	96204	196	18	1121	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19060	6	96205	6	96211	188	21	1118	0	0	0	0	0	0	0	0	0	0	0	11480	20	28672	0	0
19060	7	96200	3	96203	192	19	1118	0	0	0	0	0	0	0	0	0	0	0	11480	23	16384	0	0
19060	8	96202	3	96205	196	17	1115	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19060	9	96201	3	96204	194	16	1122	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19060	10	96201	1	96202	192	19	1121	0	0	0	0	0	0	0	0	0	0	0	11480	23	12288	0	0
19060	11	96204	2	96206	190	22	1118	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19060	12	96205	4	96209	188	20	1117	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19060	13	96206	0	96206	194	17	1116	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19060	14	96200	5	96205	194	15	1117	0	0	0	0	0	0	0	0	0	0	0	11480	23	16384	0	0
19060	15	96203	2	96205	190	21	1115	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19060	16	96202	2	96204	196	13	1117	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19060	17	96202	5	96207	193	19	1115	0	0	0	0	0	0	0	0	0	0	0	11480	23	12288	0	0
19060	18	96200	2	96202	188	20	1120	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19060	19	96203	0	96203	192	19	1121	0	0	0	0	0	0	0	0	0	0	0	11480	20	12288	0	0
19060	20	96202	3	96205	190	19	1117	0	0	0	0	0	0	0	0	0	0	0	11480	23	16384	0	0
19060	21	96205	2	96207	190	22	1118	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19060	22	96200	4	96204	194	17	1117	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19060	23	96202	1	96203	196	16	1118	0	0	0	0	0	0	0	0	0	0	0	11480	23	16384	0	0
19060	24	96203	3	96206	194	16	1115	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19060	25	96203	0	96203	195	18	1118	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19060	26	96207	1	96208	196	20	1117	0	0	0	0	0	0	0	0	0	0	0	11480	23	53248	7	0
19060	27	96201	1	96202	190	22	1121	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19060	28	96202	1	96203	190	24	1122	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19060	29	96203	2	96205	192	19	2237	0	0	0	0	0	0	0	0	0	0	0	22960	43	16384	0	0
19060	30	96203	1	96204	195	16	1117	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19060	31	96201	6	96207	194	16	1118	0	0	0	0	0	0	0	0	0	0	0	11480	20	32768	0	0
19060	32	96201	3	96204	192	19	1117	0	0	0	0	0	0	0	0	0	0	0	11480	23	16384	0	0
19060	33	96201	3	96204	190	20	1115	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19060	34	96205	1	96206	190	19	1117	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19060	35	96205	2	96207	192	20	1115	0	0	0	0	0	0	0	0	0	0	0	11480	23	16384	0	0
19060	36	96203	2	96205	192	18	1120	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19060	37	96203	4	96207	188	22	1120	0	0	0	0	0	0	0	0	0	0	0	11480	20	12288	0	0
19060	38	96199	5	96204	192	19	1117	0	0	0	0	0	0	0	0	0	0	0	11480	23	16384	0	0
19060	39	96202	5	96207	190	20	1117	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19060	40	96204	0	96204	188	22	1117	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19060	41	96202	3	96205	186	25	1117	0	0	0	0	0	0	0	0	0	0	0	11480	23	16384	0	0
19060	42	96204	2	96206	196	13	1115	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19060	43	96206	0	96206	198	13	1116	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19060	44	96202	4	96206	196	15	1115	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19060	45	96203	2	96205	194	15	1122	0	0	0	0	0	0	0	0	0	0	0	11480	23	16384	0	0
19060	46	96202	3	96205	190	19	1121	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19060	47	96203	1	96204	196	18	1117	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19060	48	96200	4	96204	194	15	1117	0	0	0	0	0	0	0	0	0	0	0	11480	23	12288	0	0
19060	49	96201	4	96205	192	17	1117	0	0	0	0	0	0	0	0	0	0	0	11480	20	12288	0	0
19060	50	96202	3	96205	192	21	1117	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19060	51	96198	5	96203	192	17	1115	0	0	0	0	0	0	0	0	0	0	0	11480	23	16384	0	0
