"INC Number"	"Bin Number"	"Counts"
60	60122	4
60	60123	41
60	60124	223
60	60125	411
60	60126	225
60	60127	56
60	60128	16
60	60129	11
60	60130	8
60	60131	3
60	60132	0
60	60133	0
60	60134	0
60	60135	1
60	60136	0
60	60137	0
60	60138	0
60	60139	0
60	60140	0
60	60141	0
60	60142	0
60	60143	0
60	60144	0
60	60145	0
60	60146	0
60	60147	0
60	60148	1
60.5	60619	1
60.5	60620	1
60.5	60621	4
60.5	60622	6
60.5	60623	6
60.5	60624	58
60.5	60625	189
60.5	60626	333
60.5	60627	289
60.5	60628	79
60.5	60629	18
60.5	60630	11
60.5	60631	2
60.5	60632	1
60.5	60633	1
60.5	60634	0
60.5	60635	0
60.5	60636	0
60.5	60637	0
60.5	60638	1
61	61121	1
61	61122	7
61	61123	21
61	61124	46
61	61125	95
61	61126	193
61	61127	272
61	61128	207
61	61129	79
61	61130	31
61	61131	18
61	61132	22
61	61133	6
61	61134	1
61	61135	0
61	61136	0
61	61137	0
61	61138	0
61	61139	0
61	61140	0
61	61141	0
61	61142	0
61	61143	0
61	61144	0
61	61145	0
61	61146	0
61	61147	0
61	61148	0
61	61149	0
61	61150	0
61	61151	0
61	61152	1
61.5	61621	3
61.5	61622	3
61.5	61623	12
61.5	61624	19
61.5	61625	20
61.5	61626	61
61.5	61627	170
61.5	61628	289
61.5	61629	244
61.5	61630	115
61.5	61631	26
61.5	61632	14
61.5	61633	11
61.5	61634	7
61.5	61635	3
61.5	61636	1
61.5	61637	0
61.5	61638	0
61.5	61639	0
61.5	61640	1
61.5	61641	0
61.5	61642	0
61.5	61643	0
61.5	61644	0
61.5	61645	0
61.5	61646	0
61.5	61647	0
61.5	61648	0
61.5	61649	1
62	62122	1
62	62123	7
62	62124	16
62	62125	20
62	62126	22
62	62127	44
62	62128	83
62	62129	219
62	62130	317
62	62131	185
62	62132	64
62	62133	15
62	62134	2
62	62135	3
62	62136	1
62	62137	0
62	62138	1
62.5	62623	2
62.5	62624	6
62.5	62625	10
62.5	62626	22
62.5	62627	21
62.5	62628	11
62.5	62629	61
62.5	62630	157
62.5	62631	294
62.5	62632	285
62.5	62633	92
62.5	62634	28
62.5	62635	8
62.5	62636	2
62.5	62637	0
62.5	62638	0
62.5	62639	0
62.5	62640	0
62.5	62641	0
62.5	62642	0
62.5	62643	0
62.5	62644	1
63	63125	3
63	63126	8
63	63127	20
63	63128	29
63	63129	21
63	63130	53
63	63131	103
63	63132	253
63	63133	278
63	63134	163
63	63135	51
63	63136	10
63	63137	5
63	63138	1
63	63139	0
63	63140	0
63	63141	0
63	63142	0
63	63143	0
63	63144	0
63	63145	1
63	63146	0
63	63147	0
63	63148	1
63.5	63626	6
63.5	63627	16
63.5	63628	35
63.5	63629	27
63.5	63630	34
63.5	63631	55
63.5	63632	92
63.5	63633	199
63.5	63634	295
63.5	63635	165
63.5	63636	56
63.5	63637	14
63.5	63638	4
63.5	63639	0
63.5	63640	0
63.5	63641	0
63.5	63642	0
63.5	63643	0
63.5	63644	0
63.5	63645	1
63.5	63646	0
63.5	63647	0
63.5	63648	0
63.5	63649	0
63.5	63650	0
63.5	63651	0
63.5	63652	0
63.5	63653	1
64	64129	9
64	64130	37
64	64131	74
64	64132	93
64	64133	70
64	64134	58
64	64135	67
64	64136	117
64	64137	200
64	64138	162
64	64139	81
64	64140	22
64	64141	5
64	64142	3
64	64143	0
64	64144	0
64	64145	0
64	64146	0
64	64147	0
64	64148	1
64	64149	0
64	64150	0
64	64151	1
