RUNID	INC_NUM	ITERNUM	METIME	PRTIME
25461	1	1	1002	16418018.997
25461	1	2	1003	16418002.997
25461	1	3	1003	16417946.997
25461	1	4	1004	16418013.997
25461	1	5	1003	16417956.997
25461	1	6	999	16418019.997
25461	1	7	1002	16417962.997
25461	1	8	1003	16417942.997
25461	1	9	1002	16417947.997
25461	1	10	1003	16417947.997
25461	1	11	1003	16418013.997
25461	1	12	1003	16417978.997
25461	1	13	1003	16417948.997
25461	1	14	1003	16417953.997
25461	1	15	1003	16417919.997
25461	1	16	1003	16417942.997
25461	1	17	1003	16417968.997
25461	1	18	1005	16418005.997
25461	1	19	1003	16417929.997
25461	1	20	1002	16418001.997
25461	1	21	1001	16417993.997
25461	1	22	1002	16417920.997
25461	1	23	1003	16417936.997
25461	1	24	1003	16417947.997
25461	1	25	1003	16418007.997
25461	1	26	1003	16417978.997
25461	1	27	1003	16417960.997
25461	1	28	1003	16418004.997
25461	1	29	1003	16417922.997
25461	1	30	1003	16417966.997
25461	2	1	1999	16418018.997
25461	2	2	2005	16418002.997
25461	2	3	2005	16417946.997
25461	2	4	2004	16418013.997
25461	2	5	2002	16417956.997
25461	2	6	2005	16418019.997
25461	2	7	2005	16417962.997
25461	2	8	2004	16417942.997
25461	2	9	2005	16417947.997
25461	2	10	2005	16417947.997
25461	2	11	2005	16418013.997
25461	2	12	2005	16417978.997
25461	2	13	2005	16417948.997
25461	2	14	2007	16417953.997
25461	2	15	2007	16417919.997
25461	2	16	2005	16417942.997
25461	2	17	2000	16417968.997
25461	2	18	2005	16418005.997
25461	2	19	2007	16417929.997
25461	2	20	2007	16418001.997
25461	2	21	2005	16417993.997
25461	2	22	2004	16417920.997
25461	2	23	2004	16417936.997
25461	2	24	2005	16417947.997
25461	2	25	2007	16418007.997
25461	2	26	2005	16417978.997
25461	2	27	2001	16417960.997
25461	2	28	2005	16418004.997
25461	2	29	2005	16417922.997
25461	2	30	2007	16417966.997
25461	4	1	4010	16418018.997
25461	4	2	4012	16418002.997
25461	4	3	4012	16417946.997
25461	4	4	4003	16418013.997
25461	4	5	4009	16417956.997
25461	4	6	4009	16418019.997
25461	4	7	4004	16417962.997
25461	4	8	4012	16417942.997
25461	4	9	4009	16417947.997
25461	4	10	4010	16417947.997
25461	4	11	4006	16418013.997
25461	4	12	4011	16417978.997
25461	4	13	4009	16417948.997
25461	4	14	4010	16417953.997
25461	4	15	4010	16417919.997
25461	4	16	4010	16417942.997
25461	4	17	4012	16417968.997
25461	4	18	4009	16418005.997
25461	4	19	4010	16417929.997
25461	4	20	4010	16418001.997
25461	4	21	4009	16417993.997
25461	4	22	4011	16417920.997
25461	4	23	4011	16417936.997
25461	4	24	4008	16417947.997
25461	4	25	4009	16418007.997
25461	4	26	4008	16417978.997
25461	4	27	4012	16417960.997
25461	4	28	4006	16418004.997
25461	4	29	4003	16417922.997
25461	4	30	4009	16417966.997
25461	8	1	8022	16418018.997
25461	8	2	8016	16418002.997
25461	8	3	8015	16417946.997
25461	8	4	8020	16418013.997
25461	8	5	8022	16417956.997
25461	8	6	8022	16418019.997
25461	8	7	8022	16417962.997
25461	8	8	8020	16417942.997
25461	8	9	8020	16417947.997
25461	8	10	8016	16417947.997
25461	8	11	8022	16418013.997
25461	8	12	8021	16417978.997
25461	8	13	8016	16417948.997
25461	8	14	8016	16417953.997
25461	8	15	8016	16417919.997
25461	8	16	8021	16417942.997
25461	8	17	8021	16417968.997
25461	8	18	8013	16418005.997
25461	8	19	8020	16417929.997
25461	8	20	8016	16418001.997
25461	8	21	8022	16417993.997
25461	8	22	8021	16417920.997
25461	8	23	8014	16417936.997
25461	8	24	8022	16417947.997
25461	8	25	8020	16418007.997
25461	8	26	8022	16417978.997
25461	8	27	8022	16417960.997
25461	8	28	8020	16418004.997
25461	8	29	8020	16417922.997
25461	8	30	8015	16417966.997
25461	16	1	16035	16418018.997
25461	16	2	16036	16418002.997
25461	16	3	16033	16417946.997
25461	16	4	16034	16418013.997
25461	16	5	16035	16417956.997
25461	16	6	16039	16418019.997
25461	16	7	16034	16417962.997
25461	16	8	16034	16417942.997
25461	16	9	16035	16417947.997
25461	16	10	16036	16417947.997
25461	16	11	16036	16418013.997
25461	16	12	16033	16417978.997
25461	16	13	16033	16417948.997
25461	16	14	16040	16417953.997
25461	16	15	16040	16417919.997
25461	16	16	16036	16417942.997
25461	16	17	16033	16417968.997
25461	16	18	16034	16418005.997
25461	16	19	16036	16417929.997
25461	16	20	16042	16418001.997
25461	16	21	16038	16417993.997
25461	16	22	16033	16417920.997
25461	16	23	16034	16417936.997
25461	16	24	16035	16417947.997
25461	16	25	16035	16418007.997
25461	16	26	16035	16417978.997
25461	16	27	16034	16417960.997
25461	16	28	16034	16418004.997
25461	16	29	16035	16417922.997
25461	16	30	16036	16417966.997
25461	32	1	32068	16418018.997
25461	32	2	32074	16418002.997
25461	32	3	32076	16417946.997
25461	32	4	32070	16418013.997
25461	32	5	32069	16417956.997
25461	32	6	32068	16418019.997
25461	32	7	32067	16417962.997
25461	32	8	32070	16417942.997
25461	32	9	32069	16417947.997
25461	32	10	32074	16417947.997
25461	32	11	32071	16418013.997
25461	32	12	32076	16417978.997
25461	32	13	32074	16417948.997
25461	32	14	32074	16417953.997
25461	32	15	32074	16417919.997
25461	32	16	32069	16417942.997
25461	32	17	32070	16417968.997
25461	32	18	32074	16418005.997
25461	32	19	32069	16417929.997
25461	32	20	32074	16418001.997
25461	32	21	32069	16417993.997
25461	32	22	32072	16417920.997
25461	32	23	32076	16417936.997
25461	32	24	32074	16417947.997
25461	32	25	32074	16418007.997
25461	32	26	32068	16417978.997
25461	32	27	32068	16417960.997
25461	32	28	32070	16418004.997
25461	32	29	32067	16417922.997
25461	32	30	32074	16417966.997
25461	64	1	64143	16418018.997
25461	64	2	64142	16418002.997
25461	64	3	64134	16417946.997
25461	64	4	64142	16418013.997
25461	64	5	64143	16417956.997
25461	64	6	64144	16418019.997
25461	64	7	64141	16417962.997
25461	64	8	64140	16417942.997
25461	64	9	64143	16417947.997
25461	64	10	64144	16417947.997
25461	64	11	64141	16418013.997
25461	64	12	64134	16417978.997
25461	64	13	64138	16417948.997
25461	64	14	64139	16417953.997
25461	64	15	64138	16417919.997
25461	64	16	64140	16417942.997
25461	64	17	64144	16417968.997
25461	64	18	64139	16418005.997
