"INC Number"	"Bin Number"	"Counts"
11.125	11144	1
11.125	11145	52
11.125	11146	210
11.125	11147	224
11.125	11148	39
11.125	11149	29
11.125	11150	28
11.125	11151	43
11.125	11152	144
11.125	11153	205
11.125	11154	25
11.125	11144	1
11.125	11145	52
11.125	11146	210
11.125	11147	224
11.125	11148	39
11.125	11149	29
11.125	11150	28
11.125	11151	43
11.125	11152	144
11.125	11153	205
11.125	11154	25
11.25	11270	34
11.25	11271	166
11.25	11272	253
11.25	11273	70
11.25	11274	34
11.25	11275	19
11.25	11276	23
11.25	11277	107
11.25	11278	239
11.25	11279	52
11.25	11280	3
11.375	11395	28
11.375	11396	172
11.375	11397	234
11.375	11398	68
11.375	11399	32
11.375	11400	28
11.375	11401	19
11.375	11402	79
11.375	11403	204
11.375	11404	124
11.375	11405	10
11.375	11406	1
11.375	11407	0
11.375	11408	1
11.5	11521	45
11.5	11522	216
11.5	11523	261
11.5	11524	44
11.5	11525	24
11.5	11526	23
11.5	11527	29
11.5	11528	138
11.5	11529	186
11.5	11530	33
11.5	11531	0
11.5	11532	0
11.5	11533	0
11.5	11534	0
11.5	11535	0
11.5	11536	0
11.5	11537	0
11.5	11538	0
11.5	11539	0
11.5	11540	0
11.5	11541	0
11.5	11542	0
11.5	11543	1
11.625	11645	1
11.625	11646	34
11.625	11647	191
11.625	11648	264
11.625	11649	65
11.625	11650	20
11.625	11651	24
11.625	11652	26
11.625	11653	110
11.625	11654	223
11.625	11655	42
11.75	11771	35
11.75	11772	169
11.75	11773	267
11.75	11774	62
11.75	11775	25
11.75	11776	27
11.75	11777	18
11.75	11778	97
11.75	11779	199
11.75	11780	96
11.75	11781	5
11.875	11897	74
11.875	11898	306
11.875	11899	149
11.875	11900	36
11.875	11901	31
11.875	11902	25
11.875	11903	68
11.875	11904	165
11.875	11905	130
11.875	11906	15
11.875	11907	1
20.125	20162	1
20.125	20163	3
20.125	20164	8
20.125	20165	18
20.125	20166	123
20.125	20167	432
20.125	20168	381
20.125	20169	16
20.125	20170	15
20.125	20171	3
20.25	20289	1
20.25	20290	13
20.25	20291	92
20.25	20292	431
20.25	20293	404
20.25	20294	35
20.25	20295	8
20.25	20296	7
20.25	20297	6
20.25	20298	3
20.375	20415	10
20.375	20416	24
20.375	20417	213
20.375	20418	549
20.375	20419	191
20.375	20420	8
20.375	20421	2
20.375	20422	1
20.375	20423	0
20.375	20424	0
20.375	20425	0
20.375	20426	0
20.375	20427	0
20.375	20428	0
20.375	20429	1
20.375	20430	1
20.5	20540	2
20.5	20541	20
20.5	20542	205
20.5	20543	512
20.5	20544	251
20.5	20545	6
20.5	20546	4
20.625	20665	5
20.625	20666	17
20.625	20667	118
20.625	20668	457
20.625	20669	374
20.625	20670	27
20.625	20671	2
20.75	20787	2
20.75	20788	11
20.75	20789	10
20.75	20790	10
20.75	20791	13
20.75	20792	83
20.75	20793	345
20.75	20794	371
20.75	20795	118
20.75	20796	19
20.75	20797	9
20.75	20798	6
20.75	20799	2
20.75	20800	1
20.875	20912	1
20.875	20913	4
20.875	20914	14
20.875	20915	14
20.875	20916	11
20.875	20917	33
20.875	20918	190
20.875	20919	486
20.875	20920	227
20.875	20921	14
20.875	20922	4
20.875	20923	0
20.875	20924	0
20.875	20925	0
20.875	20926	0
20.875	20927	0
20.875	20928	0
20.875	20929	0
20.875	20930	0
20.875	20931	0
20.875	20932	0
20.875	20933	0
20.875	20934	1
20.875	20935	1
25	25045	1
25	25046	22
25	25047	71
25	25048	80
25	25049	37
25	25050	28
25	25051	18
25	25052	78
25	25053	274
25	25054	287
25	25055	99
25	25056	4
25	25057	1
26	26048	16
26	26049	64
26	26050	120
26	26051	69
26	26052	30
26	26053	20
26	26054	48
26	26055	158
26	26056	283
26	26057	185
26	26058	4
26	26059	0
26	26060	1
26	26061	1
26	26062	0
26	26063	0
26	26064	0
26	26065	0
26	26066	0
26	26067	0
26	26068	1
27	27049	1
27	27050	10
27	27051	55
27	27052	111
27	27053	108
27	27054	22
27	27055	25
27	27056	44
27	27057	85
27	27058	245
27	27059	270
27	27060	21
27	27061	3
28	28052	3
28	28053	36
28	28054	114
28	28055	167
28	28056	41
28	28057	39
28	28058	20
28	28059	50
28	28060	206
28	28061	280
28	28062	42
28	28063	2
29	29054	1
29	29055	16
29	29056	117
29	29057	211
29	29058	56
29	29059	22
29	29060	34
29	29061	37
29	29062	145
29	29063	254
29	29064	101
29	29065	0
29	29066	2
29	29067	2
29	29068	0
29	29069	0
29	29070	0
29	29071	0
29	29072	0
29	29073	0
29	29074	1
29	29075	0
29	29076	0
29	29077	0
29	29078	1
30	30057	2
30	30058	32
30	30059	138
30	30060	231
30	30061	51
30	30062	26
30	30063	27
30	30064	39
30	30065	157
30	30066	219
30	30067	74
30	30068	1
30	30069	1
30	30070	2
31	31060	5
31	31061	62
31	31062	214
31	31063	198
31	31064	33
31	31065	25
31	31066	25
31	31067	46
31	31068	132
31	31069	213
31	31070	43
31	31071	2
31	31072	2
