"INC Number"	"Bin Number"	"Counts"
50	50099	3
50	50100	37
50	50101	122
50	50102	175
50	50103	110
50	50104	34
50	50105	28
50	50106	37
50	50107	113
50	50108	178
50	50109	142
50	50110	14
50	50111	3
50	50112	2
50	50113	1
50	50114	0
50	50115	0
50	50116	0
50	50117	0
50	50118	0
50	50119	0
50	50120	0
50	50121	0
50	50122	1
52	52104	12
52	52105	109
52	52106	217
52	52107	160
52	52108	57
52	52109	34
52	52110	33
52	52111	75
52	52112	141
52	52113	122
52	52114	29
52	52115	4
52	52116	3
52	52117	2
52	52118	0
52	52119	0
52	52120	1
52	52121	0
52	52122	0
52	52123	0
52	52124	1
54	54108	8
54	54109	64
54	54110	164
54	54111	257
54	54112	140
54	54113	33
54	54114	29
54	54115	33
54	54116	75
54	54117	113
54	54118	66
54	54119	13
54	54120	2
54	54121	2
54	54122	0
54	54123	1
56	56112	8
56	56113	28
56	56114	134
56	56115	267
56	56116	215
56	56117	87
56	56118	51
56	56119	38
56	56120	47
56	56121	58
56	56122	49
56	56123	14
56	56124	0
56	56125	2
56	56126	0
56	56127	1
56	56128	0
56	56129	0
56	56130	0
56	56131	0
56	56132	0
56	56133	0
56	56134	0
56	56135	0
56	56136	0
56	56137	0
56	56138	0
56	56139	0
56	56140	1
58	58116	1
58	58117	8
58	58118	46
58	58119	156
58	58120	291
58	58121	260
58	58122	78
58	58123	19
58	58124	40
58	58125	40
58	58126	34
58	58127	16
58	58128	7
58	58129	0
58	58130	2
58	58131	0
58	58132	0
58	58133	0
58	58134	0
58	58135	0
58	58136	2
60	60122	4
60	60123	41
60	60124	223
60	60125	411
60	60126	225
60	60127	56
60	60128	16
60	60129	11
60	60130	8
60	60131	3
60	60132	0
60	60133	0
60	60134	0
60	60135	1
60	60136	0
60	60137	0
60	60138	0
60	60139	0
60	60140	0
60	60141	0
60	60142	0
60	60143	0
60	60144	0
60	60145	0
60	60146	0
60	60147	0
60	60148	1
62	62122	1
62	62123	7
62	62124	16
62	62125	20
62	62126	22
62	62127	44
62	62128	83
62	62129	219
62	62130	317
62	62131	185
62	62132	64
62	62133	15
62	62134	2
62	62135	3
62	62136	1
62	62137	0
62	62138	1
65	65129	2
65	65130	22
65	65131	44
65	65132	68
65	65133	44
65	65134	39
65	65135	38
65	65136	88
65	65137	158
65	65138	272
65	65139	162
65	65140	50
65	65141	4
65	65142	2
65	65143	4
65	65144	1
65	65145	0
65	65146	0
65	65147	0
65	65148	1
65	65149	0
65	65150	0
65	65151	0
65	65152	0
65	65153	0
65	65154	0
65	65155	0
65	65156	0
65	65157	0
65	65158	0
65	65159	0
65	65160	1
66	66131	4
66	66132	16
66	66133	34
66	66134	63
66	66135	86
66	66136	45
66	66137	30
66	66138	51
66	66139	120
66	66140	233
66	66141	198
66	66142	99
66	66143	11
66	66144	5
66	66145	1
66	66146	1
66	66147	0
66	66148	1
66	66149	0
66	66150	1
66	66151	0
66	66152	0
66	66153	0
66	66154	0
66	66155	0
66	66156	0
66	66157	0
66	66158	0
66	66159	0
66	66160	1
67	67133	1
67	67134	12
67	67135	34
67	67136	94
67	67137	95
67	67138	61
67	67139	25
67	67140	44
67	67141	87
67	67142	172
67	67143	216
67	67144	137
67	67145	14
67	67146	4
67	67147	2
67	67148	0
67	67149	0
67	67150	0
67	67151	0
67	67152	0
67	67153	0
67	67154	1
67	67155	0
67	67156	0
67	67157	0
67	67158	0
67	67159	0
67	67160	0
67	67161	0
67	67162	0
67	67163	0
67	67164	1
68	68135	2
68	68136	7
68	68137	34
68	68138	80
68	68139	105
68	68140	90
68	68141	51
68	68142	48
68	68143	76
68	68144	139
68	68145	189
68	68146	134
68	68147	39
68	68148	3
68	68149	2
68	68150	1
69	69137	1
69	69138	4
69	69139	23
69	69140	64
69	69141	139
69	69142	115
69	69143	51
69	69144	34
69	69145	52
69	69146	120
69	69147	188
69	69148	144
69	69149	54
69	69150	3
69	69151	4
69	69152	2
69	69153	0
69	69154	1
69	69155	0
69	69156	0
69	69157	1
70	70140	3
70	70141	17
70	70142	54
70	70143	100
70	70144	149
70	70145	86
70	70146	56
70	70147	32
70	70148	73
70	70149	126
70	70150	167
70	70151	96
70	70152	29
70	70153	1
70	70154	5
70	70155	2
70	70156	3
70	70157	0
70	70158	0
70	70159	0
70	70160	1
71	71144	5
71	71145	30
71	71146	91
71	71147	187
71	71148	135
71	71149	54
71	71150	30
71	71151	37
71	71152	93
71	71153	167
71	71154	123
71	71155	38
71	71156	5
71	71157	1
71	71158	2
71	71159	0
71	71160	0
71	71161	0
71	71162	0
71	71163	0
71	71164	0
71	71165	0
71	71166	0
71	71167	0
71	71168	0
71	71169	0
71	71170	0
71	71171	0
71	71172	0
71	71173	1
71	71174	0
71	71175	0
71	71176	0
71	71177	0
71	71178	0
71	71179	1
