WL	MIN_ect	MAX_ect	MED_ect	AVG_ect	SD_ect
11.125	11147	11156	11150.0	11150.6	3.01
11.25	11271	11395	11275.0	11276.0	4.85
11.375	11397	11520	11400.0	11401.2	5.06
11.5	11523	11639	11525.0	11526.7	6.2
11.625	11648	11772	11651.0	11651.8	4.92
11.75	11773	11890	11776.0	11777.0	4.75
11.875	11898	11909	11901.0	11902.2	3.05
25.0	25048	25172	25056.0	25055.2	5.86
26.0	26051	26178	26058.0	26057.5	7.51
27.0	27053	27178	27060.0	27059.5	6.01
28.0	28055	28180	28062.0	28061.5	6.06
29.0	29057	29178	29065.0	29063.9	7.33
30.0	30062	30191	30067.0	30066.5	6.14
31.0	31065	31186	31068.0	31069.1	6.06
