RUNID	ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
28021	1	224498	224473	224694	25	221	6	93
28021	2	224496	224469	224696	27	227	6	93
28021	3	224492	224466	224691	26	225	6	93
28021	4	224496	224472	224694	24	222	6	93
28021	5	224497	224470	224695	27	225	7	93
28021	6	224507	224479	224704	28	225	7	93
28021	7	224498	224470	224695	28	225	7	93
28021	8	224495	224469	224693	26	224	6	93
28021	9	224493	224469	224693	24	224	6	93
28021	10	224503	224475	224699	28	224	8	93
28021	11	224497	224469	224695	28	226	6	93
28021	12	224495	224470	224691	25	221	6	93
28021	13	224497	224472	224694	25	222	6	93
28021	14	224491	224468	224689	23	221	6	93
28021	15	224498	224472	224698	26	226	7	93
28021	16	224494	224468	224694	26	226	8	93
28021	17	224505	224479	224703	26	224	7	93
28021	18	224497	224472	224696	25	224	7	93
28021	19	224495	224470	224694	25	224	6	93
28021	20	224495	224470	224694	25	224	6	93
28021	21	224498	224474	224696	24	222	7	93
28021	22	224504	224479	224703	25	224	6	93
28021	23	224497	224473	224696	24	223	6	93
28021	24	224496	224471	224696	25	225	7	93
28021	25	224499	224473	224695	26	222	6	93
28021	26	224497	224472	224695	25	223	6	93
28021	27	224501	224475	224700	26	225	7	93
28021	28	224491	224463	224689	28	226	7	93
28021	29	224500	224472	224700	28	228	8	93
28021	30	224494	224467	224692	27	225	7	93
28021	31	224501	224475	224699	26	224	6	93
28021	32	224495	224468	224693	27	225	6	93
28021	33	224491	224465	224689	26	224	7	93
28021	34	224497	224470	224694	27	224	6	93
28021	35	224496	224472	224693	24	221	6	93
28021	36	224497	224470	224695	27	225	7	93
28021	37	224495	224466	224692	29	226	7	93
28021	38	224507	224479	224704	28	225	7	93
28021	39	224501	224478	224699	23	221	7	93
28021	40	224497	224470	224693	27	223	6	93
28021	41	224502	224476	224701	26	225	7	93
28021	42	224499	224473	224697	26	224	6	93
28021	43	224494	224468	224692	26	224	6	93
28021	44	224496	224473	224692	23	219	6	93
28021	45	224494	224467	224693	27	226	7	93
28021	46	224496	224471	224692	25	221	6	93
28021	47	224494	224471	224692	23	221	6	93
28021	48	224493	224467	224691	26	224	6	93
28021	49	224499	224472	224696	27	224	6	93
28021	50	224494	224468	224689	26	221	7	93
28021	51	224493	224468	224690	25	222	7	93
28021	52	224495	224467	224691	28	224	6	93
28021	53	224496	224471	224694	25	223	6	93
28021	54	224507	224478	224706	29	228	8	93
28021	55	224499	224471	224697	28	226	7	93
28021	56	224499	224474	224699	25	225	8	93
28021	57	224502	224476	224700	26	224	7	93
28021	58	224502	224476	224701	26	225	6	93
28021	59	224495	224472	224695	23	223	7	93
28021	60	224495	224468	224691	27	223	6	93
28021	61	224491	224467	224689	24	222	7	93
28021	62	224611	224469	224809	142	340	8	94
28021	63	224498	224472	224697	26	225	6	93
28021	64	224493	224467	224693	26	226	7	93
28021	65	224492	224465	224691	27	226	7	93
28021	66	224498	224472	224695	26	223	6	93
28021	67	224497	224471	224695	26	224	6	93
28021	68	224497	224466	224695	31	229	7	93
28021	69	224498	224471	224698	27	227	8	93
28021	70	224511	224486	224711	25	225	6	93
28021	71	224491	224466	224688	25	222	6	93
28021	72	224493	224468	224692	25	224	6	93
28021	73	224502	224476	224701	26	225	6	93
28021	74	224499	224475	224700	24	225	6	93
28021	75	224494	224470	224693	24	223	6	93
28021	76	224493	224465	224691	28	226	6	93
28021	77	224495	224467	224693	28	226	6	93
28021	78	224507	224481	224703	26	222	7	93
28021	79	224497	224470	224696	27	226	7	93
28021	80	224494	224467	224692	27	225	6	93
28021	81	224494	224466	224692	28	226	6	93
28021	82	224494	224470	224692	24	222	6	93
28021	83	224501	224474	224699	27	225	7	93
28021	84	224492	224466	224691	26	225	6	93
28021	85	224498	224471	224697	27	226	6	93
28021	86	224505	224480	224704	25	224	7	93
28021	87	224500	224476	224697	24	221	8	93
28021	88	224498	224473	224694	25	221	6	93
28021	89	224502	224474	224700	28	226	7	93
28021	90	224496	224470	224695	26	225	7	93
28021	91	224500	224473	224700	27	227	8	93
28021	92	224497	224473	224697	24	224	6	93
28021	93	224497	224472	224694	25	222	6	93
28021	94	224495	224470	224695	25	225	7	93
28021	95	224502	224478	224701	24	223	6	93
28021	96	224497	224471	224695	26	224	7	93
28021	97	224496	224469	224691	27	222	6	93
28021	98	224500	224474	224698	26	224	7	93
28021	99	224497	224472	224694	25	222	7	93
28021	100	224502	224477	224701	25	224	6	93
28021	101	224498	224473	224697	25	224	6	93
28021	102	224500	224474	224698	26	224	6	93
28021	103	224497	224472	224693	25	221	6	93
28021	104	224502	224474	224700	28	226	7	93
28021	105	224497	224470	224694	27	224	6	93
28021	106	224496	224471	224695	25	224	6	93
28021	107	224494	224469	224694	25	225	7	93
28021	108	224495	224467	224694	28	227	7	93
28021	109	224498	224473	224697	25	224	7	93
28021	110	224495	224471	224694	24	223	6	93
28021	111	224499	224472	224698	27	226	7	93
28021	112	224490	224466	224689	24	223	6	93
28021	113	224501	224474	224697	27	223	7	93
28021	114	224495	224469	224694	26	225	7	93
28021	115	224496	224471	224694	25	223	6	93
28021	116	224501	224476	224700	25	224	6	93
28021	117	224500	224478	224695	22	217	5	93
28021	118	224504	224478	224703	26	225	6	93
28021	119	224490	224466	224687	24	221	6	93
28021	120	224500	224474	224697	26	223	6	93
28021	121	224502	224478	224699	24	221	6	93
28021	122	224499	224471	224699	28	228	8	93
28021	123	224495	224472	224691	23	219	7	93
28021	124	224495	224469	224692	26	223	6	93
28021	125	224497	224472	224696	25	224	6	93
28021	126	224618	224476	224815	142	339	7	94
28021	127	224491	224468	224689	23	221	6	93
28021	128	224500	224471	224696	29	225	6	93
28021	129	224498	224471	224697	27	226	6	93
28021	130	224496	224469	224694	27	225	6	93
28021	131	224495	224470	224696	25	226	7	93
28021	132	224498	224473	224695	25	222	6	93
28021	133	224499	224474	224698	25	224	7	93
28021	134	224496	224469	224694	27	225	6	93
28021	135	224498	224475	224695	23	220	6	93
28021	136	224504	224477	224701	27	224	7	93
28021	137	224503	224479	224699	24	220	6	93
28021	138	224490	224464	224687	26	223	7	93
28021	139	224495	224472	224692	23	220	6	93
28021	140	224498	224470	224696	28	226	6	93
28021	141	224501	224477	224699	24	222	6	93
28021	142	224497	224470	224695	27	225	6	93
28021	143	224494	224470	224693	24	223	6	93
28021	144	224532	224475	224731	57	256	10	104
28021	145	224494	224467	224692	27	225	7	93
28021	146	224505	224479	224702	26	223	6	93
28021	147	224501	224476	224697	25	221	7	93
28021	148	224501	224474	224700	27	226	6	93
28021	149	224501	224475	224697	26	222	6	93
28021	150	224500	224473	224696	27	223	6	93
28021	151	224496	224470	224694	26	224	6	93
28021	152	224493	224470	224693	23	223	7	93
28021	153	224497	224472	224696	25	224	6	93
28021	154	224493	224470	224690	23	220	6	93
28021	155	224502	224476	224700	26	224	7	93
28021	156	224502	224475	224702	27	227	7	93
28021	157	224493	224467	224691	26	224	6	93
28021	158	224493	224467	224686	26	219	6	93
28021	159	224507	224479	224706	28	227	8	93
28021	160	224491	224468	224689	23	221	6	93
28021	161	224494	224469	224690	25	221	6	93
28021	162	224492	224465	224687	27	222	6	93
28021	163	224495	224470	224694	25	224	6	93
28021	164	224497	224470	224696	27	226	7	93
28021	165	224499	224471	224699	28	228	7	93
28021	166	224495	224465	224694	30	229	7	93
28021	167	224496	224471	224695	25	224	7	93
28021	168	224493	224470	224690	23	220	6	93
28021	169	224496	224470	224692	26	222	7	93
28021	170	224494	224470	224691	24	221	6	93
28021	171	224498	224472	224693	26	221	6	93
28021	172	224493	224468	224690	25	222	6	93
28021	173	224497	224469	224693	28	224	8	93
28021	174	224493	224469	224690	24	221	6	93
28021	175	224496	224470	224695	26	225	7	93
28021	176	224499	224474	224698	25	224	6	93
28021	177	224496	224470	224694	26	224	6	93
28021	178	224494	224468	224694	26	226	7	93
28021	179	224498	224471	224697	27	226	6	93
28021	180	224498	224472	224694	26	222	7	93
28021	181	224497	224468	224696	29	228	7	93
28021	182	224497	224472	224698	25	226	7	93
28021	183	224500	224475	224698	25	223	6	93
28021	184	224496	224472	224695	24	223	6	93
28021	185	224500	224472	224697	28	225	6	93
28021	186	224498	224473	224696	25	223	6	93
28021	187	224497	224473	224697	24	224	6	93
28021	188	224489	224464	224686	25	222	6	93
28021	189	224502	224475	224701	27	226	6	93
28021	190	224613	224476	224810	137	334	7	94
28021	191	224493	224467	224689	26	222	6	93
28021	192	224496	224473	224697	23	224	7	93
28021	193	224501	224476	224699	25	223	6	93
28021	194	224496	224468	224694	28	226	6	93
28021	195	224491	224462	224689	29	227	6	93
28021	196	224565	224488	224764	77	276	15	111
28021	197	224502	224478	224699	24	221	6	93
28021	198	224497	224470	224694	27	224	6	93
28021	199	224501	224477	224699	24	222	7	93
28021	200	224498	224470	224697	28	227	7	93
28021	201	224495	224470	224691	25	221	7	93
28021	202	224492	224464	224690	28	226	6	93
28021	203	224496	224469	224693	27	224	7	93
28021	204	224497	224473	224696	24	223	6	93
28021	205	224496	224471	224695	25	224	7	93
28021	206	224494	224470	224693	24	223	6	93
28021	207	224496	224472	224693	24	221	6	93
28021	208	224497	224472	224694	25	222	6	93
28021	209	224492	224470	224691	22	221	7	93
28021	210	224502	224475	224700	27	225	7	93
28021	211	224497	224471	224695	26	224	6	93
28021	212	224497	224472	224695	25	223	6	93
28021	213	224498	224472	224695	26	223	6	93
28021	214	224501	224473	224699	28	226	6	93
28021	215	224496	224468	224696	28	228	7	93
28021	216	224499	224475	224697	24	222	7	93
28021	217	224499	224471	224697	28	226	6	93
28021	218	224496	224467	224697	29	230	6	94
28021	219	224494	224468	224692	26	224	7	93
28021	220	224500	224473	224698	27	225	6	93
28021	221	224495	224470	224694	25	224	7	93
28021	222	224501	224478	224699	23	221	6	93
28021	223	224496	224471	224695	25	224	7	93
28021	224	224491	224462	224688	29	226	6	93
28021	225	224495	224470	224692	25	222	6	93
28021	226	224498	224471	224696	27	225	6	93
28021	227	224495	224472	224693	23	221	6	93
28021	228	224494	224466	224693	28	227	6	93
28021	229	224491	224466	224691	25	225	7	93
28021	230	224502	224473	224700	29	227	6	93
28021	231	224494	224473	224692	21	219	5	93
28021	232	224494	224467	224689	27	222	7	93
28021	233	224499	224472	224695	27	223	6	93
28021	234	224488	224465	224685	23	220	6	93
28021	235	224498	224473	224695	25	222	6	93
28021	236	224496	224469	224693	27	224	6	93
28021	237	224496	224469	224694	27	225	6	93
28021	238	224495	224470	224693	25	223	6	93
28021	239	224492	224465	224689	27	224	6	93
28021	240	224494	224471	224693	23	222	6	93
28021	241	224499	224470	224697	29	227	6	93
28021	242	224496	224469	224694	27	225	6	93
28021	243	224500	224469	224699	31	230	6	93
28021	244	224495	224471	224694	24	223	6	93
28021	245	224496	224472	224693	24	221	6	93
28021	246	224502	224477	224702	25	225	7	93
28021	247	224499	224474	224696	25	222	6	93
28021	248	224497	224474	224697	23	223	7	93
28021	249	224502	224478	224701	24	223	7	93
