"INC Number"	"Bin Number"	"Counts"
72	72144	1
72	72145	0
72	72146	4
72	72147	15
72	72148	28
72	72149	89
72	72150	153
72	72151	137
72	72152	70
72	72153	44
72	72154	72
72	72155	98
72	72156	135
72	72157	91
72	72158	47
72	72159	8
72	72160	3
72	72161	2
72	72162	1
72	72163	0
72	72164	1
72	72165	0
72	72166	0
72	72167	0
72	72168	0
72	72169	0
72	72170	0
72	72171	0
72	72172	0
72	72173	0
72	72174	0
72	72175	1
160	160329	5
160	160331	38
160	160333	115
160	160335	233
160	160337	236
160	160339	155
160	160341	123
160	160343	64
160	160345	19
160	160347	8
160	160349	2
160	160351	0
160	160353	0
160	160355	0
160	160357	0
160	160359	0
160	160361	1
160	160363	1
192	192395	9
192	192397	28
192	192399	77
192	192401	124
192	192403	173
192	192405	204
192	192407	164
192	192409	110
192	192411	69
192	192413	24
192	192415	9
192	192417	5
192	192419	2
192	192421	1
192	192423	0
192	192425	1
224	224460	1
224	224462	5
224	224464	17
224	224466	60
224	224468	111
224	224470	240
224	224472	232
224	224474	148
224	224476	89
224	224478	62
224	224480	22
224	224482	5
224	224484	3
224	224486	1
224	224488	2
224	224490	0
224	224492	0
224	224494	1
224	224496	1
