RUNID	ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
27481	1	2005	2005	2199	0	194	2	92
27481	2	2006	2006	2203	0	197	3	92
27481	3	2005	2005	2199	0	194	2	92
27481	4	2005	2005	2199	0	194	2	92
27481	5	2005	2005	2199	0	194	2	92
27481	6	2007	2005	2200	2	195	3	92
27481	7	2000	2000	2196	0	196	2	92
27481	8	2005	2005	2201	0	196	2	92
27481	9	2005	2005	2199	0	194	2	92
27481	10	2007	2006	2201	1	195	3	92
27481	11	2005	2005	2199	0	194	2	92
27481	12	2005	2005	2199	0	194	2	92
27481	13	2005	2005	2199	0	194	2	92
27481	14	2005	2005	2199	0	194	2	92
27481	15	2004	2003	2199	1	196	2	92
27481	16	2002	2002	2198	0	196	2	92
27481	17	2005	2005	2201	0	196	2	92
27481	18	2005	2005	2199	0	194	2	92
27481	19	2007	2006	2203	1	197	3	92
27481	20	2005	2005	2201	0	196	2	92
27481	21	2005	2004	2200	1	196	2	92
27481	22	2005	2005	2201	0	196	2	92
27481	23	2007	2006	2201	1	195	3	92
27481	24	2001	2001	2195	0	194	2	92
27481	25	2003	2004	2200	-1	196	2	92
27481	26	2005	2005	2197	0	192	2	92
27481	27	2007	2006	2199	1	193	3	92
27481	28	2005	2005	2201	0	196	2	92
27481	29	2005	2005	2199	0	194	2	92
27481	30	2005	2005	2199	0	194	2	92
27481	31	2006	2006	2203	0	197	3	92
27481	32	2004	2005	2201	-1	196	2	92
27481	33	1999	1998	2194	1	196	2	92
27481	34	2005	2005	2201	0	196	2	92
27481	35	2007	2006	2203	1	197	3	92
27481	36	2005	2005	2201	0	196	2	92
27481	37	2005	2005	2199	0	194	2	92
27481	38	2005	2005	2197	0	192	2	92
27481	39	2007	2006	2201	1	195	3	92
27481	40	2005	2005	2199	0	194	2	92
27481	41	2004	2005	2201	-1	196	2	92
27481	42	1999	1999	2193	0	194	2	92
27481	43	2005	2005	2201	0	196	2	92
