"INC Number"	"Bin Number"	"Counts"
1	998	9
1	999	30
1	1000	32
1	1001	29
1	1002	273
1	1003	567
1	1004	60
2	1998	19
2	1999	29
2	2000	20
2	2001	18
2	2002	19
2	2003	26
2	2004	66
2	2005	637
2	2006	165
2	2007	1
4	4000	6
4	4001	17
4	4002	49
4	4003	35
4	4004	24
4	4005	20
4	4006	16
4	4007	17
4	4008	25
4	4009	240
4	4010	402
4	4011	149
8	8012	5
8	8013	54
8	8014	126
8	8015	164
8	8016	30
8	8017	24
8	8018	23
8	8019	52
8	8020	204
8	8021	310
8	8022	8
16	16030	7
16	16031	67
16	16032	224
16	16033	294
16	16034	135
16	16035	23
16	16036	21
16	16037	21
16	16038	49
16	16039	66
16	16040	88
16	16041	4
16	16042	1
32	32059	1
32	32060	3
32	32061	8
32	32062	12
32	32063	22
32	32064	101
32	32065	142
32	32066	136
32	32067	94
32	32068	39
32	32069	63
32	32070	110
32	32071	122
32	32072	112
32	32073	33
32	32074	0
32	32075	0
32	32076	0
32	32077	0
32	32078	0
32	32079	0
32	32080	0
32	32081	0
32	32082	0
32	32083	1
32	32084	1
64	64126	1
64	64127	1
64	64128	7
64	64129	33
64	64130	55
64	64131	51
64	64132	61
64	64133	88
64	64134	162
64	64135	211
64	64136	179
64	64137	94
64	64138	39
64	64139	7
64	64140	6
64	64141	2
64	64142	1
64	64143	0
64	64144	1
64	64145	0
64	64146	0
64	64147	0
64	64148	0
64	64149	0
64	64150	0
64	64151	0
64	64152	0
64	64153	0
64	64154	0
64	64155	0
64	64156	0
64	64157	0
64	64158	0
64	64159	0
64	64160	0
64	64161	0
64	64162	1
