ALGRUNID	ITERNUM	INC_PT	KSD0_PT	KSD1_PT	MR1_PT	RHS_PT	TOT_PT
27441	1	80168	4	4	1	0	9
27441	2	80170	4	4	0	0	8
27441	3	80168	4	4	3	0	11
27441	4	80169	4	4	0	0	8
27441	5	80166	4	5	2	0	11
27441	6	80170	5	4	1	0	10
27441	7	80170	4	4	0	0	8
27441	8	80168	4	4	2	0	10
27441	9	80173	4	4	1	0	9
27441	10	80171	4	4	2	0	10
27441	11	80170	4	4	0	0	8
27441	12	80169	4	4	1	0	9
27441	13	80168	4	4	1	0	9
27441	14	80169	4	4	1	0	9
27441	15	80168	4	4	1	0	9
27441	16	80168	4	4	1	0	9
27441	17	80169	4	4	1	0	9
27441	18	80169	4	4	1	0	9
27441	19	80169	4	4	0	0	8
27441	20	80168	4	4	1	0	9
27441	21	80167	4	4	2	0	10
27441	22	80170	4	4	0	0	8
27441	23	80168	4	4	2	0	10
27441	24	80175	4	5	1	0	10
27441	25	80171	4	4	2	0	10
27441	26	80168	4	4	1	0	9
27441	27	80168	4	4	2	0	10
27441	28	80168	4	4	2	0	10
27441	29	80169	4	4	1	0	9
27441	30	80169	4	4	0	0	8
27441	31	80169	4	4	0	0	8
27441	32	80168	4	4	1	0	9
27441	33	80169	4	4	0	0	8
27441	34	80170	4	4	0	0	8
27441	35	80170	4	4	0	0	8
27441	36	80168	4	4	1	0	9
27441	37	80167	4	4	2	0	10
27441	38	80168	4	4	2	0	10
27441	39	80170	4	4	1	0	9
27441	40	80169	4	4	1	0	9
27441	41	80172	4	4	1	0	9
27441	42	80175	5	4	0	0	9
27441	43	80169	4	4	1	0	9
27441	44	80168	4	4	2	0	10
27441	45	80167	4	4	1	0	9
27441	46	80168	4	4	1	0	9
27441	47	80170	4	4	1	0	9
27441	48	80169	4	4	2	0	10
27441	49	80166	4	5	3	0	12
27441	50	80168	4	4	1	0	9
27441	51	80168	4	4	1	0	9
27441	52	80169	4	4	0	0	8
27441	53	80168	4	4	1	0	9
27441	54	80170	4	4	1	0	9
27441	55	80170	4	4	1	0	9
27441	56	80169	4	4	1	0	9
27441	57	80169	4	4	1	0	9
27441	58	80169	4	4	1	0	9
27441	59	80167	4	4	2	0	10
27441	60	80173	4	5	0	114	123
27441	61	80169	4	4	1	0	9
27441	62	80168	4	4	1	0	9
27441	63	80169	4	4	1	0	9
27441	64	80168	4	4	1	0	9
27441	65	80170	4	4	0	0	8
27441	66	80169	4	4	0	0	8
27441	67	80168	4	4	2	0	10
27441	68	80170	4	4	0	0	8
27441	69	80169	4	4	1	0	9
27441	70	80168	4	4	2	0	10
27441	71	80169	4	4	2	0	10
27441	72	80170	4	4	0	0	8
27441	73	80169	4	4	2	0	10
27441	74	80170	4	4	1	0	9
27441	75	80169	4	4	1	0	9
27441	76	80166	4	4	1	0	9
27441	77	80169	4	4	1	0	9
27441	78	80169	4	4	1	0	9
27441	79	80166	4	4	3	0	11
27441	80	80169	4	4	0	0	8
27441	81	80169	4	4	0	0	8
27441	82	80169	4	4	0	0	8
27441	83	80169	4	4	1	0	9
27441	84	80172	4	4	2	0	10
27441	85	80170	4	4	0	0	8
27441	86	80170	4	4	1	0	9
27441	87	80170	4	4	0	0	8
27441	88	80169	4	4	2	0	10
27441	89	80170	4	4	0	0	8
27441	90	80169	4	4	1	0	9
27441	91	80169	4	4	1	0	9
27441	92	80169	4	4	1	0	9
27441	93	80169	4	4	0	0	8
27441	94	80168	4	4	2	0	10
27441	95	80169	4	4	1	0	9
27441	96	80170	4	4	0	0	8
27441	97	80170	4	4	0	0	8
27441	98	80171	4	4	1	0	9
27441	99	80170	4	4	1	0	9
27441	100	80169	4	4	1	0	9
27441	101	80169	4	4	0	0	8
27441	102	80168	4	4	1	0	9
27441	103	80169	4	4	1	0	9
27441	104	80170	4	4	0	0	8
27441	105	80170	4	4	1	0	9
27441	106	80169	4	4	1	0	9
27441	107	80169	4	4	0	0	8
27441	108	80170	4	4	1	0	9
27441	109	80169	4	4	1	0	9
27441	110	80170	4	4	0	0	8
27441	111	80167	4	4	2	0	10
27441	112	80169	4	4	1	0	9
27441	113	80168	4	4	1	0	9
27441	114	80169	4	4	1	0	9
27441	115	80169	4	4	0	0	8
27441	116	80169	4	4	1	0	9
27441	117	80169	4	4	1	0	9
27441	118	80169	4	4	1	0	9
27441	119	80169	4	4	1	0	9
27441	120	80169	4	4	1	0	9
27441	121	80168	4	4	2	0	10
27441	122	80168	4	4	1	0	9
27441	123	80167	4	4	2	0	10
27441	124	80170	4	4	1	0	9
27441	125	80169	4	4	0	0	8
27441	126	80170	4	5	0	0	9
27441	127	80169	4	4	1	0	9
27441	128	80169	4	4	1	0	9
