ALGRUNID	ITERNUM	INC_PT	KSD0_PT	KSD1_PT	MR1_PT	TOT_PT
19300	1	80170	4	4	2	10
19300	2	80173	4	4	0	8
19300	3	80172	4	4	1	9
19300	4	80172	4	4	0	8
19300	5	80171	4	4	1	9
19300	6	80164	4	4	1	9
19300	7	80170	4	4	2	10
19300	8	80173	4	4	0	8
19300	9	80171	4	4	1	9
19300	10	80177	4	4	0	8
19300	11	80171	4	4	2	10
19300	12	80172	4	4	0	8
19300	13	80167	4	4	0	8
19300	14	80172	4	4	1	9
19300	15	80171	4	4	1	9
19300	16	80172	4	4	1	9
19300	17	80172	4	4	1	9
19300	18	80171	4	4	2	10
19300	19	80164	5	4	2	11
19300	20	80173	4	4	0	8
19300	21	80175	4	4	1	9
19300	22	80173	4	4	0	8
19300	23	80172	4	4	1	9
19300	24	80173	4	4	0	8
19300	25	80166	4	4	2	10
19300	26	80171	4	4	1	9
19300	27	80171	4	4	2	10
19300	28	80173	4	4	0	8
19300	29	80173	4	4	0	8
19300	30	80168	4	4	2	10
19300	31	80171	4	4	1	9
19300	32	80171	4	4	1	9
19300	33	80172	4	4	0	8
19300	34	80171	4	4	1	9
19300	35	80170	4	4	1	9
19300	36	80164	4	4	2	10
19300	37	80172	4	4	1	9
19300	38	80173	4	4	0	8
19300	39	80173	4	4	0	8
19300	40	80173	4	4	1	9
19300	41	80170	4	4	1	9
19300	42	80170	4	4	1	9
19300	43	80172	4	4	1	9
19300	44	80172	4	4	1	9
19300	45	80171	4	4	1	9
19300	46	80171	4	4	2	10
19300	47	80171	4	4	0	8
19300	48	80172	4	4	1	9
19300	49	80171	4	4	2	10
19300	50	80174	4	4	0	8
19300	51	80171	4	4	1	9
19300	52	80172	4	4	0	8
19300	53	80165	4	4	1	9
19300	54	80170	4	4	2	10
19300	55	80174	4	4	1	9
19300	56	80171	4	4	2	10
19300	57	80171	4	4	3	11
19300	58	80167	4	4	1	9
19300	59	80171	4	4	1	9
19300	60	80172	4	4	1	9
19300	61	80171	4	4	1	9
19300	62	80171	4	4	1	9
19300	63	80172	4	4	1	9
19300	64	80165	4	4	1	9
19300	65	80173	4	4	0	8
19300	66	80175	4	4	2	10
19300	67	80173	5	4	1	10
19300	68	80171	4	4	1	9
19300	69	80168	4	4	1	9
19300	70	80171	4	4	0	8
19300	71	80172	4	4	1	9
19300	72	80172	4	4	0	8
19300	73	80172	4	4	1	9
19300	74	80170	4	4	0	8
19300	75	80168	4	4	3	11
19300	76	80170	4	4	3	11
19300	77	80176	4	4	2	10
19300	78	80171	4	4	2	10
19300	79	80171	4	4	1	9
19300	80	80169	4	4	0	8
19300	81	80172	4	4	1	9
19300	82	80173	4	4	1	9
19300	83	80172	4	4	1	9
19300	84	80171	4	4	1	9
19300	85	80166	4	4	2	10
19300	86	80171	4	4	1	9
19300	87	80172	4	4	1	9
19300	88	80172	4	4	1	9
19300	89	80171	4	4	2	10
19300	90	80166	4	4	1	9
19300	91	80173	4	4	0	8
19300	92	80174	4	4	2	10
19300	93	80170	4	4	2	10
19300	94	80173	4	4	0	8
19300	95	80165	4	4	1	9
19300	96	80171	4	4	2	10
19300	97	80172	4	4	1	9
19300	98	80172	4	4	0	8
19300	99	80174	4	4	2	10
19300	100	80167	4	4	0	8
19300	101	80172	4	4	1	9
19300	102	80172	4	4	1	9
19300	103	80172	4	4	1	9
19300	104	80172	4	4	1	9
19300	105	80171	4	4	1	9
19300	106	80170	4	4	0	8
19300	107	80172	4	4	1	9
19300	108	80173	4	4	1	9
19300	109	80172	4	4	0	8
19300	110	80173	4	4	2	10
19300	111	80165	4	4	1	9
19300	112	80171	4	4	1	9
19300	113	80171	4	4	1	9
19300	114	80172	4	4	0	8
19300	115	80171	4	4	2	10
19300	116	80170	4	4	0	8
19300	117	80171	4	4	1	9
19300	118	80172	4	4	1	9
19300	119	80174	4	4	1	9
19300	120	80170	4	4	2	10
19300	121	80170	4	4	2	10
19300	122	80166	4	4	2	10
19300	123	80172	4	4	1	9
19300	124	80173	4	4	0	8
19300	125	80170	4	4	3	11
19300	126	80172	4	4	2	10
19300	127	80167	4	4	0	8
19300	128	80172	4	4	1	9
19300	129	80171	4	4	0	8
19300	130	80171	4	4	2	10
19300	131	80172	4	4	0	8
19300	132	80171	4	4	1	9
19300	133	80167	4	4	2	10
19300	134	80171	4	4	2	10
19300	135	80171	4	4	1	9
19300	136	80174	4	4	2	10
19300	137	80171	4	4	1	9
19300	138	80169	4	4	1	9
19300	139	80170	4	4	1	9
19300	140	80172	4	4	1	9
19300	141	80172	4	4	1	9
19300	142	80170	4	4	2	10
19300	143	80171	4	4	1	9
19300	144	80167	4	4	0	8
19300	145	80171	4	4	1	9
19300	146	80171	4	4	1	9
19300	147	80171	4	4	2	10
19300	148	80172	4	4	1	9
19300	149	80173	4	4	0	8
19300	150	80165	4	4	2	10
19300	151	80172	4	4	0	8
19300	152	80173	4	4	0	8
19300	153	80173	4	4	0	8
19300	154	80173	4	5	1	10
19300	155	80173	4	4	0	8
19300	156	80167	4	4	0	8
19300	157	80174	4	4	0	8
19300	158	80171	4	4	2	10
19300	159	80171	4	4	2	10
19300	160	80171	4	4	1	9
19300	161	80170	4	4	0	8
19300	162	80169	4	4	2	10
19300	163	80170	4	4	2	10
19300	164	80172	4	4	1	9
19300	165	80171	4	4	1	9
19300	166	80172	4	4	1	9
19300	167	80165	4	4	2	10
19300	168	80171	4	4	2	10
19300	169	80171	4	4	2	10
19300	170	80172	4	4	1	9
19300	171	80171	4	4	1	9
19300	172	80172	4	4	1	9
19300	173	80169	4	4	0	8
19300	174	80173	4	4	0	8
19300	175	80169	4	4	3	11
19300	176	80171	4	4	2	10
19300	177	80172	4	4	1	9
19300	178	80168	4	4	1	9
19300	179	80170	4	4	1	9
19300	180	80171	4	4	2	10
19300	181	80172	4	4	1	9
19300	182	80173	4	4	0	8
19300	183	80171	4	4	2	10
19300	184	80166	4	4	2	10
19300	185	80171	4	4	2	10
19300	186	80172	4	4	0	8
19300	187	80172	4	4	2	10
19300	188	80172	4	4	1	9
19300	189	80166	4	5	1	10
19300	190	80172	4	4	1	9
19300	191	80173	4	4	0	8
19300	192	80173	4	4	0	8
19300	193	80169	4	4	4	12
19300	194	80167	4	4	1	9
19300	195	80169	4	4	3	11
19300	196	80173	4	4	3	11
19300	197	80171	4	4	1	9
19300	198	80171	4	4	1	9
19300	199	80165	4	4	2	10
19300	200	80170	4	4	1	9
19300	201	80173	4	4	0	8
19300	202	80170	4	4	1	9
19300	203	80172	4	4	1	9
19300	204	80166	4	4	2	10
