"INC Number"	"Bin Number"	"Counts"
48	48092	1
48	48093	2
48	48094	4
48	48095	21
48	48096	62
48	48097	127
48	48098	132
48	48099	58
48	48100	52
48	48101	79
48	48102	140
48	48103	153
48	48104	125
48	48105	31
48	48106	8
48	48107	3
48	48108	1
48	48109	0
48	48110	0
48	48111	0
48	48112	0
48	48113	0
48	48114	0
48	48115	0
48	48116	0
48	48117	0
48	48118	0
48	48119	0
48	48120	0
48	48121	0
48	48122	1
64	64126	4
64	64127	20
64	64128	41
64	64129	51
64	64130	28
64	64131	46
64	64132	87
64	64133	209
64	64134	241
64	64135	202
64	64136	52
64	64137	13
64	64138	1
64	64139	2
64	64140	1
64	64141	0
64	64142	1
64	64143	0
64	64144	0
64	64145	0
64	64146	0
64	64147	0
64	64148	0
64	64149	0
64	64150	1
