"INC Number"	"Bin Number"	"Counts"
128	128264	15
128	128266	42
128	128268	42
128	128270	58
128	128272	77
128	128274	48
128	128276	15
128	128278	1
128	128280	0
128	128282	1
128	128284	0
128	128286	0
128	128288	0
128	128290	0
128	128292	0
128	128294	0
128	128296	1
256	256530	2
256	256532	11
256	256534	21
256	256536	48
256	256538	55
256	256540	61
256	256542	47
256	256544	25
256	256546	13
256	256548	14
256	256550	2
256	256552	0
256	256554	1
512	513065	3
512	513070	56
512	513075	123
512	513080	82
512	513085	28
512	513090	7
512	513095	1
1024	1026124	2
1024	1026129	13
1024	1026134	37
1024	1026139	86
1024	1026144	77
1024	1026149	50
1024	1026154	25
1024	1026159	4
1024	1026164	4
1024	1026169	2
2048	2052255	2
2048	2052260	13
2048	2052265	25
2048	2052270	37
2048	2052275	53
2048	2052280	50
2048	2052285	43
2048	2052290	26
2048	2052295	23
2048	2052300	14
2048	2052305	7
2048	2052310	6
2048	2052315	0
2048	2052320	0
2048	2052325	1
4096	4104527	2
4096	4104532	3
4096	4104537	3
4096	4104542	8
4096	4104547	13
4096	4104552	11
4096	4104557	19
4096	4104562	29
4096	4104567	21
4096	4104572	21
4096	4104577	45
4096	4104582	32
4096	4104587	23
4096	4104592	22
4096	4104597	18
4096	4104602	13
4096	4104607	6
4096	4104612	6
4096	4104617	1
4096	4104622	2
4096	4104627	0
4096	4104632	1
4096	4104637	0
4096	4104642	1
