ALGRUNID	ITERNUM	U_TIME	S_TIME	PRTIME	ALL_U_TIME	ALL_S_TIME	ALL_MIN_FLT	ALL_MAJ_FLT	ALL_NIVCSW	ALL_NVCSW	ALL_CPU_COUNT	ALL_CPU_DELAY	ALL_BLKIO_COUNT	ALL_SWAPIN_COUNT	ALL_SWAPIN_DELAY	ALL_FREEPGS_COUNT	ALL_FREEPGS_DELAY	ALL_READ_BYTES	ALL_READ_CHAR	ALL_READ_SYSCALLS	ALL_WRITE_BYTES	ALL_WRITE_CHAR	ALL_WRITE_SYSCALLS
19180	1	3008	0	3008	192	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19180	2	3008	0	3008	200	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19180	3	3007	0	3007	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19180	4	3002	0	3002	198	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19180	5	3008	0	3008	196	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19180	6	3008	0	3008	194	6	13	0	0	1	1	127	0	0	0	0	0	0	1	3	0	37	0
19180	7	3007	0	3007	192	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19180	8	3009	0	3009	192	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19180	9	3006	0	3006	192	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19180	10	3003	0	3003	192	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19180	11	3007	1	3008	196	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19180	12	3008	0	3008	194	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19180	13	3007	0	3007	192	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19180	14	3009	0	3009	190	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19180	15	3001	0	3001	192	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19180	16	3007	0	3007	194	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19180	17	3008	0	3008	196	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19180	18	3008	0	3008	196	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19180	19	3007	0	3007	195	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19180	20	3008	0	3008	196	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19180	21	3001	0	3001	192	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19180	22	3007	0	3007	196	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19180	23	3007	1	3008	192	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19180	24	3007	0	3007	192	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19180	25	3007	1	3008	196	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19180	26	3006	0	3006	192	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19180	27	3005	0	3005	196	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19180	28	3008	0	3008	192	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19180	29	3008	1	3009	192	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19180	30	3007	0	3007	192	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19180	31	3007	0	3007	192	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19180	32	3002	0	3002	192	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19180	33	3007	0	3007	194	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19180	34	3007	0	3007	194	4	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
19180	35	3008	0	3008	196	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19180	36	3008	0	3008	194	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19180	37	3007	0	3007	198	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19180	38	3002	0	3002	190	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19180	39	3007	0	3007	194	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19180	40	3008	0	3008	190	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19180	41	3008	0	3008	192	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19180	42	3008	0	3008	192	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19180	43	3004	0	3004	192	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19180	44	3006	0	3006	194	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19180	45	3008	0	3008	192	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19180	46	3007	0	3007	192	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
