WL	MIN_pt	MAX_pt	MED_pt	AVG_pt	SD_pt	task_sec
11.125	11144	11154	11148.0	11149.2	3.01	11125.0
11.25	11270	11280	11273.0	11274.4	3.04	11250.0
11.375	11395	11408	11398.0	11399.7	3.2	11375.0
11.5	11521	11543	11523.0	11525.0	3.04	11500.0
11.625	11645	11655	11649.0	11650.2	3.02	11625.0
11.75	11771	11781	11774.0	11775.4	3.13	11750.0
11.875	11897	11907	11899.0	11900.7	2.96	11875.0
25.0	25045	25057	25053.0	25052.2	2.6	25000.0
26.0	26048	26068	26055.0	26054.1	2.85	26000.0
27.0	27049	27061	27058.0	27056.3	2.91	27000.0
28.0	28052	28063	28060.0	28058.2	2.94	28000.0
29.0	29054	29078	29062.0	29060.2	3.1	29000.0
30.0	30057	30070	30063.0	30062.8	3.06	30000.0
31.0	31060	31072	31064.0	31065.3	3.14	31000.0
