ALGRUNID	ITERNUM	U_TIME	S_TIME	PRTIME	ALL_U_TIME	ALL_S_TIME	ALL_MIN_FLT	ALL_MAJ_FLT	ALL_NIVCSW	ALL_NVCSW	ALL_CPU_COUNT	ALL_CPU_DELAY	ALL_BLKIO_COUNT	ALL_SWAPIN_COUNT	ALL_SWAPIN_DELAY	ALL_FREEPGS_COUNT	ALL_FREEPGS_DELAY	ALL_READ_BYTES	ALL_READ_CHAR	ALL_READ_SYSCALLS	ALL_WRITE_BYTES	ALL_WRITE_CHAR	ALL_WRITE_SYSCALLS
19200	1	6011	0	6011	196	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8192	0	0
19200	2	6017	0	6017	194	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	8192	0	0
19200	3	6014	0	6014	194	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8192	0	0
19200	4	6012	1	6013	194	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	8192	0	0
19200	5	6015	1	6016	196	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	8192	0	0
19200	6	6013	1	6014	194	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	8192	0	0
19200	7	6013	0	6013	194	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	8192	0	0
19200	8	6017	0	6017	196	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	8192	0	0
19200	9	6012	0	6012	194	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	8192	0	0
19200	10	6013	0	6013	192	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8192	0	0
19200	11	6016	0	6016	190	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	8192	0	0
19200	12	6011	1	6012	192	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8192	0	0
19200	13	6014	2	6016	194	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	8192	0	0
19200	14	6015	1	6016	192	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	8192	0	0
19200	15	6011	0	6011	190	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	8192	0	0
19200	16	6015	0	6015	196	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	8192	0	0
19200	17	6016	0	6016	192	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	8192	0	0
19200	18	6012	0	6012	192	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	8192	0	0
19200	19	6015	1	6016	190	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8192	0	0
19200	20	6014	1	6015	196	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	8192	0	0
19200	21	6012	0	6012	194	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8192	0	0
19200	22	6016	0	6016	192	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	8192	0	0
19200	23	6014	1	6015	192	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	8192	0	0
19200	24	6012	0	6012	190	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	8192	0	0
19200	25	6017	0	6017	188	9	4	0	0	0	0	0	0	0	0	0	0	0	0	0	8192	0	0
