"INC Number"	"Bin Number"	"Counts"
1	999	1
1	1000	0
1	1001	1
1	1002	11
1	1003	15
1	1004	2
2	1999	1
2	2000	1
2	2001	0
2	2002	2
2	2003	0
2	2004	2
2	2005	21
2	2006	3
4	4003	2
4	4004	2
4	4005	1
4	4006	0
4	4007	1
4	4008	1
4	4009	9
4	4010	12
4	4011	2
8	8013	1
8	8014	3
8	8015	6
8	8016	0
8	8017	0
8	8018	3
8	8019	2
8	8020	10
8	8021	5
16	16032	5
16	16033	15
16	16034	5
16	16035	2
16	16036	0
16	16037	0
16	16038	2
16	16039	1
32	32063	1
32	32064	4
32	32065	9
32	32066	1
32	32067	1
32	32068	0
32	32069	3
32	32070	5
32	32071	4
32	32072	2
64	64128	3
64	64129	1
64	64130	4
64	64131	2
64	64132	1
64	64133	3
64	64134	6
64	64135	2
64	64136	5
64	64137	3
128	128262	5
128	128264	3
128	128266	3
128	128268	4
128	128270	10
128	128272	2
128	128274	2
128	128276	1
256	256530	8
256	256532	5
256	256534	6
256	256536	5
256	256538	5
256	256540	1
512	513056	3
512	513061	12
512	513066	8
512	513071	7
1024	1026117	3
1024	1026122	7
1024	1026127	7
1024	1026132	10
1024	1026137	3
2048	2052235	3
2048	2052240	5
2048	2052245	7
2048	2052250	4
2048	2052255	4
2048	2052260	3
2048	2052265	3
2048	2052270	0
2048	2052275	1
4096	4104480	5
4096	4104485	5
4096	4104490	5
4096	4104495	2
4096	4104500	4
4096	4104505	3
4096	4104510	3
4096	4104515	0
4096	4104520	2
4096	4104525	0
4096	4104530	1
8192	8208954	2
8192	8208959	0
8192	8208964	3
8192	8208969	2
8192	8208974	1
8192	8208979	3
8192	8208984	2
8192	8208989	5
8192	8208994	4
8192	8208999	1
8192	8209004	2
8192	8209009	2
8192	8209014	2
8192	8209019	1
16384	16417925	3
16384	16417935	2
16384	16417945	7
16384	16417955	2
16384	16417965	4
16384	16417975	2
16384	16417985	0
16384	16417995	1
16384	16418005	5
16384	16418015	3
16384	16418025	1
