INC_NUMBER	BIN_NUMBER	BIN_FREQUENCY
1	1001	4
1	1002	77
1	1003	175
1	1004	21
2	2001	1
2	2002	3
2	2004	27
2	2005	178
2	2006	66
2	2007	3
4	4002	2
4	4003	2
4	4004	2
4	4005	2
4	4006	5
4	4007	1
4	4009	74
4	4010	131
4	4011	57
4	4012	1
8	8007	1
8	8008	4
8	8009	2
8	8010	2
8	8011	2
8	8012	5
8	8013	1
8	8014	1
8	8015	2
8	8016	3
8	8017	2
8	8018	2
8	8019	16
8	8020	85
8	8021	129
8	8022	16
8	8023	1
16	16017	5
16	16018	6
16	16020	4
16	16021	1
16	16022	2
16	16024	4
16	16025	1
16	16026	1
16	16027	2
16	16028	2
16	16029	1
16	16031	2
16	16032	5
16	16033	1
16	16034	1
16	16035	1
16	16036	4
16	16037	4
16	16038	22
16	16039	79
16	16040	98
16	16041	18
32	32050	3
32	32051	5
32	32052	37
32	32053	36
32	32054	20
32	32055	4
32	32057	3
32	32059	1
32	32060	2
32	32061	2
32	32062	1
32	32063	1
32	32064	1
32	32065	2
32	32066	2
32	32067	2
32	32068	1
32	32070	2
32	32071	2
32	32073	2
32	32074	2
32	32075	3
32	32076	4
32	32077	33
32	32078	74
32	32079	42
32	32080	6
32	32081	1
32	32082	3
32	32083	2
32	32088	1
64	64124	2
64	64128	1
64	64129	6
64	64130	13
64	64131	26
64	64132	31
64	64133	47
64	64134	38
64	64135	35
64	64136	23
64	64137	21
64	64138	15
64	64139	6
64	64140	4
64	64141	2
64	64142	2
64	64143	1
64	64144	4
64	64145	1
64	64146	1
128	128252	1
128	128253	1
128	128255	4
128	128257	5
128	128258	6
128	128259	10
128	128260	19
128	128261	25
128	128262	16
128	128263	16
128	128264	20
128	128265	10
128	128266	17
128	128267	11
128	128268	14
128	128269	8
128	128270	5
128	128271	5
128	128272	5
128	128275	1
128	128276	1
128	128277	1
128	128279	3
128	128280	1
128	128281	1
128	128282	8
128	128283	3
128	128284	13
128	128285	13
128	128286	19
128	128287	15
128	128288	14
128	128289	3
128	128290	1
128	128291	2
128	128292	1
128	128293	2
