INC_NUMBER	BIN	BIN_FREQ
1	998	9
1	999	35
1	1000	26
1	1001	28
1	1002	250
1	1003	603
1	1004	49
2	1998	4
2	1999	31
2	2000	25
2	2001	23
2	2002	22
2	2003	34
2	2004	65
2	2005	636
2	2006	153
2	2007	7
3	3001	39
3	3002	56
3	3003	36
3	3004	23
3	3005	25
3	3006	30
3	3007	384
3	3008	360
3	3009	47
4	4003	38
4	4004	87
4	4005	42
4	4006	27
4	4007	33
4	4008	23
4	4009	212
4	4010	369
4	4011	167
4	4012	2
6	6008	11
6	6009	45
6	6010	139
6	6011	92
6	6012	22
6	6013	27
6	6014	67
6	6015	167
6	6016	314
6	6017	115
6	6018	1
8	8013	18
8	8014	95
8	8015	194
8	8016	78
8	8017	26
8	8018	29
8	8019	52
8	8020	180
8	8021	299
8	8022	29
12	12022	10
12	12023	92
12	12024	310
12	12025	140
12	12026	49
12	12027	21
12	12028	21
12	12029	71
12	12030	180
12	12031	94
12	12032	11
12	12033	1
16	16031	1
16	16032	60
16	16033	324
16	16034	341
16	16035	85
16	16036	21
16	16037	19
16	16038	40
16	16039	53
16	16040	50
16	16041	6
24	24044	2
24	24045	22
24	24046	58
24	24047	76
24	24048	53
24	24049	23
24	24050	29
24	24051	94
24	24052	285
24	24053	268
24	24054	86
24	24055	3
24	24061	1
32	32064	7
32	32065	75
32	32066	234
32	32067	259
32	32068	71
32	32069	36
32	32070	22
32	32071	55
32	32072	120
32	32073	100
32	32074	16
32	32075	1
32	32076	2
32	32077	1
32	32086	1
48	48096	5
48	48097	27
48	48098	39
48	48099	83
48	48100	126
48	48101	121
48	48102	101
48	48103	91
48	48104	117
48	48105	130
48	48106	103
48	48107	39
48	48108	14
48	48109	2
48	48110	1
48	48121	1
64	64128	2
64	64129	4
64	64130	31
64	64131	89
64	64132	99
64	64133	80
64	64134	29
64	64135	37
64	64136	111
64	64137	184
64	64138	205
64	64139	96
64	64140	26
64	64141	4
64	64142	3
72	72149	1
72	72150	6
72	72151	27
72	72152	122
72	72153	256
72	72154	198
72	72155	87
72	72156	38
72	72157	39
