INC_NUMBER	PT	FREQ
1	998	9
1	999	35
1	1000	26
1	1001	28
1	1002	250
1	1003	603
1	1004	49
2	1998	4
2	1999	31
2	2000	25
2	2001	23
2	2002	22
2	2003	34
2	2004	65
2	2005	636
2	2006	153
2	2007	7
3	3001	39
3	3002	56
3	3003	36
3	3004	23
3	3005	25
3	3006	30
3	3007	384
3	3008	360
3	3009	47
4	4003	38
4	4004	87
4	4005	42
4	4006	27
4	4007	33
4	4008	23
4	4009	212
4	4010	369
4	4011	167
4	4012	2
6	6008	11
6	6009	45
6	6010	139
6	6011	92
6	6012	22
6	6013	27
6	6014	67
6	6015	167
6	6016	314
6	6017	115
6	6018	1
8	8013	18
8	8014	95
8	8015	194
8	8016	78
8	8017	26
8	8018	29
8	8019	52
8	8020	180
8	8021	299
8	8022	29
9	9014	2
9	9015	8
9	9016	132
9	9017	266
9	9018	56
9	9019	15
9	9020	19
9	9021	32
9	9022	143
9	9023	307
9	9024	20
10	10017	3
10	10018	121
10	10019	263
10	10020	79
10	10021	27
10	10022	29
10	10023	27
10	10024	87
10	10025	270
10	10026	93
11	11019	10
11	11020	125
11	11021	287
11	11022	62
11	11023	20
11	11024	30
11	11025	27 
11	11026	75
11	11027	191
11	11028	159
11	11029	14
12	12022	10
12	12023	92
12	12024	310
12	12025	140
12	12026	49
12	12027	21
12	12028	21
12	12029	71
12	12030	180
12	12031	94
12	12032	11
12	12033	1
13	13024	17
13	13025	138
13	13026	315
13	13027	131
13	13028	52
13	13029	34
13	13030	32
13	13031	70
13	13032	145
13	13033	65
13	13034	1
14	14024	2
14	14025	2
14	14026	34
14	14027	162
14	14028	284
14	14029	148
14	14030	29
14	14031	28
14	14032	18
14	14033	52
14	14034	132
14	14035	91
14	14036	18
15	15028	2
15	15029	79
15	15030	291
15	15031	277
15	15032	77
15	15033	28
15	15034	17
15	15035	42
15	15036	81
15	15037	86
15	15038	20
16	16031	1
16	16032	60
16	16033	324
16	16034	341
16	16035	85
16	16036	21
16	16037	19
16	16038	40
16	16039	53
16	16040	50
16	16041	6
17	17033	23
17	17034	179
