RUNID	ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
22821	1	15816	15815	16017	1	202	4	95
22821	2	15817	15814	16017	3	203	5	95
22821	3	15819	15816	16021	3	205	5	95
22821	4	15817	15816	16024	1	208	4	95
22821	5	15818	15816	16022	2	206	4	95
22821	6	15820	15816	16032	4	216	7	96
22821	7	15816	15816	16017	0	201	3	95
22821	8	15827	15818	16029	9	211	5	95
22821	9	15818	15816	16020	2	204	4	95
22821	10	15812	15811	16014	1	203	3	95
22821	11	15820	15816	16022	4	206	6	95
22821	12	15816	15816	16017	0	201	3	95
22821	13	15817	15814	16018	3	204	4	95
22821	14	15815	15811	16018	4	207	5	95
22821	15	15817	15814	16020	3	206	4	95
22821	16	15822	15817	16024	5	207	6	95
22821	17	15818	15815	16020	3	205	5	95
22821	18	15815	15812	16018	3	206	4	95
22821	19	15818	15816	16020	2	204	4	95
22821	20	15823	15818	16024	5	206	5	95
22821	21	15825	15814	16028	11	214	4	95
22821	22	15824	15818	16026	6	208	5	95
22821	23	15829	15819	16031	10	212	5	95
22821	24	15822	15816	16025	6	209	4	95
22821	25	15830	15815	16033	15	218	5	95
22821	26	15837	15819	16042	18	223	4	95
22821	27	15818	15816	16020	2	204	4	95
22821	28	15824	15819	16027	5	208	5	95
22821	29	15812	15812	16013	0	201	3	95
22821	30	15819	15817	16024	2	207	6	95
22821	31	15819	15816	16022	3	206	4	95
22821	32	15815	15813	16021	2	208	4	95
22821	33	15818	15817	16019	1	202	4	95
22821	34	15828	15818	16028	10	210	5	95
22821	35	15822	15818	16024	4	206	4	95
22821	36	15826	15816	16028	10	212	5	95
22821	37	15825	15817	16027	8	210	6	95
22821	38	15816	15815	16017	1	202	4	95
22821	39	15818	15815	16018	3	203	5	95
22821	40	15813	15811	16016	2	205	3	95
