ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
1	206844	206832	207056	12	224	7	95
2	206844	206829	207059	15	230	8	95
3	206851	206836	207064	15	228	7	95
4	206848	206830	207064	18	234	8	95
5	206843	206832	207058	11	226	7	95
6	206849	206837	207062	12	225	6	95
7	206848	206833	207061	15	228	7	95
8	206844	206829	207058	15	229	8	95
9	206846	206828	207060	18	232	8	95
10	206846	206831	207058	15	227	6	95
11	206846	206833	207060	13	227	6	95
12	206844	206832	207056	12	224	6	95
13	206846	206827	207061	19	234	9	95
14	206849	206833	207060	16	227	7	95
15	206838	206824	207054	14	230	7	95
16	206851	206834	207064	17	230	6	95
17	206848	206830	207060	18	230	6	95
18	206849	206833	207062	16	229	6	95
19	206850	206835	207064	15	229	7	95
20	206847	206832	207062	15	230	7	95
21	206842	206825	207058	17	233	9	95
22	206850	206833	207063	17	230	6	95
23	206843	206833	207057	10	224	6	95
24	206848	206831	207059	17	228	8	95
25	206849	206833	207066	16	233	9	95
26	206846	206832	207059	14	227	7	95
27	206847	206833	207061	14	228	8	95
28	206848	206833	207064	15	231	8	95
29	206851	206834	207065	17	231	6	95
30	206845	206830	207057	15	227	7	95
31	206851	206835	207066	16	231	7	95
32	206850	206836	207063	14	227	7	95
33	206841	206826	207057	15	231	7	95
34	206851	206832	207061	19	229	7	95
35	206848	206830	207059	18	229	7	95
36	206852	206837	207066	15	229	8	95
37	206841	206827	207056	14	229	6	95
38	206853	206836	207065	17	229	8	95
39	206849	206831	207063	18	232	6	95
40	206843	206826	207059	17	233	8	95
