RUNID	ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
23361	1	2217079	2183292	2217197	33787	33905	10	96
23361	2	2217088	2183269	2217192	33819	33923	14	100
23361	3	2217102	2183256	2217209	33846	33953	10	96
23361	4	2216930	2183238	2217034	33692	33796	11	96
23361	5	2216876	2183244	2216981	33632	33737	12	96
23361	6	2216919	2183232	2217015	33687	33783	10	96
23361	7	2216980	2183262	2217083	33718	33821	10	96
23361	8	2217080	2183249	2217172	33831	33923	10	96
23361	9	2216994	2183260	2217091	33734	33831	9	96
23361	10	2216987	2183224	2217075	33763	33851	11	96
23361	11	2216896	2183278	2216997	33618	33719	11	96
23361	12	2216861	2183261	2216956	33600	33695	10	96
23361	13	2216826	2183235	2216916	33591	33681	10	96
23361	14	2216845	2183247	2216947	33598	33700	9	96
23361	15	2216662	2183273	2216759	33389	33486	11	96
23361	16	2216852	2183236	2216931	33616	33695	11	96
23361	17	2216779	2183265	2216883	33514	33618	11	96
23361	18	2217052	2183294	2217166	33758	33872	10	96
23361	19	2217021	2183274	2217130	33747	33856	12	96
23361	20	2217092	2183264	2217186	33828	33922	11	96
23361	21	2217180	2183280	2217271	33900	33991	11	96
23361	22	2217050	2183265	2217148	33785	33883	11	96
23361	23	2217020	2183257	2217120	33763	33863	11	96
23361	24	2216938	2183269	2217030	33669	33761	11	96
23361	25	2217062	2183275	2217170	33787	33895	10	96
23361	26	2216860	2183277	2216984	33583	33707	9	96
23361	27	2216960	2183234	2217049	33726	33815	9	96
23361	28	2217021	2183233	2217116	33788	33883	10	96
23361	29	2217023	2183239	2217274	33784	34035	11	96
23361	30	2216881	2183233	2217000	33648	33767	11	96
23361	31	2216850	2183248	2216935	33602	33687	11	96
23361	32	2217032	2183255	2217129	33777	33874	9	96
23361	33	2216820	2183258	2216911	33562	33653	10	96
23361	34	2216739	2183286	2216848	33453	33562	10	96
23361	35	2216684	2183290	2216789	33394	33499	10	96
23361	36	2217102	2183274	2217209	33828	33935	16	107
23361	37	2216805	2183254	2216896	33551	33642	11	96
23361	38	2216926	2183233	2217026	33693	33793	11	96
23361	39	2217064	2183260	2217159	33804	33899	11	96
23361	40	2216998	2183260	2217072	33738	33812	11	96
23361	41	2217048	2183274	2217147	33774	33873	15	100
23361	42	2216961	2183255	2217069	33706	33814	10	96
23361	43	2217110	2183253	2217226	33857	33973	11	96
23361	44	2216930	2183289	2217032	33641	33743	11	96
23361	45	2216931	2183252	2217015	33679	33763	11	96
23361	46	2217111	2183266	2217212	33845	33946	11	96
23361	47	2216951	2183263	2217053	33688	33790	10	96
23361	48	2217069	2183262	2217171	33807	33909	10	96
23361	49	2216995	2183259	2217084	33736	33825	10	96
23361	50	2217034	2183202	2217130	33832	33928	11	96
23361	51	2216829	2183258	2216932	33571	33674	10	96
23361	52	2216886	2183250	2216997	33636	33747	9	96
23361	53	2216812	2183238	2216964	33574	33726	10	96
23361	54	2216784	2183303	2216892	33481	33589	10	96
23361	55	2216736	2183281	2216830	33455	33549	9	96
23361	56	2216829	2183280	2216934	33549	33654	9	96
23361	57	2217025	2183281	2217145	33744	33864	10	96
23361	58	2216912	2183269	2217006	33643	33737	10	96
23361	59	2217076	2183296	2217179	33780	33883	10	96
23361	60	2217087	2183254	2217180	33833	33926	11	96
23361	61	2217105	2183260	2217208	33845	33948	10	96
23361	62	2216991	2183254	2217099	33737	33845	11	96
23361	63	2216954	2183275	2217060	33679	33785	11	96
23361	64	2217097	2183267	2217187	33830	33920	8	96
23361	65	2216914	2183209	2216996	33705	33787	10	96
23361	66	2217003	2183247	2217103	33756	33856	10	96
23361	67	2217009	2183243	2217099	33766	33856	10	96
23361	68	2216986	2183264	2217237	33722	33973	10	96
23361	69	2217011	2183243	2217097	33768	33854	12	96
23361	70	2216886	2183211	2216972	33675	33761	10	96
23361	71	2216954	2183223	2217021	33731	33798	10	96
23361	72	2216905	2183237	2217010	33668	33773	9	96
23361	73	2216843	2183279	2216940	33564	33661	10	96
23361	74	2216762	2183292	2216865	33470	33573	10	96
23361	75	2217047	2183289	2217159	33758	33870	14	107
23361	76	2216818	2183264	2216909	33554	33645	10	96
23361	77	2216971	2183245	2217072	33726	33827	9	96
23361	78	2217041	2183295	2217142	33746	33847	10	96
23361	79	2217176	2183289	2217292	33887	34003	10	96
23361	80	2217132	2183265	2217220	33867	33955	15	100
23361	81	2217020	2183272	2217131	33748	33859	11	96
23361	82	2217169	2183269	2217272	33900	34003	10	96
23361	83	2216980	2183275	2217077	33705	33802	10	96
23361	84	2216910	2183260	2216996	33650	33736	9	96
23361	85	2216865	2183245	2216973	33620	33728	10	96
23361	86	2216950	2183251	2217060	33699	33809	10	96
23361	87	2217009	2183239	2217109	33770	33870	10	96
23361	88	2216952	2183249	2217033	33703	33784	10	96
23361	89	2217146	2183245	2217232	33901	33987	11	96
23361	90	2216831	2183188	2216905	33643	33717	10	96
23361	91	2216898	2183297	2216990	33601	33693	9	96
23361	92	2216920	2183263	2217025	33657	33762	10	96
23361	93	2217002	2183250	2217091	33752	33841	10	96
23361	94	2216707	2183278	2216828	33429	33550	9	96
