RUNID	ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
23341	1	275684	275654	275884	30	230	6	93
23341	2	275684	275655	275883	29	228	6	93
23341	3	275694	275660	275893	34	233	6	93
23341	4	275688	275658	275886	30	228	6	93
23341	5	275687	275656	275887	31	231	7	93
23341	6	275692	275661	275891	31	230	6	93
23341	7	275690	275659	275889	31	230	6	93
23341	8	275686	275657	275885	29	228	6	93
23341	9	275698	275666	275898	32	232	6	93
23341	10	275690	275658	275889	32	231	6	93
23341	11	275689	275655	275888	34	233	8	93
23341	12	275687	275656	275891	31	235	7	93
23341	13	275693	275662	275891	31	229	6	93
23341	14	275690	275657	275890	33	233	7	93
23341	15	275683	275652	275882	31	230	7	93
23341	16	275702	275669	275902	33	233	7	93
23341	17	275703	275670	275900	33	230	6	93
23341	18	275684	275654	275883	30	229	6	93
23341	19	275646	275613	275847	33	234	7	93
23341	20	275357	275323	275556	34	233	7	93
23341	21	275355	275323	275552	32	229	6	93
23341	22	275353	275320	275553	33	233	8	93
23341	23	275348	275318	275549	30	231	7	93
23341	24	275354	275321	275553	33	232	6	93
23341	25	275345	275316	275544	29	228	6	93
23341	26	275353	275318	275547	35	229	7	93
23341	27	275352	275320	275550	32	230	7	93
23341	28	275352	275318	275548	34	230	6	93
23341	29	275361	275329	275559	32	230	6	93
23341	30	275358	275324	275557	34	233	7	93
23341	31	275358	275327	275557	31	230	6	93
23341	32	275356	275326	275554	30	228	7	93
23341	33	275350	275316	275548	34	232	6	93
23341	34	275356	275325	275555	31	230	6	93
23341	35	275353	275319	275552	34	233	6	93
23341	36	275358	275329	275558	29	229	6	93
23341	37	275354	275322	275553	32	231	6	93
23341	38	275359	275326	275558	33	232	7	93
23341	39	275360	275328	275560	32	232	6	93
23341	40	275346	275314	275545	32	231	7	93
23341	41	275358	275328	275554	30	226	7	93
23341	42	275360	275328	275559	32	231	6	93
23341	43	275345	275312	275544	33	232	7	93
23341	44	275360	275331	275559	29	228	7	93
23341	45	275352	275319	275552	33	233	7	93
23341	46	275356	275325	275555	31	230	6	93
23341	47	275358	275325	275558	33	233	7	93
23341	48	275349	275317	275549	32	232	7	93
23341	49	275356	275323	275555	33	232	7	93
23341	50	275355	275323	275552	32	229	7	93
23341	51	275348	275317	275548	31	231	6	93
23341	52	275363	275334	275563	29	229	6	93
23341	53	275353	275323	275550	30	227	6	93
23341	54	275353	275322	275553	31	231	6	93
23341	55	275363	275329	275563	34	234	8	93
23341	56	275349	275318	275547	31	229	6	93
23341	57	275356	275324	275554	32	230	6	93
23341	58	275352	275321	275552	31	231	6	93
23341	59	275358	275326	275557	32	231	6	93
23341	60	275351	275320	275550	31	230	7	93
23341	61	275357	275326	275554	31	228	6	93
23341	62	275348	275317	275548	31	231	7	93
23341	63	275347	275316	275547	31	231	6	93
23341	64	275352	275317	275552	35	235	7	93
23341	65	275352	275319	275549	33	230	7	93
23341	66	275357	275326	275557	31	231	6	93
23341	67	275359	275329	275558	30	229	6	93
23341	68	275359	275326	275556	33	230	7	93
23341	69	275359	275329	275559	30	230	6	93
23341	70	275359	275328	275555	31	227	6	93
23341	71	275359	275326	275558	33	232	7	93
23341	72	275363	275334	275560	29	226	6	93
23341	73	275357	275327	275556	30	229	6	93
23341	74	275344	275312	275541	32	229	7	93
23341	75	275359	275326	275559	33	233	6	93
23341	76	275360	275327	275560	33	233	8	93
23341	77	275359	275327	275559	32	232	7	93
23341	78	275355	275323	275557	32	234	6	93
23341	79	275360	275329	275557	31	228	7	93
23341	80	275358	275328	275558	30	230	6	93
23341	81	275356	275328	275555	28	227	7	93
23341	82	275357	275322	275553	35	231	7	93
23341	83	275358	275326	275554	32	228	7	93
23341	84	275349	275317	275548	32	231	7	93
23341	85	275360	275327	275557	33	230	6	93
23341	86	275361	275330	275561	31	231	7	93
23341	87	275356	275325	275556	31	231	6	93
23341	88	275352	275322	275553	30	231	7	93
23341	89	275357	275323	275556	34	233	6	93
23341	90	275352	275319	275549	33	230	6	93
23341	91	275354	275320	275553	34	233	7	93
23341	92	275357	275325	275554	32	229	7	93
23341	93	275356	275326	275556	30	230	8	93
23341	94	275364	275331	275564	33	233	7	93
23341	95	275355	275325	275558	30	233	7	93
23341	96	275363	275325	275563	38	238	9	93
23341	97	275358	275328	275556	30	228	7	93
23341	98	275350	275316	275549	34	233	6	93
23341	99	275356	275322	275555	34	233	6	93
23341	100	275349	275319	275548	30	229	6	93
23341	101	275349	275318	275549	31	231	6	93
23341	102	275354	275321	275551	33	230	7	93
23341	103	275357	275323	275554	34	231	6	93
23341	104	275355	275324	275554	31	230	7	93
23341	105	275358	275326	275558	32	232	6	93
23341	106	275355	275328	275554	27	226	7	93
23341	107	275360	275329	275560	31	231	6	93
23341	108	275360	275329	275557	31	228	6	93
23341	109	275346	275313	275546	33	233	6	93
23341	110	275358	275328	275555	30	227	7	93
23341	111	275349	275317	275549	32	232	7	93
23341	112	275351	275318	275551	33	233	6	93
23341	113	275351	275319	275549	32	230	8	93
23341	114	275360	275330	275558	30	228	6	93
23341	115	275352	275319	275549	33	230	6	93
23341	116	275354	275325	275553	29	228	7	93
23341	117	275356	275325	275554	31	229	6	93
23341	118	275357	275326	275557	31	231	7	93
23341	119	275355	275322	275555	33	233	8	93
23341	120	275363	275327	275563	36	236	7	93
23341	121	275354	275321	275549	33	228	6	93
23341	122	275347	275320	275546	27	226	5	93
23341	123	275356	275326	275554	30	228	6	93
23341	124	275349	275316	275547	33	231	6	93
23341	125	275356	275326	275556	30	230	6	93
23341	126	275349	275315	275549	34	234	6	93
23341	127	275360	275327	275559	33	232	6	93
23341	128	275346	275314	275546	32	232	8	93
23341	129	275359	275328	275558	31	230	6	93
23341	130	275350	275320	275551	30	231	7	93
23341	131	275356	275325	275554	31	229	6	93
