WL	MIN_pt	MAX_pt	MED_pt	AVG_pt	SD_pt	task_sec
144	8869	8883	8881.0	8880.2	3.03	144000
288	35528	36009	35541.0	35574.9	125.12	288000
580	145803	147289	145814.0	145885.3	314.13	580000
1024	3011	9067	3025.0	3290.7	1233.33	1024000
1024	3011	9067	3025.0	3290.7	1233.33	1024000
1160	578599	578637	578611.0	578611.0	5.54	1160000
2048	24268	89115	33162.5	29387.9	7598.79	2048000
2048	24268	89115	33162.5	29387.9	7598.79	2048000
2320	2316603	2316643	2316623.0	2316622.9	8.87	2320000
4096	224121	1021247	344081.0	287964.9	77510.16	4096000
4096	224121	1021247	344081.0	287964.9	77510.16	4096000
8192	2057680	6478284	2183299.5	4246498.2	2151969.27	8192000
8192	2057680	6478284	2183299.5	4246498.2	2151969.27	8192000
