RUNID	ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
24221	1	278590	278557	278787	33	230	6	93
24221	2	278601	278566	278799	35	233	8	93
24221	3	278591	278560	278792	31	232	8	93
24221	4	278598	278567	278798	31	231	7	93
24221	5	278593	278563	278793	30	230	7	93
24221	6	278635	278574	278831	61	257	10	104
24221	7	278596	278563	278796	33	233	7	93
24221	8	278595	278563	278793	32	230	6	93
24221	9	278596	278564	278796	32	232	6	93
24221	10	277974	277942	278174	32	232	8	93
24221	11	277227	277196	277425	31	229	6	93
24221	12	277227	277195	277426	32	231	6	93
24221	13	277237	277206	277435	31	229	7	93
24221	14	277231	277199	277429	32	230	6	93
24221	15	277236	277203	277433	33	230	6	93
24221	16	277229	277197	277427	32	230	6	93
24221	17	277229	277198	277428	31	230	7	93
24221	18	277236	277205	277435	31	230	6	93
24221	19	277232	277199	277429	33	230	6	93
24221	20	277228	277196	277427	32	231	6	93
24221	21	277228	277198	277428	30	230	7	93
24221	22	277229	277197	277428	32	231	6	93
24221	23	277232	277201	277432	31	231	7	93
24221	24	277232	277200	277431	32	231	6	93
24221	25	277227	277198	277425	29	227	6	93
24221	26	277229	277197	277429	32	232	7	93
24221	27	277237	277200	277436	37	236	8	93
24221	28	277229	277198	277429	31	231	7	93
24221	29	277231	277201	277427	30	226	6	93
24221	30	277236	277204	277435	32	231	6	93
24221	31	277239	277205	277434	34	229	7	93
24221	32	277234	277203	277432	31	229	6	93
24221	33	277227	277197	277427	30	230	7	93
24221	34	277231	277198	277430	33	232	7	93
24221	35	277239	277206	277436	33	230	6	93
24221	36	277226	277196	277424	30	228	6	93
24221	37	277229	277198	277426	31	228	6	93
24221	38	277230	277197	277429	33	232	7	93
24221	39	277231	277200	277429	31	229	6	93
24221	40	277230	277199	277429	31	230	6	93
24221	41	277234	277202	277432	32	230	8	93
24221	42	277233	277202	277433	31	231	6	93
24221	43	277230	277199	277430	31	231	6	93
24221	44	277234	277201	277432	33	231	6	93
24221	45	277256	277207	277455	49	248	11	97
24221	46	277227	277195	277425	32	230	6	93
24221	47	277231	277199	277428	32	229	6	93
24221	48	277229	277199	277429	30	230	6	93
24221	49	277228	277197	277425	31	228	6	93
24221	50	277228	277198	277428	30	230	6	93
24221	51	277233	277203	277432	30	229	7	93
24221	52	277233	277200	277430	33	230	6	93
24221	53	277231	277199	277431	32	232	8	93
24221	54	277230	277199	277431	31	232	7	93
24221	55	277230	277196	277430	34	234	6	93
24221	56	277231	277197	277430	34	233	6	93
24221	57	277235	277203	277436	32	233	7	93
24221	58	277234	277205	277437	29	232	6	93
24221	59	277229	277199	277431	30	232	7	94
24221	60	277232	277199	277430	33	231	6	93
24221	61	277234	277202	277433	32	231	6	93
24221	62	277230	277195	277429	35	234	7	93
24221	63	277230	277200	277430	30	230	6	93
24221	64	277236	277203	277434	33	231	7	93
24221	65	277228	277195	277427	33	232	6	93
24221	66	277226	277195	277424	31	229	6	93
24221	67	277227	277196	277427	31	231	7	93
24221	68	277236	277202	277433	34	231	7	93
24221	69	277226	277194	277426	32	232	7	93
24221	70	277237	277204	277434	33	230	6	93
24221	71	277229	277200	277429	29	229	6	93
24221	72	277228	277198	277428	30	230	7	93
24221	73	277226	277195	277423	31	228	6	93
24221	74	277231	277202	277429	29	227	6	93
24221	75	277233	277202	277431	31	229	7	93
24221	76	277232	277202	277428	30	226	6	93
24221	77	277229	277198	277430	31	232	7	93
24221	78	277234	277201	277433	33	232	7	93
24221	79	277227	277198	277426	29	228	7	93
24221	80	277226	277194	277423	32	229	6	93
24221	81	277233	277200	277431	33	231	6	93
24221	82	277234	277199	277431	35	232	7	93
24221	83	277234	277204	277434	30	230	7	93
24221	84	277230	277196	277430	34	234	7	93
24221	85	277239	277210	277438	29	228	7	93
24221	86	277238	277208	277438	30	230	6	93
24221	87	277232	277201	277429	31	228	6	93
24221	88	277231	277202	277431	29	229	6	93
24221	89	277236	277203	277434	33	231	8	93
24221	90	277231	277199	277429	32	230	7	93
24221	91	277230	277196	277428	34	232	6	93
24221	92	277231	277200	277431	31	231	6	93
24221	93	277233	277199	277433	34	234	7	93
24221	94	277230	277198	277430	32	232	6	93
24221	95	277229	277197	277429	32	232	6	93
24221	96	277236	277204	277436	32	232	8	93
24221	97	277226	277192	277425	34	233	6	93
24221	98	277233	277199	277430	34	231	7	93
24221	99	277231	277200	277431	31	231	6	93
24221	100	277228	277198	277427	30	229	6	93
24221	101	277229	277199	277426	30	227	7	93
24221	102	277224	277195	277424	29	229	7	93
24221	103	277231	277200	277431	31	231	7	93
24221	104	277225	277195	277426	30	231	6	93
24221	105	277230	277199	277427	31	228	6	93
24221	106	277229	277198	277427	31	229	7	93
24221	107	277232	277201	277433	31	232	8	93
24221	108	277235	277204	277433	31	229	6	93
24221	109	277235	277199	277432	36	233	6	93
24221	110	277233	277203	277433	30	230	6	93
24221	111	277231	277200	277430	31	230	6	93
24221	112	277237	277204	277435	33	231	6	93
24221	113	277231	277202	277428	29	226	6	93
24221	114	277229	277199	277429	30	230	6	93
24221	115	277230	277200	277427	30	227	6	93
24221	116	277231	277199	277430	32	231	6	93
24221	117	277228	277199	277426	29	227	6	93
24221	118	277235	277201	277432	34	231	6	93
24221	119	277230	277200	277430	30	230	7	93
24221	120	277232	277200	277432	32	232	7	93
24221	121	277228	277196	277425	32	229	7	93
24221	122	277236	277203	277434	33	231	6	93
24221	123	277231	277200	277429	31	229	6	93
24221	124	277229	277199	277428	30	229	6	93
24221	125	277230	277199	277428	31	229	6	93
24221	126	277229	277199	277429	30	230	6	93
24221	127	277226	277192	277426	34	234	6	93
24221	128	277228	277195	277426	33	231	7	93
24221	129	277233	277197	277432	36	235	7	93
24221	130	277229	277200	277428	29	228	7	93
24221	131	277232	277200	277430	32	230	6	93
24221	132	277233	277202	277431	31	229	7	93
24221	133	277235	277202	277432	33	230	6	93
24221	134	277233	277200	277432	33	232	7	93
24221	135	277233	277202	277432	31	230	6	93
24221	136	277226	277194	277420	32	226	6	93
24221	137	277237	277199	277432	38	233	7	93
24221	138	277233	277199	277433	34	234	6	93
24221	139	277229	277197	277428	32	231	6	93
24221	140	277237	277204	277434	33	230	7	93
24221	141	277230	277199	277428	31	229	7	93
24221	142	277227	277197	277425	30	228	7	93
24221	143	277228	277196	277425	32	229	6	93
