ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
1	82063	82055	82271	8	216	7	95
2	82068	82058	82272	10	214	7	95
3	82074	82065	82278	9	213	6	95
4	82061	82053	82265	8	212	5	95
5	54437	54422	54641	15	219	5	94
6	29066	29066	29269	0	203	4	94
7	29071	29071	29274	0	203	4	94
8	29071	29069	29274	2	205	4	94
9	29071	29069	29273	2	204	5	94
10	29065	29064	29268	1	204	5	94
11	29070	29069	29272	1	203	5	94
12	29070	29070	29272	0	202	4	94
13	29071	29070	29275	1	205	4	94
14	29063	29062	29269	1	207	4	94
15	29071	29070	29273	1	203	4	94
16	29071	29070	29275	1	205	4	94
17	29071	29070	29277	1	207	4	94
18	29068	29065	29271	3	206	5	94
19	29072	29069	29275	3	206	5	94
20	29072	29070	29277	2	207	4	94
21	29072	29070	29274	2	204	5	94
22	29069	29068	29271	1	203	4	94
23	29070	29069	29275	1	206	4	94
24	29072	29070	29275	2	205	4	94
25	29071	29070	29275	1	205	4	94
26	29069	29067	29272	2	205	4	94
27	29068	29067	29272	1	205	4	94
28	29071	29069	29275	2	206	5	94
29	29069	29069	29273	0	204	4	94
30	29069	29068	29275	1	207	5	94
31	29067	29067	29272	0	205	4	94
32	29071	29069	29276	2	207	4	94
33	29071	29070	29277	1	207	4	94
34	29071	29068	29275	3	207	6	94
35	29064	29062	29267	2	205	4	94
36	29071	29070	29275	1	205	4	94
37	29071	29071	29274	0	203	4	94
38	29071	29069	29275	2	206	5	94
39	29068	29067	29270	1	203	4	94
40	29071	29071	29274	0	203	4	94
