RUNID	ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
22801	1	7908	7908	8109	0	201	3	95
22801	2	7913	7911	8114	2	203	3	95
22801	3	7909	7907	8110	2	203	3	95
22801	4	7909	7908	8109	1	201	3	95
22801	5	7910	7910	8112	0	202	2	95
22801	6	7908	7908	8109	0	201	3	95
22801	7	7912	7911	8112	1	201	3	95
22801	8	7910	7908	8111	2	203	3	95
22801	9	7908	7907	8110	1	203	3	95
22801	10	7913	7911	8114	2	203	3	95
22801	11	7906	7906	8108	0	202	2	95
22801	12	7908	7906	8110	2	204	4	95
22801	13	7912	7910	8114	2	204	4	95
22801	14	7909	7907	8110	2	203	3	95
22801	15	7909	7907	8110	2	203	3	95
22801	16	7913	7912	8113	1	201	3	95
22801	17	7906	7906	8108	0	202	2	95
22801	18	7908	7907	8109	1	202	3	95
22801	19	7912	7911	8114	1	203	3	95
22801	20	7908	7908	8109	0	201	3	95
22801	21	7911	7910	8113	1	203	3	95
22801	22	7912	7910	8113	2	203	3	95
22801	23	7906	7905	8108	1	203	3	95
22801	24	7912	7910	8114	2	204	4	95
22801	25	7908	7906	8110	2	204	4	95
22801	26	7908	7906	8108	2	202	4	95
22801	27	7912	7912	8113	0	201	3	95
22801	28	7910	7908	8112	2	204	4	95
22801	29	7911	7907	8113	4	206	3	95
22801	30	7918	7912	8119	6	207	4	95
22801	31	7913	7908	8113	5	205	4	95
22801	32	7912	7908	8114	4	206	4	95
22801	33	7912	7911	8114	1	203	3	95
22801	34	7914	7909	8116	5	207	4	95
22801	35	7914	7910	8116	4	206	3	95
22801	36	7915	7911	8117	4	206	3	95
22801	37	7914	7908	8117	6	209	4	95
22801	38	7912	7910	8114	2	204	4	95
22801	39	7913	7908	8114	5	206	5	95
22801	40	7913	7908	8114	5	206	5	95
