ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
1	80958	80951	81167	7	216	7	95
2	80969	80961	81173	8	212	6	95
3	80959	80948	81161	11	213	7	95
4	80959	80949	81163	10	214	8	95
5	57593	57577	57796	16	219	6	94
6	22599	22597	22803	2	206	6	94
7	22597	22596	22801	1	205	5	94
8	22599	22600	22800	-1	200	4	94
9	22599	22599	22801	0	202	4	94
10	22601	22600	22805	1	205	4	94
11	22599	22599	22805	0	206	4	94
12	22594	22594	22796	0	202	4	94
13	22601	22601	22804	0	203	4	94
14	22599	22598	22804	1	206	4	94
15	22602	22602	22806	0	204	4	94
16	22599	22599	22802	0	203	5	94
17	22593	22592	22796	1	204	5	94
18	22599	22599	22802	0	203	5	94
19	22599	22598	22801	1	203	5	94
20	22601	22601	22804	0	203	4	94
21	22599	22599	22803	0	204	4	94
22	22595	22595	22799	0	204	4	94
23	22601	22599	22804	2	205	4	94
24	22599	22599	22805	0	206	4	94
25	22600	22599	22801	1	202	4	94
26	22599	22600	22802	-1	202	4	94
27	22596	22595	22798	1	203	4	94
28	22600	22598	22804	2	206	6	94
29	22599	22598	22803	1	205	5	94
30	22601	22598	22804	3	206	5	94
31	22599	22599	22801	0	202	4	94
32	22593	22592	22794	1	202	4	94
33	22601	22600	22807	1	207	4	94
34	22599	22599	22803	0	204	4	94
35	22599	22599	22803	0	204	4	94
36	22599	22599	22803	0	204	4	94
37	22598	22596	22803	2	207	4	94
38	22600	22600	22804	0	204	4	94
39	22599	22598	22803	1	205	5	94
40	22602	22600	22804	2	204	5	94
