RUNID	ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
23301	1	1037115	1021247	1037223	15868	15976	10	96
23301	2	589852	580844	589994	9008	9150	9	96
23301	3	227664	224132	227851	3532	3719	7	96
23301	4	227642	224132	227833	3510	3701	8	96
23301	5	227519	224141	227711	3378	3570	6	96
23301	6	227645	224132	227835	3513	3703	7	96
23301	7	227665	224143	227860	3522	3717	7	96
23301	8	227523	224144	227722	3379	3578	8	96
23301	9	227646	224143	227843	3503	3700	7	96
23301	10	227662	224135	227850	3527	3715	7	96
23301	11	227506	224130	227690	3376	3560	8	96
23301	12	227641	224142	227840	3499	3698	8	96
23301	13	227505	224136	227844	3369	3708	7	96
23301	14	227516	224125	227708	3391	3583	9	96
23301	15	227659	224127	227845	3532	3718	7	96
23301	16	227506	224133	227697	3373	3564	10	96
23301	17	227662	224140	227860	3522	3720	8	96
23301	18	227652	224132	227842	3520	3710	7	96
23301	19	227490	224128	227683	3362	3555	8	96
23301	20	227663	224144	227863	3519	3719	7	96
23301	21	227645	224122	227838	3523	3716	8	96
23301	22	227492	224133	227685	3359	3552	6	96
23301	23	227657	224142	227853	3515	3711	7	96
23301	24	227673	224135	227870	3538	3735	8	96
23301	25	227483	224122	227673	3361	3551	10	96
23301	26	227659	224143	227854	3516	3711	7	96
23301	27	227651	224136	227843	3515	3707	8	96
23301	28	227489	224132	227678	3357	3546	8	96
23301	29	227660	224129	227845	3531	3716	7	96
23301	30	227647	224136	227837	3511	3701	8	96
23301	31	227481	224126	227668	3355	3542	8	96
23301	32	227652	224147	227845	3505	3698	8	96
23301	33	227635	224137	227822	3498	3685	6	96
23301	34	227520	224141	227719	3379	3578	7	96
23301	35	227642	224148	227835	3494	3687	6	96
23301	36	227501	224140	227694	3361	3554	6	96
23301	37	227505	224126	227694	3379	3568	9	96
23301	38	227647	224133	227837	3514	3704	9	96
23301	39	227482	224136	227671	3346	3535	7	96
23301	40	227673	224141	227864	3532	3723	7	96
23301	41	227664	224134	227858	3530	3724	5	96
23301	42	227489	224127	227680	3362	3553	9	96
23301	43	227647	224147	227844	3500	3697	6	96
23301	44	227676	224140	227873	3536	3733	8	96
23301	45	227493	224124	227683	3369	3559	10	96
23301	46	227656	224143	227840	3513	3697	5	96
23301	47	227636	224137	227825	3499	3688	8	96
23301	48	227497	224140	227690	3357	3550	8	96
23301	49	227659	224143	227848	3516	3705	6	96
23301	50	227656	224134	227845	3522	3711	8	96
23301	51	227491	224137	227685	3354	3548	8	96
23301	52	227649	224138	227840	3511	3702	8	96
23301	53	227636	224133	227825	3503	3692	7	96
23301	54	227484	224139	227681	3345	3542	10	96
23301	55	227635	224144	227828	3491	3684	7	96
23301	56	227488	224129	227675	3359	3546	7	96
23301	57	227501	224136	227847	3365	3711	6	96
23301	58	227635	224143	227828	3492	3685	8	96
