RUNID	ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
23541	1	8879	8878	9075	1	197	3	93
23541	2	8882	8881	9083	1	202	4	93
23541	3	8884	8881	9077	3	196	4	92
23541	4	8884	8882	9079	2	197	3	92
23541	5	8883	8882	9079	1	197	3	92
23541	6	8881	8880	9077	1	197	3	92
23541	7	8876	8875	9072	1	197	3	92
23541	8	8883	8882	9079	1	197	3	92
23541	9	8883	8882	9079	1	197	3	92
23541	10	8884	8882	9079	2	197	3	92
23541	11	8883	8882	9079	1	197	3	92
23541	12	8883	8882	9079	1	197	3	92
23541	13	8872	8872	9067	0	195	3	92
23541	14	8883	8883	9078	0	195	3	92
23541	15	8882	8881	9077	1	196	2	92
23541	16	8883	8882	9079	1	197	3	92
23541	17	8883	8882	9079	1	197	3	92
23541	18	8884	8882	9078	2	196	3	92
23541	19	8876	8875	9072	1	197	3	92
23541	20	8883	8882	9079	1	197	3	92
23541	21	8883	8881	9079	2	198	4	92
23541	22	8884	8883	9078	1	195	3	92
23541	23	8884	8882	9079	2	197	3	92
23541	24	8883	8882	9079	1	197	3	92
23541	25	8875	8874	9070	1	196	4	92
23541	26	8883	8881	9077	2	196	4	92
23541	27	8884	8882	9080	2	198	4	92
23541	28	8886	8883	9083	3	200	4	92
23541	29	8881	8881	9077	0	196	2	92
23541	30	8883	8882	9079	1	197	3	92
23541	31	8881	8880	9077	1	197	3	92
23541	32	8878	8876	9073	2	197	3	92
23541	33	8883	8882	9079	1	197	3	92
23541	34	8883	8882	9079	1	197	3	92
23541	35	8883	8882	9077	1	195	3	92
23541	36	8884	8882	9081	2	199	3	92
23541	37	8883	8882	9077	1	195	3	92
23541	38	8872	8870	9066	2	196	4	92
23541	39	8884	8882	9079	2	197	3	92
23541	40	8883	8883	9078	0	195	3	92
23541	41	8883	8882	9079	1	197	3	92
23541	42	8881	8881	9080	0	199	3	92
23541	43	8882	8880	9079	2	199	3	92
23541	44	8876	8875	9072	1	197	3	92
23541	45	8883	8882	9078	1	196	4	92
23541	46	8883	8882	9078	1	196	4	92
23541	47	8883	8882	9078	1	196	4	92
23541	48	8884	8882	9079	2	197	3	92
23541	49	8883	8883	9078	0	195	3	92
23541	50	8877	8875	9074	2	199	3	92
23541	51	8883	8883	9078	0	195	3	92
23541	52	8883	8883	9078	0	195	3	92
23541	53	8884	8881	9079	3	198	4	92
23541	54	8883	8882	9077	1	195	3	92
23541	55	8883	8882	9079	1	197	3	92
23541	56	8879	8878	9074	1	196	2	92
23541	57	8877	8876	9074	1	198	2	92
23541	58	8883	8883	9078	0	195	3	92
23541	59	8883	8882	9079	1	197	3	92
23541	60	8883	8883	9078	0	195	3	92
23541	61	8883	8883	9078	0	195	3	92
23541	62	8884	8882	9081	2	199	3	92
23541	63	8873	8870	9070	3	200	4	92
23541	64	8884	8883	9078	1	195	3	92
23541	65	8883	8881	9079	2	198	4	92
23541	66	8884	8882	9079	2	197	3	92
23541	67	8883	8882	9079	1	197	3	92
23541	68	8883	8882	9079	1	197	3	92
23541	69	8876	8875	9072	1	197	3	92
23541	70	8881	8881	9077	0	196	2	92
23541	71	8881	8881	9076	0	195	2	92
23541	72	8883	8882	9078	1	196	4	92
23541	73	8886	8881	9083	5	202	5	92
23541	74	8884	8880	9093	4	213	6	93
23541	75	8876	8874	9072	2	198	4	92
23541	76	8884	8882	9079	2	197	3	92
23541	77	8883	8883	9078	0	195	3	92
23541	78	8883	8883	9078	0	195	3	92
23541	79	8883	8881	9080	2	199	3	92
23541	80	8883	8882	9079	1	197	3	92
23541	81	8881	8879	9075	2	196	4	92
23541	82	8875	8874	9071	1	197	3	92
23541	83	8884	8882	9079	2	197	3	92
23541	84	8882	8881	9077	1	196	2	92
23541	85	8882	8881	9077	1	196	2	92
23541	86	8884	8883	9078	1	195	3	92
23541	87	8883	8882	9079	1	197	3	92
23541	88	8874	8873	9070	1	197	3	92
23541	89	8884	8882	9081	2	199	3	92
23541	90	8884	8883	9078	1	195	3	92
23541	91	8883	8882	9077	1	195	3	92
23541	92	8884	8881	9079	3	198	4	92
23541	93	8884	8882	9079	2	197	3	92
23541	94	8877	8874	9072	3	198	4	92
23541	95	8883	8881	9078	2	197	3	92
23541	96	8883	8882	9079	1	197	3	92
23541	97	8883	8882	9079	1	197	3	92
23541	98	8882	8881	9079	1	198	2	92
23541	99	8883	8883	9078	0	195	3	92
23541	100	8877	8876	9073	1	197	3	92
23541	101	8883	8882	9079	1	197	3	92
23541	102	8883	8882	9077	1	195	3	92
23541	103	8883	8882	9079	1	197	3	92
23541	104	8883	8883	9078	0	195	3	92
23541	105	8883	8882	9077	1	195	3	92
23541	106	8877	8875	9074	2	199	3	92
23541	107	8884	8882	9080	2	198	3	92
23541	108	8883	8881	9079	2	198	4	92
23541	109	8883	8881	9077	2	196	4	92
23541	110	8883	8882	9078	1	196	4	92
23541	111	8883	8881	9079	2	198	4	92
23541	112	8873	8871	9068	2	197	3	92
23541	113	8883	8883	9078	0	195	3	92
23541	114	8884	8882	9081	2	199	3	92
23541	115	8883	8883	9078	0	195	3	92
23541	116	8883	8882	9079	1	197	3	92
23541	117	8883	8882	9079	1	197	3	92
23541	118	8873	8872	9067	1	195	3	92
23541	119	8883	8883	9078	0	195	3	92
23541	120	8883	8883	9078	0	195	3	92
23541	121	8884	8882	9079	2	197	3	92
23541	122	8883	8882	9078	1	196	3	92
23541	123	8883	8883	9078	0	195	3	92
23541	124	8873	8871	9070	2	199	3	92
23541	125	8882	8880	9079	2	199	3	92
23541	126	8882	8882	9076	0	194	2	92
23541	127	8883	8881	9079	2	198	4	92
23541	128	8883	8882	9079	1	197	3	92
23541	129	8884	8882	9078	2	196	4	92
23541	130	8874	8873	9069	1	196	4	92
23541	131	8883	8883	9078	0	195	3	92
23541	132	8883	8883	9078	0	195	3	92
23541	133	8884	8882	9079	2	197	3	92
23541	134	8883	8882	9079	1	197	3	92
23541	135	8883	8882	9079	1	197	3	92
23541	136	8875	8874	9071	1	197	3	92
23541	137	8883	8882	9079	1	197	3	92
23541	138	8883	8882	9079	1	197	3	92
23541	139	8881	8880	9076	1	196	2	92
23541	140	8882	8881	9077	1	196	2	92
23541	141	8883	8882	9077	1	195	3	92
23541	142	8874	8874	9069	0	195	3	92
23541	143	8883	8882	9079	1	197	3	92
23541	144	8883	8883	9078	0	195	3	92
23541	145	8883	8882	9079	1	197	3	92
23541	146	8884	8882	9078	2	196	4	92
23541	147	8884	8881	9078	3	197	4	92
23541	148	8875	8874	9070	1	196	4	92
23541	149	8884	8882	9080	2	198	3	92
23541	150	8885	8883	9079	2	196	4	92
23541	151	8884	8881	9080	3	199	4	92
23541	152	8883	8884	9077	-1	193	3	92
23541	153	8882	8881	9078	1	197	3	92
23541	154	8874	8873	9069	1	196	2	92
23541	155	8884	8883	9079	1	196	3	92
23541	156	8883	8881	9077	2	196	4	92
23541	157	8883	8882	9079	1	197	3	92
23541	158	8884	8882	9079	2	197	3	92
23541	159	8884	8883	9078	1	195	3	92
23541	160	8875	8874	9071	1	197	3	92
23541	161	8883	8882	9079	1	197	3	92
23541	162	8883	8883	9078	0	195	3	92
23541	163	8884	8881	9077	3	196	4	92
23541	164	8884	8881	9081	3	200	4	92
23541	165	8883	8882	9078	1	196	4	92
23541	166	8875	8872	9072	3	200	4	92
23541	167	8881	8881	9078	0	197	3	92
