RUNID	ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
23281	1	69884	69877	70081	7	204	5	93
23281	2	69886	69876	70086	10	210	8	93
23281	3	69883	69876	70084	7	208	5	93
23281	4	69883	69874	70082	9	208	7	93
23281	5	69887	69878	70087	9	209	6	93
23281	6	69881	69873	70083	8	210	7	93
23281	7	69886	69876	70085	10	209	7	93
23281	8	69884	69877	70084	7	207	6	93
23281	9	69882	69873	70083	9	210	7	93
23281	10	69884	69878	70082	6	204	5	93
23281	11	69883	69876	70080	7	204	5	93
23281	12	69877	69870	70078	7	208	6	93
23281	13	69883	69874	70083	9	209	6	93
23281	14	69882	69873	70084	9	211	7	93
23281	15	69881	69873	70083	8	210	7	93
23281	16	69882	69873	70081	9	208	7	93
23281	17	69884	69875	70085	9	210	6	93
23281	18	69884	69876	70081	8	205	6	93
23281	19	69881	69872	70082	9	210	6	93
23281	20	69882	69873	70080	9	207	6	93
23281	21	69882	69873	70081	9	208	6	93
23281	22	69879	69871	70076	8	205	6	93
23281	23	69884	69875	70083	9	208	6	93
23281	24	69885	69877	70086	8	209	6	93
23281	25	69883	69875	70085	8	210	7	93
23281	26	69885	69876	70086	9	210	7	93
23281	27	69883	69876	70082	7	206	6	93
23281	28	69882	69873	70084	9	211	7	93
23281	29	69882	69872	70083	10	211	7	93
23281	30	69882	69874	70084	8	210	5	94
23281	31	69884	69875	70086	9	211	7	93
23281	32	69887	69876	70085	11	209	6	93
23281	33	69882	69874	70083	8	209	6	93
23281	34	69883	69875	70082	8	207	6	93
23281	35	69882	69871	70082	11	211	6	93
23281	36	69882	69875	70079	7	204	5	93
23281	37	69880	69873	70080	7	207	6	93
23281	38	69880	69874	70081	6	207	6	93
23281	39	69885	69875	70082	10	207	6	93
23281	40	69882	69874	70084	8	210	7	93
23281	41	69883	69875	70084	8	209	6	93
23281	42	69884	69878	70082	6	204	5	93
23281	43	69885	69874	70085	11	211	8	93
23281	44	69879	69872	70076	7	204	5	93
23281	45	69880	69870	70080	10	210	7	93
23281	46	69887	69879	70086	8	207	6	93
23281	47	69884	69875	70083	9	208	7	93
23281	48	69884	69876	70086	8	210	5	93
23281	49	69885	69875	70086	10	211	6	93
23281	50	69879	69872	70079	7	207	6	93
23281	51	69883	69876	70080	7	204	5	93
23281	52	69881	69873	70080	8	207	6	93
23281	53	69883	69874	70081	9	207	7	93
23281	54	69882	69875	70083	7	208	5	93
23281	55	69887	69878	70085	9	207	6	93
23281	56	69881	69873	70080	8	207	6	93
23281	57	69885	69876	70084	9	208	7	93
23281	58	69884	69876	70087	8	211	6	93
23281	59	69885	69875	70083	10	208	6	93
23281	60	69879	69872	70081	7	209	6	93
23281	61	69883	69874	70083	9	209	6	93
23281	62	69882	69873	70081	9	208	6	93
23281	63	69883	69875	70084	8	209	6	93
23281	64	69882	69874	70081	8	207	6	93
23281	65	69883	69875	70084	8	209	6	93
23281	66	69884	69874	70085	10	211	6	93
23281	67	69885	69878	70084	7	206	5	93
23281	68	69880	69871	70080	9	209	6	93
23281	69	69885	69876	70086	9	210	6	93
23281	70	69882	69874	70079	8	205	6	93
23281	71	69885	69876	70086	9	210	6	93
23281	72	69881	69872	70082	9	210	7	93
23281	73	69883	69872	70083	11	211	7	93
23281	74	69882	69871	70081	11	210	7	93
23281	75	69881	69872	70079	9	207	6	93
23281	76	69882	69873	70081	9	208	6	93
23281	77	69887	69879	70086	8	207	6	93
23281	78	69882	69873	70081	9	208	7	93
23281	79	69882	69874	70082	8	208	7	93
23281	80	69882	69874	70081	8	207	6	93
23281	81	69884	69877	70083	7	206	5	93
23281	82	69876	69868	70078	8	210	7	93
23281	83	69881	69873	70080	8	207	6	93
23281	84	69884	69876	70084	8	208	5	93
23281	85	69885	69876	70085	9	209	6	93
23281	86	69881	69874	70081	7	207	6	93
23281	87	69881	69874	70079	7	205	6	93
23281	88	69882	69873	70083	9	210	6	93
23281	89	69882	69873	70079	9	206	6	93
23281	90	69883	69874	70084	9	210	6	93
23281	91	69882	69874	70082	8	208	7	93
23281	92	69882	69873	70082	9	209	6	93
23281	93	69881	69873	70080	8	207	6	93
23281	94	69883	69874	70083	9	209	6	93
23281	95	69874	69867	70073	7	206	5	93
23281	96	69883	69872	70083	11	211	7	93
23281	97	69882	69875	70083	7	208	5	93
23281	98	69882	69875	70084	7	209	6	93
23281	99	69881	69874	70082	7	208	5	93
23281	100	69884	69875	70085	9	210	6	93
23281	101	69881	69872	70079	9	207	6	93
23281	102	69885	69876	70083	9	207	6	93
23281	103	69881	69872	70083	9	211	7	93
23281	104	69878	69869	70078	9	209	6	93
23281	105	69881	69871	70081	10	210	6	93
23281	106	69883	69875	70082	8	207	6	93
23281	107	69881	69872	70083	9	211	8	93
23281	108	69884	69876	70086	8	210	7	93
23281	109	69883	69875	70081	8	206	6	93
23281	110	69883	69876	70081	7	205	5	93
23281	111	69884	69876	70083	8	207	6	93
23281	112	69872	69866	70072	6	206	5	93
23281	113	69881	69875	70082	6	207	6	93
23281	114	69881	69875	70081	6	206	5	93
23281	115	69885	69879	70085	6	206	5	93
23281	116	69880	69872	70078	8	206	5	93
23281	117	69883	69875	70083	8	208	6	93
23281	118	69884	69878	70083	6	205	6	93
23281	119	69876	69867	70072	9	205	6	93
23281	120	69884	69875	70083	9	208	6	93
23281	121	69882	69875	70084	7	209	6	93
23281	122	69883	69874	70084	9	210	6	93
23281	123	69883	69875	70082	8	207	6	93
23281	124	69882	69875	70081	7	206	5	93
23281	125	69885	69877	70084	8	207	6	93
23281	126	69882	69873	70082	9	209	7	93
23281	127	69870	69864	70068	6	204	5	93
23281	128	69882	69872	70083	10	211	7	93
23281	129	69885	69877	70083	8	206	5	93
23281	130	69884	69874	70083	10	209	7	93
23281	131	69883	69874	70080	9	206	6	93
23281	132	69884	69876	70083	8	207	6	93
23281	133	69883	69873	70079	10	206	6	93
23281	134	69883	69875	70082	8	207	6	93
23281	135	69879	69871	70078	8	207	6	93
23281	136	69876	69868	70077	8	209	6	93
23281	137	69884	69872	70082	12	210	7	93
23281	138	69883	69874	70083	9	209	6	93
23281	139	69883	69875	70083	8	208	7	93
23281	140	69883	69876	70083	7	207	5	93
23281	141	69881	69874	70081	7	207	6	93
23281	142	69875	69867	70075	8	208	5	93
23281	143	69880	69872	70080	8	208	6	93
23281	144	69884	69875	70085	9	210	7	93
23281	145	69883	69877	70081	6	204	5	93
23281	146	69883	69875	70082	8	207	6	93
23281	147	69874	69865	70075	9	210	6	93
23281	148	69882	69875	70081	7	206	5	93
23281	149	69881	69874	70082	7	208	5	93
23281	150	69885	69878	70085	7	207	6	93
23281	151	69885	69878	70086	7	208	5	93
23281	152	69875	69866	70073	9	207	6	93
23281	153	69882	69875	70081	7	206	5	93
23281	154	69882	69874	70083	8	209	6	93
23281	155	69882	69872	70081	10	209	7	93
23281	156	69882	69874	70083	8	209	6	93
23281	157	69879	69870	70078	9	208	6	93
23281	158	69884	69876	70086	8	210	6	94
