ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
1	1101204	1101080	1101409	124	329	7	95
2	1101217	1101092	1101422	125	330	9	95
3	1101179	1101053	1101383	126	330	6	95
4	1101186	1101058	1101389	128	331	7	95
5	1101197	1101077	1101401	120	324	6	95
6	1101175	1101049	1101381	126	332	8	95
7	1101188	1101063	1101392	125	329	6	95
8	1101213	1101087	1101416	126	329	8	95
9	1101180	1101055	1101384	125	329	7	95
10	1101309	1101067	1101513	242	446	10	96
11	1101217	1101085	1101422	132	337	9	97
12	1101194	1101073	1101400	121	327	8	95
13	1101181	1101059	1101388	122	329	7	95
14	1101193	1101072	1101402	121	330	8	95
15	1101182	1101053	1101386	129	333	10	95
16	1101180	1101052	1101386	128	334	9	95
17	1101194	1101066	1101398	128	332	10	95
18	1101193	1101069	1101397	124	328	7	95
19	1101189	1101066	1101395	123	329	7	95
20	1101184	1101056	1101388	128	332	6	95
21	1101208	1101084	1101413	124	329	7	95
22	1101247	1101081	1101448	166	367	16	113
23	1101438	1101077	1101640	361	563	9	97
24	1101188	1101065	1101390	123	325	8	95
25	1101207	1101080	1101414	127	334	7	95
26	1101210	1101086	1101414	124	328	8	95
27	1101200	1101071	1101405	129	334	8	95
28	1101187	1101058	1101392	129	334	9	95
29	1101189	1101068	1101393	121	325	6	95
30	1101178	1101052	1101383	126	331	8	95
31	1101193	1101066	1101398	127	332	7	95
32	1101181	1101058	1101386	123	328	8	95
33	1101183	1101059	1101389	124	330	6	95
34	1101189	1101064	1101395	125	331	7	95
35	1101187	1101061	1101390	126	329	6	95
36	1101311	1101070	1101514	241	444	8	96
37	1101197	1101074	1101403	123	329	7	95
38	1101193	1101068	1101397	125	329	7	95
39	1101176	1101053	1101380	123	327	6	95
40	1101186	1101055	1101389	131	334	8	95
