RUNID	ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
22741	1	2316792	2316516	2316995	276	479	8	96
22741	2	2316790	2316514	2316994	276	480	8	96
22741	3	2316789	2316518	2316994	271	476	9	96
22741	4	2316786	2316517	2316991	269	474	9	96
22741	5	2316799	2316534	2317004	265	470	8	96
22741	6	2316792	2316522	2316997	270	475	9	96
22741	7	2316782	2316511	2316987	271	476	9	96
22741	8	2316798	2316530	2317002	268	472	9	96
22741	9	2316783	2316517	2316987	266	470	8	96
22741	10	2316777	2316514	2316986	263	472	7	96
22741	11	2316799	2316532	2317006	267	474	8	96
22741	12	2316793	2316532	2317001	261	469	8	96
22741	13	2316783	2316516	2316989	267	473	8	96
22741	14	2316794	2316516	2316998	278	482	10	96
22741	15	2316788	2316516	2316991	272	475	9	96
22741	16	2316775	2316507	2316977	268	470	9	96
22741	17	2316793	2316528	2316996	265	468	9	96
22741	18	2316772	2316508	2316975	264	467	9	96
22741	19	2316807	2316537	2317008	270	471	7	96
22741	20	2316781	2316520	2316987	261	467	9	96
22741	21	2316781	2316508	2316988	273	480	9	96
22741	22	2316779	2316516	2316985	263	469	10	96
22741	23	2316784	2316517	2316990	267	473	8	96
22741	24	2316792	2316529	2316999	263	470	8	96
22741	25	2316795	2316532	2316999	263	467	8	96
22741	26	2316776	2316514	2316985	262	471	10	96
22741	27	2316780	2316514	2316986	266	472	8	96
22741	28	2316789	2316524	2316992	265	468	8	96
22741	29	2316773	2316513	2316979	260	466	7	96
22741	30	2316797	2316528	2317001	269	473	8	96
22741	31	2316771	2316502	2316973	269	471	8	96
22741	32	2316767	2316498	2316975	269	477	9	96
22741	33	2316793	2316522	2316999	271	477	9	98
22741	34	2316775	2316504	2316978	271	474	8	96
22741	35	2316785	2316517	2316990	268	473	8	96
22741	36	2316797	2316518	2317005	279	487	9	96
22741	37	2316788	2316519	2316992	269	473	8	96
22741	38	2316804	2316514	2317008	290	494	13	100
22741	39	2316785	2316509	2316993	276	484	10	96
22741	40	2316781	2316511	2316983	270	472	9	96
