WL	MIN_ect	MAX_ect	MED_ect	AVG_ect	SD_ect
144	8869	8884	8883.0	8881.4	3.04
288	35531	36014	35544.0	35579.2	125.23
580	145819	147306	145831.0	145902.3	314.18
1024	3011	9189	3025.0	3316.4	1242.76
1024	3011	9189	3025.0	3316.4	1242.76
1160	578666	578704	578676.0	578676.3	5.82
2048	24572	90203	33170.0	29582.9	7521.07
2048	24572	90203	33170.0	29582.9	7521.07
2320	2316867	2316927	2316892.0	2316893.0	9.66
4096	227459	1037115	344144.5	289753.6	76440.14
4096	227459	1037115	344144.5	289753.6	76440.14
8192	2058021	2217339	2137330.0	2137498.5	79518.79
8192	2058021	2217339	2137330.0	2137498.5	79518.79
