RUNID	ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
24141	1	17550	17241	17750	309	509	4	95
24141	2	17537	17242	17738	295	496	4	95
24141	3	17392	17241	17593	151	352	3	95
24141	4	17544	17242	17745	302	503	4	95
24141	5	17539	17243	17741	296	498	4	95
24141	6	17545	17241	17748	304	507	4	95
24141	7	17549	17240	17753	309	513	4	95
24141	8	17396	17238	17597	158	359	3	95
24141	9	17547	17241	17749	306	508	4	95
24141	10	17540	17242	17742	298	500	4	95
24141	11	17535	17241	17736	294	495	4	95
24141	12	17392	17239	17596	153	357	3	95
24141	13	17547	17240	17747	307	507	5	95
24141	14	17542	17241	17743	301	502	4	95
24141	15	17544	17242	17745	302	503	4	95
24141	16	17548	17237	17750	311	513	4	95
24141	17	17391	17240	17592	151	352	3	95
24141	18	17544	17243	17746	301	503	4	95
24141	19	17544	17241	17744	303	503	4	95
24141	20	17546	17242	17748	304	506	4	95
24141	21	17394	17239	17597	155	358	3	95
24141	22	17393	17238	17594	155	356	3	95
24141	23	17542	17243	17744	299	501	4	95
24141	24	17549	17241	17750	308	509	4	95
24141	25	17554	17240	17756	314	516	4	95
24141	26	17396	17240	17597	156	357	3	95
24141	27	17554	17242	17754	312	512	4	95
24141	28	17545	17241	17749	304	508	4	95
24141	29	17544	17243	17744	301	501	4	95
24141	30	17386	17237	17595	149	358	3	95
24141	31	17391	17241	17593	150	352	3	95
24141	32	17537	17240	17738	297	498	4	95
24141	33	17547	17240	17748	307	508	4	95
24141	34	17548	17240	17750	308	510	4	95
24141	35	17387	17239	17590	148	351	3	95
24141	36	17542	17243	17743	299	500	4	95
24141	37	17543	17243	17744	300	501	4	95
24141	38	17543	17240	17745	303	505	4	95
24141	39	17551	17241	17751	310	510	4	95
24141	40	17387	17239	17587	148	348	4	95
24141	41	17548	17241	17749	307	508	4	95
24141	42	17545	17242	17748	303	506	4	95
24141	43	17545	17241	17747	304	506	4	95
24141	44	17399	17239	17602	160	363	3	95
24141	45	17545	17242	17747	303	505	4	95
24141	46	17548	17242	17750	306	508	5	95
24141	47	17554	17238	17755	316	517	5	95
24141	48	17537	17237	17737	300	500	4	95
24141	49	17384	17238	17584	146	346	3	95
24141	50	17550	17240	17750	310	510	4	95
24141	51	17547	17241	17747	306	506	5	95
24141	52	17538	17242	17738	296	496	4	95
24141	53	17395	17239	17596	156	357	3	95
24141	54	17391	17239	17594	152	355	4	95
24141	55	17544	17240	17744	304	504	4	95
24141	56	17548	17241	17748	307	507	4	95
24141	57	17539	17240	17740	299	500	4	95
24141	58	17396	17239	17598	157	359	3	95
24141	59	17555	17241	17755	314	514	4	95
24141	60	17538	17240	17742	298	502	4	95
24141	61	17542	17239	17745	303	506	4	95
24141	62	17387	17239	17593	148	354	3	95
24141	63	17390	17241	17590	149	349	3	95
24141	64	17539	17241	17741	298	500	4	95
24141	65	17541	17238	17744	303	506	4	95
24141	66	17546	17241	17749	305	508	4	95
24141	67	17396	17239	17597	157	358	3	95
24141	68	17547	17241	17749	306	508	4	95
24141	69	17541	17242	17744	299	502	4	95
24141	70	17540	17241	17742	299	501	4	95
24141	71	17549	17240	17751	309	511	4	95
24141	72	17387	17241	17589	146	348	3	95
24141	73	17543	17240	17745	303	505	4	95
24141	74	17544	17240	17744	304	504	4	95
24141	75	17550	17242	17752	308	510	4	95
24141	76	17388	17238	17588	150	350	4	95
24141	77	17545	17241	17746	304	505	4	95
24141	78	17545	17244	17746	301	502	4	95
24141	79	17542	17242	17744	300	502	4	95
24141	80	17540	17240	17742	300	502	4	95
24141	81	17388	17237	17591	151	354	3	95
24141	82	17543	17240	17745	303	505	4	95
24141	83	17542	17244	17742	298	498	4	95
24141	84	17549	17240	17749	309	509	4	95
24141	85	17391	17240	17592	151	352	3	95
24141	86	17393	17238	17596	155	358	3	95
24141	87	17541	17241	17742	300	501	4	95
24141	88	17550	17241	17750	309	509	4	95
24141	89	17557	17241	17757	316	516	4	95
24141	90	17388	17239	17589	149	350	3	95
24141	91	17546	17242	17748	304	506	4	95
24141	92	17543	17238	17746	305	508	4	95
24141	93	17557	17241	17757	316	516	4	95
24141	94	17385	17240	17590	145	350	3	95
24141	95	17390	17239	17592	151	353	3	95
24141	96	17551	17243	17753	308	510	5	95
24141	97	17540	17239	17740	301	501	4	95
24141	98	17542	17240	17742	302	502	4	95
24141	99	17391	17240	17594	151	354	3	95
24141	100	17553	17239	17755	314	516	4	95
24141	101	17550	17242	17750	308	508	4	95
24141	102	17549	17242	17750	307	508	4	95
24141	103	17541	17240	17743	301	503	4	95
24141	104	17391	17241	17593	150	352	3	95
24141	105	17550	17242	17753	308	511	4	95
24141	106	17538	17240	17739	298	499	4	95
24141	107	17540	17240	17741	300	501	4	95
24141	108	17392	17239	17596	153	357	3	95
24141	109	17547	17242	17750	305	508	4	95
24141	110	17545	17240	17746	305	506	4	95
24141	111	17541	17240	17742	301	502	6	95
24141	112	17538	17239	17741	299	502	6	95
24141	113	17392	17239	17592	153	353	5	95
24141	114	17546	17241	17748	305	507	4	95
24141	115	17545	17240	17747	305	507	5	95
24141	116	17547	17239	17749	308	510	6	95
24141	117	17393	17239	17594	154	355	3	95
24141	118	17554	17242	17755	312	513	4	95
24141	119	17541	17241	17742	300	501	5	95
24141	120	17552	17240	17754	312	514	4	95
24141	121	17538	17242	17739	296	497	4	95
24141	122	17391	17238	17593	153	355	4	95
24141	123	17546	17241	17748	305	507	4	95
24141	124	17542	17242	17744	300	502	4	95
24141	125	17543	17243	17743	300	500	4	95
24141	126	17394	17240	17596	154	356	3	95
24141	127	17397	17238	17598	159	360	3	95
24141	128	17540	17241	17739	299	498	4	95
24141	129	17539	17240	17742	299	502	5	95
24141	130	17544	17238	17744	306	506	4	95
24141	131	17388	17239	17589	149	350	3	95
24141	132	17543	17241	17744	302	503	4	95
24141	133	17547	17243	17749	304	506	4	95
24141	134	17548	17241	17751	307	510	4	95
24141	135	17546	17241	17746	305	505	4	95
24141	136	17392	17238	17594	154	356	4	95
24141	137	17548	17240	17750	308	510	4	95
