RUNID	ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
24201	1	69712	69702	69910	10	208	7	93
24201	2	69708	69700	69906	8	206	6	93
24201	3	69712	69705	69909	7	204	6	93
24201	4	69707	69698	69907	9	209	7	93
24201	5	69712	69705	69910	7	205	7	93
24201	6	69714	69706	69913	8	207	7	93
24201	7	69704	69696	69902	8	206	6	93
24201	8	69711	69703	69910	8	207	5	93
24201	9	69708	69701	69908	7	207	5	93
24201	10	69710	69700	69909	10	209	7	93
24201	11	69709	69702	69907	7	205	7	93
24201	12	69711	69704	69911	7	207	7	93
24201	13	69706	69698	69903	8	205	7	93
24201	14	69715	69707	69911	8	204	6	93
24201	15	69713	69704	69912	9	208	6	93
24201	16	69712	69703	69911	9	208	6	93
24201	17	69710	69700	69907	10	207	6	93
24201	18	69708	69700	69907	8	207	7	93
24201	19	69709	69701	69906	8	205	6	93
24201	20	69706	69700	69903	6	203	5	93
24201	21	69711	69701	69912	10	211	7	93
24201	22	69710	69702	69906	8	204	6	93
24201	23	69710	69703	69907	7	204	6	93
24201	24	69710	69702	69908	8	206	6	93
24201	25	69708	69700	69907	8	207	5	93
24201	26	69712	69705	69912	7	207	5	93
24201	27	69708	69699	69905	9	206	6	93
24201	28	69712	69704	69907	8	203	5	93
24201	29	69710	69702	69909	8	207	5	93
24201	30	69709	69698	69908	11	210	7	93
24201	31	69711	69702	69908	9	206	6	93
24201	32	69708	69700	69905	8	205	6	93
24201	33	69709	69700	69906	9	206	6	93
24201	34	69712	69705	69908	7	203	5	93
24201	35	69710	69702	69906	8	204	6	93
24201	36	69709	69700	69910	9	210	8	93
24201	37	69709	69700	69907	9	207	6	93
24201	38	69709	69700	69909	9	209	6	93
24201	39	69708	69702	69905	6	203	5	93
24201	40	69708	69699	69904	9	205	6	93
24201	41	69708	69698	69906	10	208	6	93
24201	42	69711	69702	69908	9	206	6	93
24201	43	69710	69703	69910	7	207	5	93
24201	44	69709	69702	69907	7	205	5	93
24201	45	69708	69699	69907	9	208	7	93
24201	46	69447	69435	69646	12	211	6	93
24201	47	68766	68757	68966	9	209	7	93
24201	48	68764	68756	68962	8	206	6	93
24201	49	68764	68755	68960	9	205	6	93
24201	50	68762	68755	68961	7	206	6	93
24201	51	68764	68758	68960	6	202	5	93
24201	52	68765	68757	68964	8	207	6	93
24201	53	68758	68751	68958	7	207	7	93
24201	54	68764	68758	68961	6	203	5	93
24201	55	68764	68757	68961	7	204	6	93
24201	56	68766	68757	68964	9	207	6	93
24201	57	68765	68757	68963	8	206	6	93
24201	58	68764	68756	68960	8	204	6	93
24201	59	68766	68758	68965	8	207	5	93
24201	60	68763	68753	68961	10	208	7	93
24201	61	68764	68755	68964	9	209	6	93
24201	62	68764	68754	68959	10	205	6	93
24201	63	68762	68754	68961	8	207	7	93
24201	64	68763	68757	68961	6	204	5	93
24201	65	68762	68754	68959	8	205	7	93
24201	66	68765	68755	68963	10	208	7	93
24201	67	68764	68756	68960	8	204	6	93
24201	68	68762	68753	68958	9	205	6	93
24201	69	68765	68758	68964	7	206	6	93
24201	70	68763	68756	68963	7	207	5	93
24201	71	68766	68758	68961	8	203	5	93
24201	72	68765	68757	68963	8	206	6	93
24201	73	68759	68752	68959	7	207	5	93
24201	74	68766	68758	68963	8	205	7	93
24201	75	68761	68754	68956	7	202	5	93
24201	76	68766	68758	68963	8	205	7	93
24201	77	68763	68754	68961	9	207	6	93
24201	78	68767	68760	68963	7	203	5	93
24201	79	68765	68757	68963	8	206	6	93
24201	80	68763	68755	68960	8	205	5	93
24201	81	68764	68758	68961	6	203	5	93
24201	82	68764	68757	68962	7	205	5	93
24201	83	68766	68757	68965	9	208	6	93
24201	84	68765	68757	68963	8	206	6	93
24201	85	68760	68751	68959	9	208	6	93
24201	86	68765	68757	68963	8	206	6	93
24201	87	68762	68755	68960	7	205	6	93
24201	88	68765	68754	68964	11	210	6	93
24201	89	68763	68756	68963	7	207	5	93
24201	90	68764	68757	68962	7	205	5	93
24201	91	68766	68758	68966	8	208	6	93
24201	92	68762	68755	68961	7	206	6	93
24201	93	68764	68757	68960	7	203	5	93
24201	94	68763	68754	68965	9	211	6	94
24201	95	68766	68760	68963	6	203	5	93
24201	96	68763	68754	68963	9	209	6	93
24201	97	68767	68760	68968	7	208	6	93
24201	98	68764	68754	68962	10	208	6	93
24201	99	68763	68757	68961	6	204	5	93
24201	100	68764	68756	68964	8	208	7	93
24201	101	68762	68753	68960	9	207	7	93
24201	102	68766	68758	68964	8	206	6	93
24201	103	68763	68756	68961	7	205	5	93
24201	104	68766	68757	68964	9	207	6	93
24201	105	68763	68756	68963	7	207	5	93
24201	106	68766	68758	68964	8	206	6	93
24201	107	68764	68755	68963	9	208	6	93
24201	108	68766	68759	68965	7	206	6	93
24201	109	68763	68752	68962	11	210	6	93
24201	110	68764	68756	68964	8	208	6	93
24201	111	68763	68756	68960	7	204	5	93
24201	112	68763	68756	68961	7	205	5	93
24201	113	68765	68757	68964	8	207	7	93
24201	114	68758	68750	68956	8	206	6	93
24201	115	68767	68758	68967	9	209	6	93
24201	116	68763	68754	68960	9	206	6	93
