RUNID	ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
23821	1	17241	17239	17435	2	196	4	92
23821	2	17240	17239	17437	1	198	4	92
23821	3	17239	17237	17435	2	198	4	92
23821	4	17238	17237	17432	1	195	3	92
23821	5	17241	17238	17437	3	199	5	92
23821	6	17237	17234	17431	3	197	5	92
23821	7	17241	17237	17438	4	201	5	92
23821	8	17235	17234	17431	1	197	3	92
23821	9	17240	17239	17437	1	198	4	92
23821	10	17241	17239	17435	2	196	4	92
23821	11	17237	17235	17433	2	198	4	92
23821	12	17240	17239	17435	1	196	4	92
23821	13	17235	17234	17431	1	197	3	92
23821	14	17241	17239	17435	2	196	4	92
23821	15	17239	17237	17433	2	196	4	92
23821	16	17241	17237	17434	4	197	5	92
23821	17	17239	17237	17433	2	196	4	92
23821	18	17240	17235	17436	5	201	6	92
23821	19	17240	17237	17436	3	199	5	92
23821	20	17237	17234	17431	3	197	5	92
23821	21	17241	17237	17436	4	199	5	92
23821	22	17239	17237	17435	2	198	4	92
23821	23	17237	17234	17431	3	197	5	92
23821	24	17241	17238	17437	3	199	5	92
23821	25	17237	17234	17431	3	197	5	92
23821	26	17239	17237	17433	2	196	4	92
23821	27	17240	17238	17435	2	197	5	92
23821	28	17239	17237	17435	2	198	4	92
23821	29	17241	17239	17435	2	196	4	92
23821	30	17235	17234	17431	1	197	3	92
23821	31	17239	17237	17434	2	197	3	92
23821	32	17240	17237	17438	3	201	5	92
23821	33	17240	17239	17435	1	196	4	92
23821	34	17242	17239	17438	3	199	5	92
23821	35	17235	17234	17429	1	195	3	92
23821	36	17241	17238	17436	3	198	4	92
23821	37	17239	17237	17434	2	197	5	92
23821	38	17241	17239	17435	2	196	4	92
23821	39	17239	17238	17435	1	197	3	92
23821	40	17235	17233	17430	2	197	3	92
23821	41	17241	17238	17436	3	198	4	92
23821	42	17237	17235	17431	2	196	4	92
23821	43	17241	17239	17437	2	198	4	92
23821	44	17239	17238	17433	1	195	3	92
23821	45	17237	17235	17433	2	198	4	92
23821	46	17241	17239	17435	2	196	4	92
23821	47	17236	17235	17433	1	198	4	92
23821	48	17239	17238	17433	1	195	3	92
23821	49	17240	17239	17437	1	198	4	92
23821	50	17236	17234	17432	2	198	4	92
23821	51	17240	17239	17437	1	198	4	92
23821	52	17237	17235	17431	2	196	4	92
23821	53	17239	17237	17435	2	198	3	92
23821	54	17241	17238	17436	3	198	4	92
23821	55	17237	17234	17432	3	198	4	92
23821	56	17241	17238	17436	3	198	4	92
23821	57	17234	17233	17430	1	197	3	92
23821	58	17241	17238	17437	3	199	5	92
23821	59	17240	17238	17437	2	199	5	92
23821	60	17236	17233	17432	3	199	5	92
23821	61	17240	17237	17434	3	197	5	92
23821	62	17236	17233	17431	3	198	4	92
23821	63	17241	17239	17435	2	196	4	92
23821	64	17241	17238	17435	3	197	5	92
23821	65	17237	17235	17431	2	196	4	92
23821	66	17239	17238	17433	1	195	3	92
23821	67	17235	17234	17429	1	195	3	92
23821	68	17241	17239	17435	2	196	4	92
23821	69	17240	17238	17438	2	200	4	92
23821	70	17237	17234	17432	3	198	4	92
23821	71	17239	17237	17434	2	197	3	92
23821	72	17237	17235	17431	2	196	4	92
23821	73	17240	17239	17437	1	198	4	92
23821	74	17241	17239	17437	2	198	4	92
23821	75	17236	17234	17430	2	196	3	92
23821	76	17239	17238	17435	1	197	3	92
23821	77	17238	17235	17431	3	196	4	92
23821	78	17238	17236	17434	2	198	4	92
23821	79	17242	17240	17436	2	196	4	92
23821	80	17236	17235	17432	1	197	3	92
23821	81	17241	17239	17435	2	196	4	92
23821	82	17241	17239	17435	2	196	4	92
23821	83	17238	17236	17432	2	196	4	92
23821	84	17239	17238	17435	1	197	3	92
23821	85	17236	17235	17430	1	195	3	92
23821	86	17238	17236	17432	2	196	4	92
23821	87	17242	17238	17437	4	199	5	92
23821	88	17238	17235	17433	3	198	5	92
23821	89	17240	17237	17435	3	198	4	92
23821	90	17238	17236	17433	2	197	5	92
23821	91	17238	17235	17432	3	197	5	92
23821	92	17241	17239	17436	2	197	5	92
23821	93	17236	17233	17431	3	198	4	92
23821	94	17238	17237	17432	1	195	3	92
23821	95	17240	17238	17436	2	198	4	92
23821	96	17238	17236	17432	2	196	4	92
23821	97	17241	17239	17435	2	196	4	92
23821	98	17235	17235	17432	0	197	3	92
23821	99	17239	17237	17433	2	196	4	92
23821	100	17241	17239	17437	2	198	4	92
23821	101	17238	17235	17433	3	198	4	92
23821	102	17240	17238	17435	2	197	3	92
23821	103	17238	17236	17432	2	196	4	92
23821	104	17238	17237	17435	1	198	4	92
23821	105	17242	17239	17451	3	212	6	93
23821	106	17238	17236	17432	2	196	4	92
23821	107	17239	17238	17435	1	197	3	92
23821	108	17238	17236	17434	2	198	4	92
23821	109	17239	17237	17433	2	196	4	92
23821	110	17241	17239	17437	2	198	4	92
23821	111	17236	17235	17430	1	195	3	92
23821	112	17239	17238	17433	1	195	3	92
23821	113	17238	17236	17434	2	198	4	92
23821	114	17238	17237	17433	1	196	4	92
23821	115	17241	17240	17436	1	196	4	92
23821	116	17235	17235	17432	0	197	3	92
23821	117	17241	17240	17436	1	196	4	92
23821	118	17237	17235	17432	2	197	4	92
23821	119	17241	17237	17436	4	199	5	92
23821	120	17239	17238	17433	1	195	3	92
23821	121	17237	17236	17434	1	198	4	92
23821	122	17241	17239	17435	2	196	4	92
23821	123	17237	17236	17434	1	198	4	92
23821	124	17241	17240	17436	1	196	4	92
23821	125	17236	17234	17429	2	195	3	92
23821	126	17238	17235	17433	3	198	4	92
23821	127	17241	17240	17436	1	196	4	92
23821	128	17238	17236	17432	2	196	4	92
23821	129	17239	17239	17436	0	197	3	92
23821	130	17235	17235	17432	0	197	3	92
23821	131	17238	17236	17434	2	198	4	92
23821	132	17241	17240	17436	1	196	4	92
23821	133	17238	17236	17434	2	198	4	92
23821	134	17239	17237	17435	2	198	4	92
23821	135	17238	17234	17431	4	197	5	92
23821	136	17238	17235	17432	3	197	5	92
23821	137	17241	17239	17436	2	197	5	92
23821	138	17236	17234	17430	2	196	4	92
23821	139	17236	17234	17432	2	198	4	92
23821	140	17241	17239	17442	2	203	7	93
23821	141	17238	17236	17432	2	196	4	92
23821	142	17238	17237	17433	1	196	4	92
23821	143	17239	17238	17435	1	197	3	92
23821	144	17238	17236	17434	2	198	4	92
23821	145	17238	17236	17432	2	196	4	92
23821	146	17241	17238	17435	3	197	5	92
23821	147	17236	17235	17432	1	197	3	92
23821	148	17236	17235	17431	1	196	3	92
23821	149	17241	17239	17437	2	198	4	92
23821	150	17239	17236	17434	3	198	4	92
23821	151	17239	17236	17433	3	197	5	92
23821	152	17239	17238	17435	1	197	3	92
23821	153	17239	17236	17434	3	198	4	92
23821	154	17241	17239	17435	2	196	4	92
23821	155	17240	17238	17434	2	196	4	92
23821	156	17236	17235	17430	1	195	3	92
23821	157	17240	17239	17434	1	195	3	92
23821	158	17238	17236	17432	2	196	4	92
23821	159	17238	17236	17434	2	198	4	92
23821	160	17242	17239	17436	3	197	5	92
23821	161	17236	17234	17431	2	197	3	92
23821	162	17238	17236	17434	2	198	4	92
23821	163	17242	17240	17436	2	196	4	92
23821	164	17238	17235	17434	3	199	5	92
23821	165	17239	17238	17438	1	200	4	92
23821	166	17238	17235	17433	3	198	4	92
23821	167	17238	17236	17434	2	198	4	92
23821	168	17241	17239	17437	2	198	4	92
23821	169	17237	17236	17434	1	198	4	92
23821	170	17236	17235	17432	1	197	3	92
23821	171	17241	17239	17435	2	196	4	92
23821	172	17238	17236	17434	2	198	4	92
23821	173	17240	17237	17436	3	199	5	92
23821	174	17241	17238	17435	3	197	5	92
23821	175	17236	17235	17432	1	197	3	92
23821	176	17242	17239	17436	3	197	5	92
23821	177	17238	17236	17432	2	196	4	92
23821	178	17238	17236	17433	2	197	4	92
23821	179	17240	17238	17435	2	197	3	92
23821	180	17238	17235	17433	3	198	4	92
23821	181	17241	17239	17437	2	198	4	92
23821	182	17240	17237	17435	3	198	4	92
23821	183	17238	17235	17433	3	198	4	92
23821	184	17239	17238	17435	1	197	3	92
23821	185	17238	17236	17432	2	196	4	92
23821	186	17239	17237	17433	2	196	4	92
23821	187	17242	17239	17437	3	198	4	92
23821	188	17235	17233	17431	2	198	4	92
23821	189	17241	17238	17437	3	199	5	92
23821	190	17238	17234	17433	4	199	5	92
23821	191	17238	17235	17431	3	196	4	92
23821	192	17242	17239	17437	3	198	4	92
23821	193	17236	17235	17430	1	195	3	92
23821	194	17242	17240	17436	2	196	4	92
23821	195	17238	17235	17434	3	199	5	92
23821	196	17237	17236	17434	1	198	4	92
23821	197	17240	17239	17434	1	195	3	92
23821	198	17238	17234	17433	4	199	5	92
23821	199	17242	17239	17437	3	198	4	92
23821	200	17238	17237	17433	1	196	4	92
23821	201	17237	17235	17434	2	199	5	92
23821	202	17239	17238	17434	1	196	4	92
23821	203	17238	17235	17432	3	197	5	92
23821	204	17242	17238	17435	4	197	5	92
23821	205	17239	17236	17434	3	198	4	92
23821	206	17236	17234	17431	2	197	3	92
23821	207	17242	17240	17436	2	196	4	92
23821	208	17238	17235	17433	3	198	4	92
23821	209	17241	17239	17435	2	196	4	92
23821	210	17238	17236	17432	2	196	4	92
23821	211	17236	17235	17430	1	195	3	92
23821	212	17242	17239	17437	3	198	4	92
23821	213	17238	17235	17433	3	198	4	92
23821	214	17242	17240	17436	2	196	4	92
23821	215	17236	17235	17430	1	195	3	92
23821	216	17238	17235	17433	3	198	5	92
