RUNID	ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
22500	1	11248	4306214	4306417	-4294966	203	3	95
22500	2	11247	4306213	4306414	-4294966	201	3	95
22500	3	11248	4306213	4306416	-4294965	203	3	95
22500	4	11248	4306213	4306421	-4294965	208	5	96
22500	5	11247	4306212	4306419	-4294965	207	5	95
22500	6	11247	4306212	4306416	-4294965	204	4	95
22500	7	11248	4306212	4306418	-4294964	206	4	95
22500	8	11247	4306212	4306416	-4294965	204	4	95
22500	9	11248	4306213	4306417	-4294965	204	4	95
22500	10	11252	4306216	4306421	-4294964	205	4	95
22500	11	11250	4306215	4306419	-4294965	204	4	95
22500	12	11247	4306212	4306416	-4294965	204	4	95
22500	13	11247	4306213	4306442	-4294966	229	5	96
22500	14	11248	4306213	4306416	-4294965	203	3	95
22500	15	11247	4306213	4306418	-4294966	205	3	95
22500	16	11249	4306214	4306418	-4294965	204	4	95
22500	17	11247	4306214	4306417	-4294967	203	3	95
22500	18	11247	4306213	4306414	-4294966	201	3	95
22500	19	11248	4306214	4306419	-4294966	205	3	95
22500	20	11247	4306213	4306416	-4294966	203	3	95
22500	21	11249	4306215	4306417	-4294966	202	4	95
22500	22	11247	4306214	4306415	-4294967	201	3	95
22500	23	11259	4306220	4306428	-4294961	208	4	95
22500	24	11249	4306214	4306419	-4294965	205	3	95
22500	25	11247	4306213	4306418	-4294966	205	3	95
22500	26	11247	4306213	4306418	-4294966	205	3	95
22500	27	11271	4306224	4306446	-4294953	222	5	95
22500	28	11247	4306214	4306415	-4294967	201	3	95
22500	29	11248	4306213	4306416	-4294965	203	3	95
22500	30	11264	4306216	4306435	-4294952	219	5	95
22500	31	11277	4306225	4306449	-4294948	224	5	95
22500	32	11261	4306217	4306429	-4294956	212	5	95
22500	33	11255	4306214	4306422	-4294959	208	4	95
22500	34	11248	4306213	4306416	-4294965	203	3	95
22500	35	11250	4306215	4306419	-4294965	204	4	95
22500	36	11250	4306215	4306436	-4294965	221	6	96
22500	37	11247	4306212	4306416	-4294965	204	4	95
22500	38	11249	4306212	4306419	-4294963	207	5	95
22500	39	11247	4306213	4306415	-4294966	202	4	95
22500	40	11247	4306212	4306414	-4294965	202	4	95
