RUNID	ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
22320	1	1407	1406	1620	1	214	2	100
22320	2	1406	1406	1616	0	210	2	100
22320	3	1406	1406	1620	0	214	2	100
22320	4	1562	1408	1773	154	365	3	100
22320	5	1407	1407	1619	0	212	2	100
22320	6	1407	1406	1620	1	214	2	100
22320	7	1407	1406	1620	1	214	2	100
22320	8	1406	1407	1617	-1	210	2	100
22320	9	1554	1404	1766	150	362	3	100
22320	10	1406	1407	1619	-1	212	2	100
22320	11	1407	1406	1620	1	214	2	100
22320	12	1406	1407	1617	-1	210	2	100
22320	13	1406	1406	1619	0	213	2	100
22320	14	1406	1406	1620	0	214	2	100
22320	15	1559	1407	1771	152	364	3	100
22320	16	1407	1406	1618	1	212	2	100
22320	17	1407	1407	1619	0	212	2	100
22320	18	1401	1401	1613	0	212	2	100
22320	19	1407	1406	1620	1	214	2	100
22320	20	1562	1407	1772	155	365	3	100
22320	21	1407	1406	1618	1	212	2	100
22320	22	1406	1407	1619	-1	212	2	100
22320	23	1407	1406	1620	1	214	2	100
22320	24	1406	1406	1618	0	212	2	100
22320	25	1558	1408	1772	150	364	3	100
22320	26	1406	1407	1620	-1	213	2	100
22320	27	1403	1403	1617	0	214	2	100
22320	28	1406	1407	1617	-1	210	2	100
22320	29	1406	1407	1617	-1	210	2	100
22320	30	1407	1406	1618	1	212	2	100
22320	31	1406	1407	1773	-1	366	3	100
22320	32	1406	1407	1619	-1	212	2	100
22320	33	1406	1407	1619	-1	212	2	100
22320	34	1406	1406	1620	0	214	2	100
22320	35	1406	1407	1617	-1	210	2	100
22320	36	1559	1404	1773	155	369	3	100
22320	37	1407	1407	1618	0	211	2	100
22320	38	1407	1407	1619	0	212	2	100
22320	39	1406	1406	1618	0	212	2	100
22320	40	1407	1406	1618	1	212	2	100
