ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
1	321965	321932	322171	33	239	6	95
2	270041	269988	270249	53	261	7	95
3	94168	94160	94375	8	215	6	95
4	94169	94164	94378	5	214	6	95
5	94169	94163	94379	6	216	7	95
6	94169	94164	94379	5	215	8	95
7	94170	94165	94380	5	215	7	95
8	94168	94162	94377	6	215	8	95
9	94166	94160	94377	6	217	6	95
10	94169	94160	94376	9	216	7	95
11	94167	94163	94379	4	216	7	95
12	94168	94162	94377	6	215	7	95
13	94169	94164	94378	5	214	6	95
14	94168	94163	94379	5	216	6	95
15	94168	94165	94377	3	212	5	95
16	94168	94163	94379	5	216	6	95
17	94167	94164	94379	3	215	6	95
18	94166	94163	94375	3	212	5	95
19	94167	94162	94378	5	216	6	95
20	94170	94165	94378	5	213	6	95
21	94170	94164	94379	6	215	7	95
22	94169	94164	94379	5	215	6	95
23	94170	94165	94382	5	217	7	95
24	94166	94162	94376	4	214	7	95
25	94167	94160	94378	7	218	6	95
26	94168	94163	94379	5	216	7	95
27	94169	94165	94381	4	216	6	95
28	94168	94162	94382	6	220	8	96
29	94164	94159	94375	5	216	6	95
30	94171	94165	94382	6	217	6	95
31	94172	94167	94382	5	215	6	95
32	94169	94162	94378	7	216	6	95
33	94169	94166	94378	3	212	5	95
34	94177	94168	94385	9	217	7	95
35	94166	94163	94375	3	212	5	95
36	94170	94165	94382	5	217	7	95
37	94170	94164	94378	6	214	7	95
38	94171	94166	94380	5	214	6	95
39	94167	94163	94376	4	213	6	95
40	94170	94165	94378	5	213	6	95
