ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
1	4238	4237	4436	1	199	3	93
2	4237	4237	4435	0	198	2	93
3	4231	4230	4429	1	199	3	93
4	4238	4238	4436	0	198	2	93
5	4240	4239	4434	1	195	3	92
6	4237	4238	4432	-1	194	2	92
7	4239	4239	4436	0	197	3	92
8	4237	4237	4431	0	194	2	92
9	4239	4239	4434	0	195	3	92
10	4238	4238	4432	0	194	2	92
11	4240	4239	4434	1	195	3	92
12	4237	4237	4433	0	196	2	92
13	4237	4238	4432	-1	194	2	92
14	4237	4237	4431	0	194	2	92
15	4238	4238	4432	0	194	2	92
16	4239	4238	4435	1	197	3	92
17	4238	4238	4432	0	194	2	92
18	4233	4232	4431	1	199	3	92
19	4229	4229	4427	0	198	2	92
20	4239	4238	4435	1	197	3	92
21	4238	4237	4435	1	198	2	92
22	4239	4237	4436	2	199	3	92
23	4238	4237	4435	1	198	2	92
24	4240	4239	4434	1	195	3	92
25	4238	4238	4432	0	194	2	92
26	4238	4237	4433	1	196	2	92
27	4239	4238	4437	1	199	3	92
28	4238	4238	4432	0	194	2	92
29	4240	4239	4434	1	195	3	92
30	4238	4238	4432	0	194	2	92
31	4239	4238	4435	1	197	3	92
32	4237	4237	4435	0	198	2	92
33	4240	4239	4434	1	195	3	92
34	4231	4231	4425	0	194	2	92
35	4235	4235	4430	0	195	3	92
36	4238	4238	4432	0	194	2	92
37	4240	4238	4435	2	197	3	92
38	4238	4238	4432	0	194	2	92
39	4238	4238	4432	0	194	2	92
40	4240	4239	4434	1	195	3	92
