RUNID	ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
23761	1	25809	25807	26004	2	197	4	92
23761	2	25799	25796	25994	3	198	4	92
23761	3	25806	25803	26002	3	199	4	92
23761	4	25807	25806	26002	1	196	4	92
23761	5	25804	25800	26000	4	200	5	92
23761	6	25810	25807	26004	3	197	4	92
23761	7	25798	25796	25994	2	198	4	92
23761	8	25805	25801	26001	4	200	5	92
23761	9	25810	25805	26005	5	200	5	92
23761	10	25803	25800	25999	3	199	5	92
23761	11	25810	25806	26007	4	201	4	92
23761	12	25803	25800	25998	3	198	4	92
23761	13	25804	25802	25998	2	196	4	92
23761	14	25810	25807	26006	3	199	4	92
23761	15	25803	25802	25998	1	196	4	92
23761	16	25810	25806	26007	4	201	4	92
23761	17	25805	25802	26000	3	198	5	92
23761	18	25804	25802	26000	2	198	4	92
23761	19	25808	25805	26002	3	197	4	92
23761	20	25803	25801	26001	2	200	4	92
23761	21	25808	25805	26005	3	200	4	92
23761	22	25805	25802	26001	3	199	4	92
23761	23	25808	25806	26002	2	196	4	92
23761	24	25804	25801	26000	3	199	4	92
23761	25	25806	25802	26002	4	200	5	92
23761	26	25805	25803	26000	2	197	5	92
23761	27	25807	25803	26003	4	200	5	92
23761	28	25805	25802	26001	3	199	5	92
23761	29	25808	25805	26004	3	199	5	92
23761	30	25802	25798	25998	4	200	5	92
23761	31	25807	25804	26003	3	199	5	92
23761	32	25807	25805	26002	2	197	4	92
23761	33	25807	25804	26001	3	197	4	92
23761	34	25805	25803	25999	2	196	4	92
23761	35	25807	25804	26003	3	199	4	92
23761	36	25806	25803	26000	3	197	4	92
23761	37	25804	25802	26000	2	198	4	92
23761	38	25808	25806	26003	2	197	4	92
23761	39	25805	25803	26001	2	198	4	92
23761	40	25806	25802	26003	4	201	4	92
23761	41	25806	25804	26001	2	197	4	92
23761	42	25804	25803	25999	1	196	4	92
23761	43	25806	25803	26002	3	199	4	92
23761	44	25807	25803	26004	4	201	4	92
23761	45	25805	25803	26001	2	198	4	92
23761	46	25807	25805	26002	2	197	4	92
23761	47	25804	25802	26000	2	198	4	92
23761	48	25806	25804	26001	2	197	4	92
23761	49	25806	25802	26001	4	199	4	92
