RUNID	ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
19860	1	1019	1019	1219	0	200	2	95
19860	2	1019	1018	1220	1	202	2	95
19860	3	1019	1019	1221	0	202	2	95
19860	4	1021	1020	1223	1	203	3	95
19860	5	1018	1019	1219	-1	200	2	95
19860	6	1019	1019	1221	0	202	2	95
19860	7	1018	1018	1220	0	202	2	95
19860	8	1019	1019	1221	0	202	2	95
19860	9	1019	1019	1221	0	202	2	95
19860	10	1019	1019	1220	0	201	2	95
19860	11	1021	1020	1221	1	201	3	95
19860	12	1019	1018	1220	1	202	2	95
19860	13	1019	1018	1220	1	202	2	95
19860	14	1019	1019	1219	0	200	2	95
19860	15	1019	1019	1219	0	200	2	95
19860	16	1019	1019	1221	0	202	2	95
19860	17	1019	1018	1220	1	202	2	95
19860	18	1019	1019	1221	0	202	2	95
19860	19	1018	1019	1219	-1	200	2	95
19860	20	1019	1019	1219	0	200	2	95
19860	21	1019	1019	1221	0	202	2	95
19860	22	1019	1019	1221	0	202	2	95
19860	23	1019	1019	1221	0	202	2	95
19860	24	1019	1019	1221	0	202	2	95
19860	25	1019	1019	1221	0	202	2	95
19860	26	1019	1018	1220	1	202	2	95
19860	27	1015	1016	1216	-1	200	2	95
19860	28	1015	1014	1218	1	204	2	95
19860	29	1014	1015	1215	-1	200	2	95
19860	30	1019	1019	1219	0	200	2	95
19860	31	1018	1019	1219	-1	200	2	95
19860	32	1019	1019	1221	0	202	2	95
19860	33	1021	1020	1223	1	203	3	95
19860	34	1018	1019	1219	-1	200	2	95
19860	35	1019	1019	1221	0	202	2	95
19860	36	1019	1019	1221	0	202	2	95
19860	37	1019	1019	1219	0	200	2	95
19860	38	1019	1019	1221	0	202	2	95
19860	39	1019	1019	1219	0	200	2	95
19860	40	1021	1020	1223	1	203	3	95
