RUNID	ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
19820	1	229	229	433	0	204	2	96
19820	2	230	230	434	0	204	2	96
19820	3	229	230	433	-1	203	2	96
19820	4	230	229	433	1	204	2	96
19820	5	230	230	434	0	204	2	96
19820	6	230	229	433	1	204	2	96
19820	7	230	229	433	1	204	2	96
19820	8	230	229	431	1	202	2	96
19820	9	230	229	433	1	204	2	96
19820	10	230	229	433	1	204	2	96
19820	11	230	230	434	0	204	2	96
19820	12	230	230	434	0	204	2	96
19820	13	230	229	433	1	204	2	96
19820	14	229	230	432	-1	202	2	96
19820	15	230	229	433	1	204	2	96
19820	16	230	229	433	1	204	2	96
19820	17	230	229	433	1	204	2	96
19820	18	230	229	433	1	204	2	96
19820	19	231	230	435	1	205	3	96
19820	20	229	230	432	-1	202	2	96
19820	21	230	230	434	0	204	2	96
19820	22	229	230	432	-1	202	2	96
19820	23	230	229	433	1	204	2	96
19820	24	230	229	433	1	204	2	96
19820	25	229	229	433	0	204	2	96
19820	26	230	229	433	1	204	2	96
19820	27	230	230	434	0	204	2	96
19820	28	230	230	434	0	204	2	96
19820	29	230	229	433	1	204	2	96
19820	30	229	230	434	-1	204	2	96
19820	31	229	229	433	0	204	2	96
19820	32	229	230	434	-1	204	2	96
19820	33	229	229	433	0	204	2	96
19820	34	229	229	433	0	204	2	96
19820	35	228	229	431	-1	202	2	96
19820	36	229	228	432	1	204	2	96
19820	38	229	230	434	-1	204	2	96
19820	39	230	230	432	0	202	2	96
19820	40	229	230	432	-1	202	2	96
