ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
1	69839	69830	70043	9	213	7	95
2	69837	69829	70042	8	213	6	95
3	69835	69827	70038	8	211	6	95
4	69596	69585	69800	11	215	7	95
5	69211	69204	69415	7	211	6	95
6	69209	69201	69412	8	211	6	95
7	69208	69199	69408	9	209	7	95
8	69202	69194	69407	8	213	7	95
9	69214	69205	69421	9	216	8	95
10	69206	69198	69409	8	211	6	95
11	69205	69198	69408	7	210	5	95
12	69209	69201	69415	8	214	7	95
13	69209	69199	69413	10	214	7	95
14	69209	69200	69411	9	211	8	95
15	69221	69213	69425	8	212	7	95
16	69207	69198	69412	9	214	7	95
17	69210	69202	69413	8	211	6	95
18	69205	69195	69409	10	214	7	95
19	69207	69200	69413	7	213	6	95
20	69206	69198	69409	8	211	6	95
21	69216	69209	69421	7	212	5	95
22	69209	69201	69412	8	211	6	95
23	69211	69204	69414	7	210	5	95
24	69209	69201	69412	8	211	6	95
25	69210	69203	69413	7	210	5	95
26	69210	69201	69415	9	214	6	95
27	69218	69209	69424	9	215	7	95
28	69208	69199	69414	9	215	7	96
29	69211	69200	69415	11	215	7	95
30	69203	69196	69404	7	208	6	95
31	69205	69199	69406	6	207	5	95
32	69218	69209	69421	9	212	6	95
33	69208	69201	69413	7	212	5	95
34	69207	69198	69410	9	212	6	95
35	69208	69200	69411	8	211	6	95
36	69208	69200	69411	8	211	6	95
37	69205	69196	69408	9	212	6	95
38	69223	69213	69426	10	213	6	95
39	69208	69202	69412	6	210	5	95
40	69205	69196	69410	9	214	7	95
