WL	MIN_pt	MAX_pt	MED_pt	AVG_pt	SD_pt	task_sec
25	228	230	229.0	229.4	0.55	25000
50	1014	1020	1019.0	1018.7	1.19	50000
250	342	346	344.0	343.5	0.75	250000
250	342	346	344.0	343.5	0.75	250000
500	684	688	687.0	686.7	0.81	500000
500	684	688	687.0	686.7	0.81	500000
1024	1401	1408	1406.0	1406.1	1.32	1024000
1024	1401	1408	1406.0	1406.1	1.32	1024000
2048	2807	2815	2812.0	2812.0	1.91	2048000
2048	2807	2815	2812.0	2812.0	1.91	2048000
4096	5619	5629	5625.0	5624.1	2.63	4096000
4096	5619	5629	5625.0	5624.1	2.63	4096000
6400	529385	17709557	1.77094585E7	1.55619611E7	5754100.12	6400000
8192	4306209	4306225	4306214.3	4306215.5	3.0	8192000
8192	4306209	4306225	4306214.3	4306215.5	3.0	8192000
