RUNID	ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
24341	1	13035	13034	13279	1	245	3	115
24341	2	13035	13034	13279	1	245	3	115
24341	3	13032	13029	13276	3	247	5	115
24341	4	13035	13033	13279	2	246	4	115
24341	5	13035	13033	13279	2	246	4	115
24341	6	13032	13030	13276	2	246	4	115
24341	7	13036	13033	13279	3	246	4	115
24341	8	13035	13034	13279	1	245	3	115
24341	9	13035	13033	13277	2	244	4	115
24341	10	13032	13031	13276	1	245	3	115
24341	11	13035	13035	13280	0	245	3	115
24341	12	13036	13034	13280	2	246	4	115
24341	13	13030	13029	13274	1	245	3	115
24341	14	13035	13033	13281	2	248	5	115
24341	15	13036	13033	13280	3	247	5	115
24341	16	13031	13030	13275	1	245	3	115
24341	17	13037	13035	13281	2	246	4	115
24341	18	13036	13035	13280	1	245	3	115
24341	19	13030	13029	13274	1	245	3	115
24341	20	13036	13034	13281	2	247	4	115
24341	21	12987	12986	13231	1	245	3	115
24341	22	12978	12977	13223	1	246	4	115
24341	23	12993	12986	13237	7	251	6	117
24341	24	12992	12990	13237	2	247	3	115
24341	25	13008	13007	13252	1	245	3	115
24341	26	13032	13029	13273	3	244	4	115
24341	27	13035	13034	13279	1	245	3	115
24341	28	13053	13043	13297	10	254	8	134
24341	29	13032	13029	13276	3	247	5	115
24341	30	13035	13033	13277	2	244	4	115
24341	31	13038	13035	13280	3	245	5	115
24341	32	13031	13029	13274	2	245	3	115
24341	33	13035	13034	13279	1	245	3	115
24341	34	13037	13035	13283	2	248	4	115
24341	35	13035	13034	13279	1	245	3	115
24341	36	13031	13029	13275	2	246	4	115
24341	37	13039	13036	13282	3	246	4	115
24341	38	13036	13033	13277	3	244	4	115
24341	39	13030	13028	13274	2	246	4	115
24341	40	13037	13035	13281	2	246	4	115
24341	41	13037	13034	13280	3	246	4	115
24341	42	13030	13029	13274	1	245	3	115
24341	43	13035	13034	13280	1	246	4	115
24341	44	13035	13034	13279	1	245	3	115
24341	45	13033	13029	13276	4	247	5	115
24341	46	13035	13033	13279	2	246	4	115
24341	47	13036	13033	13278	3	245	4	115
24341	48	13036	13034	13280	2	246	4	115
24341	49	13031	13030	13275	1	245	3	115
24341	50	13035	13034	13279	1	245	3	115
24341	51	13038	13035	13282	3	247	5	115
24341	52	13030	13028	13271	2	243	3	115
24341	53	13036	13035	13278	1	243	3	115
24341	54	13037	13035	13281	2	246	4	115
24341	55	13030	13029	13272	1	243	3	115
24341	56	13035	13034	13281	1	247	3	115
24341	57	13035	13034	13279	1	245	3	115
24341	58	13031	13029	13274	2	245	3	115
24341	59	13037	13035	13283	2	248	4	115
24341	60	13035	13035	13280	0	245	3	115
24341	61	13035	13034	13277	1	243	3	115
24341	62	13034	13031	13277	3	246	4	115
24341	63	13035	13034	13279	1	245	3	115
24341	64	13035	13034	13280	1	246	4	115
24341	65	13032	13029	13276	3	247	5	115
24341	66	13034	13033	13278	1	245	3	115
24341	67	13047	13038	13290	9	252	7	117
24341	68	13032	13029	13274	3	245	5	115
24341	69	13035	13034	13278	1	244	4	115
24341	70	13038	13035	13282	3	247	5	115
24341	71	13030	13029	13274	1	245	3	115
24341	72	13035	13035	13278	0	243	3	115
24341	73	13037	13035	13281	2	246	4	115
24341	74	13035	13034	13279	1	245	3	115
24341	75	13003	13002	13245	1	243	3	115
24341	76	12987	12985	13229	2	244	4	115
24341	77	12979	12978	13221	1	243	3	115
24341	78	12979	12978	13223	1	245	3	115
24341	79	13004	13001	13247	3	246	4	115
24341	80	13035	13034	13279	1	245	3	115
24341	81	13031	13030	13275	1	245	3	115
24341	82	13039	13037	13283	2	246	4	115
24341	83	13035	13034	13277	1	243	3	115
24341	84	13033	13031	13277	2	246	4	115
24341	85	13035	13033	13279	2	246	4	115
24341	86	13035	13034	13279	1	245	3	115
24341	87	13037	13035	13279	2	244	4	115
24341	88	13031	13030	13273	1	243	3	115
24341	89	13035	13034	13279	1	245	3	115
24341	90	13037	13035	13281	2	246	4	115
24341	91	13030	13028	13272	2	244	4	115
24341	92	13036	13033	13277	3	244	4	115
24341	93	13037	13034	13281	3	247	5	115
24341	94	13030	13028	13274	2	246	4	115
24341	95	13034	13032	13278	2	246	4	115
24341	96	13037	13034	13281	3	247	5	115
24341	97	13031	13029	13276	2	247	3	115
24341	98	13037	13035	13281	2	246	4	115
24341	99	13035	13034	13279	1	245	3	115
24341	100	13035	13034	13279	1	245	3	115
24341	101	13033	13031	13277	2	246	4	115
24341	102	13035	13034	13279	1	245	3	115
24341	103	13035	13033	13279	2	246	4	115
24341	104	13032	13030	13276	2	246	4	115
24341	105	13036	13034	13277	2	243	3	115
24341	106	13035	13034	13279	1	245	3	115
24341	107	13031	13028	13275	3	247	5	115
24341	108	13034	13033	13278	1	245	3	115
24341	109	13035	13035	13278	0	243	3	115
24341	110	13033	13031	13277	2	246	4	115
24341	111	13034	13033	13278	1	245	3	115
24341	112	13050	13041	13292	9	251	6	117
24341	113	13036	13035	13280	1	245	3	115
24341	114	13031	13030	13275	1	245	3	115
24341	115	13038	13034	13279	4	245	5	115
24341	116	13036	13035	13278	1	243	3	115
24341	117	13030	13028	13274	2	246	4	115
24341	118	13038	13035	13282	3	247	5	115
24341	119	13035	13033	13279	2	246	4	115
24341	120	13029	13027	13273	2	246	4	115
24341	121	13037	13033	13280	4	247	5	115
24341	122	13035	13034	13279	1	245	3	115
24341	123	13031	13029	13275	2	246	4	115
24341	124	13035	13034	13280	1	246	4	115
24341	125	13035	13034	13281	1	247	3	115
24341	126	13035	13034	13281	1	247	3	115
24341	127	13031	13030	13273	1	243	3	115
24341	128	13033	13033	13278	0	245	3	115
24341	129	13009	13007	13253	2	246	4	115
24341	130	12993	12992	13237	1	245	3	115
24341	131	12984	12982	13227	2	245	3	115
24341	132	12981	12979	13223	2	244	4	115
24341	133	12988	12986	13231	2	245	3	115
24341	134	13035	13034	13279	1	245	3	115
24341	135	13039	13037	13283	2	246	4	115
24341	136	13033	13031	13274	2	243	3	115
24341	137	13032	13031	13276	1	245	3	115
24341	138	13037	13035	13281	2	246	4	115
24341	139	13035	13034	13279	1	245	3	115
24341	140	13030	13028	13274	2	246	4	115
24341	141	13035	13034	13279	1	245	3	115
24341	142	13036	13035	13280	1	245	3	115
24341	143	13032	13030	13276	2	246	4	115
24341	144	13037	13035	13278	2	243	3	115
24341	145	13036	13034	13279	2	245	3	115
24341	146	13032	13030	13274	2	244	4	115
24341	147	13035	13033	13277	2	244	4	115
24341	148	13035	13033	13279	2	246	4	115
24341	149	13034	13030	13277	4	247	5	115
24341	150	13033	13032	13275	1	243	3	115
24341	151	13035	13034	13281	1	247	3	115
24341	152	13038	13036	13280	2	244	4	115
24341	153	13030	13028	13273	2	245	3	115
24341	154	13035	13034	13279	1	245	3	115
24341	155	13035	13033	13279	2	246	4	115
24341	156	13042	13033	13285	9	252	6	117
24341	157	13037	13035	13281	2	246	4	115
24341	158	13036	13034	13277	2	243	3	115
24341	159	13029	13028	13273	1	245	3	115
24341	160	13037	13036	13282	1	246	4	115
24341	161	13035	13034	13279	1	245	3	115
24341	162	13032	13031	13274	1	243	3	115
24341	163	13036	13034	13278	2	244	4	115
24341	164	13035	13034	13279	1	245	3	115
24341	165	13035	13034	13280	1	246	4	115
24341	166	13033	13029	13277	4	248	5	115
24341	167	13035	13033	13281	2	248	4	115
24341	168	13035	13033	13279	2	246	4	115
24341	169	13030	13028	13274	2	246	4	115
24341	170	13036	13034	13279	2	245	4	115
24341	171	13037	13035	13281	2	246	4	115
24341	172	13030	13028	13272	2	244	4	115
24341	173	13036	13034	13278	2	244	4	115
24341	174	13037	13035	13279	2	244	4	115
24341	175	13032	13031	13274	1	243	3	115
24341	176	13033	13032	13276	1	244	3	115
24341	177	13038	13036	13280	2	244	4	115
24341	178	13035	13034	13281	1	247	3	115
24341	179	13030	13029	13274	1	245	3	115
24341	180	13037	13035	13281	2	246	4	115
24341	181	13035	13034	13279	1	245	3	115
24341	182	13030	13029	13274	1	245	3	115
24341	183	13008	13007	13252	1	245	3	115
24341	184	12979	12978	13223	1	245	3	115
24341	185	12981	12979	13225	2	246	4	115
24341	186	12982	12980	13226	2	246	4	115
24341	187	12997	12996	13241	1	245	3	115
24341	188	13034	13032	13280	2	248	4	115
24341	189	13033	13032	13277	1	245	3	115
24341	190	13036	13034	13279	2	245	3	115
24341	191	13037	13035	13279	2	244	4	115
24341	192	13030	13028	13274	2	246	4	115
