RUNID	ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
24081	1	17223	17220	17417	3	197	5	92
24081	2	17245	17241	17441	4	200	5	92
24081	3	17243	17242	17439	1	197	3	92
24081	4	17244	17242	17438	2	196	4	92
24081	5	17223	17221	17419	2	198	4	92
24081	6	17244	17243	17439	1	196	4	92
24081	7	17242	17241	17438	1	197	3	92
24081	8	17245	17242	17440	3	198	4	92
24081	9	17224	17222	17418	2	196	4	92
24081	10	17244	17242	17439	2	197	5	92
24081	11	17242	17241	17437	1	196	4	92
24081	12	17245	17242	17438	3	196	4	92
24081	13	17222	17220	17418	2	198	4	92
24081	14	17245	17242	17439	3	197	4	92
24081	15	17243	17242	17437	1	195	3	92
24081	16	17243	17241	17439	2	198	4	92
24081	17	17225	17223	17419	2	196	4	92
24081	18	17244	17242	17439	2	197	5	92
24081	19	17244	17241	17440	3	199	5	92
24081	20	17239	17236	17435	3	199	5	92
24081	21	17230	17228	17424	2	196	4	92
24081	22	17245	17242	17442	3	200	4	92
24081	23	17244	17243	17439	1	196	4	92
24081	24	17227	17227	17422	0	195	3	92
24081	25	17240	17237	17433	3	196	4	92
24081	26	17245	17243	17439	2	196	4	92
24081	27	17245	17243	17439	2	196	4	92
24081	28	17223	17221	17417	2	196	4	92
24081	29	17244	17241	17440	3	199	5	92
24081	30	17245	17242	17440	3	198	4	92
24081	31	17245	17242	17441	3	199	4	92
24081	32	17221	17220	17415	1	195	3	92
24081	33	17244	17242	17440	2	198	4	92
24081	34	17244	17243	17439	1	196	4	92
24081	35	17245	17242	17440	3	198	4	92
24081	36	17220	17218	17416	2	198	4	92
24081	37	17242	17240	17438	2	198	4	92
24081	38	17244	17242	17439	2	197	5	92
24081	39	17245	17242	17438	3	196	4	92
24081	40	17223	17222	17418	1	196	4	92
24081	41	17243	17242	17437	1	195	3	92
24081	42	17244	17242	17440	2	198	4	92
24081	43	17244	17243	17439	1	196	4	92
24081	44	17223	17220	17416	3	196	4	92
24081	45	17243	17241	17436	2	195	3	92
24081	46	17245	17242	17438	3	196	4	92
24081	47	17244	17241	17440	3	199	5	92
24081	48	17222	17221	17417	1	196	4	92
24081	49	17242	17242	17437	0	195	3	92
24081	50	17244	17242	17440	2	198	4	92
24081	51	17244	17243	17439	1	196	4	92
24081	52	17223	17221	17417	2	196	4	92
24081	53	17242	17242	17437	0	195	3	92
24081	54	17243	17241	17440	2	199	5	92
24081	55	17245	17241	17440	4	199	5	92
24081	56	17222	17220	17417	2	197	5	92
24081	57	17245	17243	17439	2	196	4	92
24081	58	17243	17241	17439	2	198	3	92
24081	59	17244	17242	17438	2	196	4	92
24081	60	17223	17221	17418	2	197	4	92
24081	61	17245	17242	17438	3	196	4	92
24081	62	17242	17241	17438	1	197	3	92
24081	63	17241	17238	17435	3	197	5	92
24081	64	17228	17225	17422	3	197	5	92
24081	65	17244	17241	17440	3	199	5	92
24081	66	17243	17241	17436	2	195	3	92
24081	67	17237	17235	17431	2	196	4	92
24081	68	17232	17230	17428	2	198	4	92
24081	69	17244	17242	17440	2	198	4	92
24081	70	17243	17241	17440	2	199	3	92
24081	71	17232	17231	17427	1	196	4	92
24081	72	17238	17235	17431	3	196	4	92
24081	73	17244	17243	17439	1	196	4	92
24081	74	17242	17241	17438	1	197	3	92
24081	75	17228	17227	17424	1	197	3	92
24081	76	17238	17236	17434	2	198	4	92
24081	77	17244	17242	17440	2	198	4	92
24081	78	17245	17242	17439	3	197	5	92
24081	79	17232	17230	17426	2	196	4	92
24081	80	17234	17232	17429	2	197	5	92
24081	81	17244	17242	17440	2	198	4	92
24081	82	17245	17242	17440	3	198	4	92
24081	83	17234	17233	17430	1	197	3	92
24081	84	17232	17230	17428	2	198	4	92
24081	85	17245	17242	17438	3	196	4	92
24081	86	17244	17243	17439	1	196	4	92
24081	87	17234	17232	17427	2	195	3	92
24081	88	17233	17230	17429	3	199	5	92
24081	89	17244	17242	17439	2	197	5	92
24081	90	17245	17243	17439	2	196	4	92
24081	91	17236	17235	17430	1	195	3	92
24081	92	17230	17228	17424	2	196	4	92
24081	93	17245	17243	17439	2	196	4	92
24081	94	17244	17242	17440	2	198	4	92
24081	95	17235	17234	17431	1	197	3	92
24081	96	17229	17228	17423	1	195	3	92
24081	97	17245	17242	17440	3	198	4	92
24081	98	17244	17242	17439	2	197	5	92
24081	99	17240	17236	17437	4	201	5	92
24081	100	17226	17225	17421	1	196	4	92
24081	101	17245	17242	17440	3	198	4	92
24081	102	17245	17243	17439	2	196	4	92
24081	103	17241	17239	17435	2	196	4	92
24081	104	17227	17225	17420	2	195	3	92
24081	105	17244	17243	17439	1	196	4	92
24081	106	17244	17243	17439	1	196	4	92
24081	107	17240	17238	17435	2	197	5	92
24081	108	17226	17224	17423	2	199	3	92
24081	109	17244	17242	17440	2	198	4	92
24081	110	17245	17242	17440	3	198	4	92
24081	111	17242	17241	17437	1	196	4	92
24081	112	17224	17223	17418	1	195	3	92
24081	113	17243	17241	17439	2	198	4	92
24081	114	17245	17243	17439	2	196	4	92
24081	115	17243	17242	17438	1	196	4	92
24081	116	17226	17223	17420	3	197	4	92
24081	117	17243	17240	17438	3	198	4	92
24081	118	17245	17243	17439	2	196	4	92
24081	119	17243	17241	17438	2	197	5	92
24081	120	17224	17223	17419	1	196	4	92
24081	121	17242	17242	17437	0	195	3	92
24081	122	17245	17243	17439	2	196	4	92
24081	123	17244	17242	17440	2	198	4	92
24081	124	17224	17222	17418	2	196	4	92
