RUNID	ITERNUM	METIME	PRTIME	TPRTIME	DIFF	TDIFF	NRPROCS	NPROCS
24161	1	4228	4228	4424	0	196	2	92
24161	2	4235	4234	4429	1	195	3	92
24161	3	4232	4231	4427	1	196	2	92
24161	4	4234	4233	4428	1	195	3	92
24161	5	4228	4227	4423	1	196	2	92
24161	6	4234	4233	4429	1	196	3	92
24161	7	4232	4232	4428	0	196	2	92
24161	8	4234	4232	4429	2	197	3	92
24161	9	4228	4227	4423	1	196	2	92
24161	10	4235	4233	4430	2	197	3	92
24161	11	4232	4232	4426	0	194	2	92
24161	12	4234	4233	4430	1	197	3	92
24161	13	4229	4229	4423	0	194	2	92
24161	14	4233	4232	4428	1	196	2	92
24161	15	4232	4232	4429	0	197	3	92
24161	16	4232	4232	4428	0	196	2	92
24161	17	4232	4231	4428	1	197	3	92
24161	18	4230	4231	4425	-1	194	2	92
24161	19	4234	4233	4428	1	195	3	92
24161	20	4232	4232	4428	0	196	2	92
24161	21	4234	4233	4428	1	195	3	92
24161	22	4227	4227	4421	0	194	2	92
24161	23	4234	4233	4430	1	197	3	92
24161	24	4232	4232	4428	0	196	2	92
24161	25	4234	4233	4428	1	195	3	92
24161	26	4228	4227	4423	1	196	2	92
24161	27	4234	4233	4430	1	197	3	92
24161	28	4232	4232	4428	0	196	2	92
24161	29	4232	4232	4426	0	194	2	92
24161	30	4228	4229	4426	-1	197	3	92
24161	31	4232	4232	4428	0	196	2	92
24161	32	4234	4232	4431	2	199	3	92
24161	33	4232	4231	4427	1	196	2	92
24161	34	4231	4229	4428	2	199	3	92
24161	35	4232	4232	4428	0	196	2	92
24161	36	4234	4232	4429	2	197	3	92
24161	37	4232	4232	4426	0	194	2	92
24161	38	4232	4231	4428	1	197	3	92
24161	39	4231	4231	4427	0	196	2	92
24161	40	4234	4233	4430	1	197	3	92
24161	41	4232	4232	4428	0	196	2	92
24161	42	4232	4232	4427	0	195	2	92
24161	43	4228	4228	4422	0	194	2	92
24161	44	4232	4232	4426	0	194	2	92
24161	45	4234	4233	4429	1	196	3	92
24161	46	4232	4232	4428	0	196	2	92
24161	47	4231	4229	4425	2	196	4	92
24161	48	4232	4232	4428	0	196	2	92
24161	49	4234	4233	4428	1	195	3	92
24161	50	4231	4232	4426	-1	194	2	92
24161	51	4231	4229	4426	2	197	3	92
24161	52	4232	4232	4428	0	196	2	92
24161	53	4234	4234	4429	0	195	3	92
24161	54	4233	4232	4428	1	196	2	92
24161	55	4233	4231	4429	2	198	3	92
24161	56	4232	4232	4428	0	196	2	92
24161	57	4231	4232	4426	-1	194	2	92
24161	58	4235	4233	4430	2	197	3	92
24161	59	4231	4231	4425	0	194	2	92
24161	60	4232	4232	4427	0	195	3	92
24161	61	4232	4231	4427	1	196	2	92
24161	62	4234	4233	4430	1	197	3	92
24161	63	4232	4232	4424	0	192	2	92
24161	64	4229	4228	4425	1	197	3	92
24161	65	4232	4232	4426	0	194	2	92
24161	66	4234	4233	4428	1	195	3	92
24161	67	4232	4232	4426	0	194	2	92
24161	68	4230	4228	4423	2	195	3	92
24161	69	4232	4232	4426	0	194	2	92
24161	70	4232	4232	4428	0	196	2	92
24161	71	4232	4232	4426	0	194	2	92
24161	72	4228	4229	4423	-1	194	2	92
24161	73	4234	4234	4429	0	195	3	92
24161	74	4232	4232	4426	0	194	2	92
24161	75	4234	4233	4430	1	197	3	92
24161	76	4229	4228	4424	1	196	2	92
24161	77	4234	4232	4429	2	197	3	92
24161	78	4233	4233	4427	0	194	2	92
24161	79	4234	4233	4430	1	197	3	92
24161	80	4231	4231	4425	0	194	2	92
24161	81	4232	4231	4428	1	197	3	92
24161	82	4232	4231	4427	1	196	2	92
24161	83	4234	4233	4430	1	197	3	92
24161	84	4232	4232	4426	0	194	2	92
24161	85	4227	4227	4422	0	195	2	92
24161	86	4234	4233	4428	1	195	3	92
24161	87	4231	4232	4426	-1	194	2	92
24161	88	4234	4233	4430	1	197	3	92
24161	89	4228	4228	4424	0	196	2	92
24161	90	4234	4233	4430	1	197	3	92
24161	91	4232	4232	4428	0	196	2	92
24161	92	4234	4233	4428	1	195	3	92
24161	93	4228	4228	4424	0	196	2	92
24161	94	4234	4233	4430	1	197	3	92
24161	95	4232	4231	4427	1	196	2	92
24161	96	4234	4233	4430	1	197	3	92
24161	97	4230	4230	4424	0	194	2	92
24161	98	4232	4232	4426	0	194	2	92
24161	99	4232	4232	4426	0	194	2	92
24161	100	4232	4232	4428	0	196	2	92
24161	101	4231	4230	4427	1	197	3	92
24161	102	4233	4232	4426	1	194	2	92
24161	103	4234	4233	4430	1	197	3	92
24161	104	4232	4232	4426	0	194	2	92
24161	105	4233	4232	4427	1	195	3	92
24161	106	4230	4229	4425	1	196	2	92
24161	107	4233	4233	4428	0	195	3	92
24161	108	4232	4232	4426	0	194	2	92
24161	109	4234	4233	4430	1	197	3	92
24161	110	4228	4227	4423	1	196	2	92
24161	111	4234	4233	4430	1	197	3	92
24161	112	4231	4232	4426	-1	194	2	92
24161	113	4234	4233	4428	1	195	3	92
24161	114	4227	4227	4423	0	196	2	92
24161	115	4234	4233	4428	1	195	3	92
24161	116	4232	4231	4429	1	198	2	92
24161	117	4232	4232	4427	0	195	2	92
24161	118	4230	4230	4425	0	195	3	92
24161	119	4232	4232	4426	0	194	2	92
24161	120	4233	4233	4428	0	195	3	92
24161	121	4232	4232	4428	0	196	2	92
24161	122	4233	4232	4427	1	195	3	92
24161	123	4232	4232	4428	0	196	2	92
24161	124	4234	4233	4430	1	197	3	92
24161	125	4232	4232	4428	0	196	2	92
24161	126	4232	4230	4429	2	199	3	92
24161	127	4232	4232	4426	0	194	2	92
24161	128	4234	4233	4430	1	197	3	92
24161	129	4232	4232	4426	0	194	2	92
24161	130	4233	4231	4426	2	195	3	92
24161	131	4230	4231	4425	-1	194	2	92
24161	132	4232	4232	4428	0	196	2	92
24161	133	4232	4231	4429	1	198	2	92
24161	134	4232	4232	4426	0	194	2	92
24161	135	4229	4228	4425	1	197	3	92
24161	136	4232	4232	4428	0	196	2	92
24161	137	4234	4233	4428	1	195	3	92
24161	138	4232	4232	4426	0	194	2	92
24161	139	4229	4228	4425	1	197	3	92
24161	140	4232	4232	4428	0	196	2	92
24161	141	4234	4233	4430	1	197	3	92
24161	142	4232	4232	4427	0	195	2	92
24161	143	4230	4229	4426	1	197	3	92
24161	144	4232	4232	4426	0	194	2	92
